comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_AE1-220,ep_bioenergy_AE1-220,30.0,bioenergy,Aggregated Plant -- operating,e_AE1-220,AE1-220,25.432176512673948,55.69894073926067,False
e_AE11-400,ep_gas_AE11-400__ember,98.79554207921703,gas,Aggregated Plant - EMBER Gap - AE11-400_Missing Gas Capacity -- operating,e_AE11-400,AE11-400,25.025332845920705,54.900005780786934,False
e_AE11-400,ep_gas_steam_turbine_G100001017844,600.0,gas,Hassyan Clean-Coal Power Project_Unit 4 (gas) -- operating,e_AE11-400,AE11-400,24.911516,54.915494,False
e_AE11-400,ep_gas_steam_turbine_G100001018043,600.0,gas,"Hassyan Clean-Coal Power Project_Unit 2, timepoint 2 -- operating",e_AE11-400,AE11-400,24.911516,54.915494,False
e_AE11-400,ep_gas_steam_turbine_G100001018044,600.0,gas,Hassyan Clean-Coal Power Project_Unit 3 (gas) -- operating,e_AE11-400,AE11-400,24.911516,54.915494,False
e_AE11-400,ep_gas_steam_turbine_G100001018045,600.0,gas,"Hassyan Clean-Coal Power Project_Unit 1, timepoint 2 -- operating",e_AE11-400,AE11-400,24.911516,54.915494,False
e_AE13-400,ep_gas_AE13-400__ember,256.45676131396755,gas,Aggregated Plant - EMBER Gap - AE13-400_Missing Gas Capacity -- operating,e_AE13-400,AE13-400,24.898291761205186,54.88214482494266,False
e_AE13-400,ep_gas_combined_cycle_G100000410082,1550.0,gas,Emirates Aluminum Smelter Complex power station_2-1 -- operating,e_AE13-400,AE13-400,24.726727,54.680249,False
e_AE13-400,ep_gas_combined_cycle_G100000410085,825.0,gas,Emirates Aluminum Smelter Complex power station_CC2 -- operating,e_AE13-400,AE13-400,24.726727,54.680249,False
e_AE13-400,ep_gas_combined_cycle_G100000410086,825.0,gas,Emirates Aluminum Smelter Complex power station_CC1 -- operating,e_AE13-400,AE13-400,24.726727,54.680249,False
e_AE13-400,ep_gas_gas_turbine_G100000410083,265.0,gas,Emirates Aluminum Smelter Complex power station_1-2 -- operating,e_AE13-400,AE13-400,24.726727,54.680249,False
e_AE13-400,ep_gas_gas_turbine_G100000410084,265.0,gas,Emirates Aluminum Smelter Complex power station_1-1 -- operating,e_AE13-400,AE13-400,24.726727,54.680249,False
e_AE19-220,ep_gas_AE19-220__ember,102.9120229991844,gas,Aggregated Plant - EMBER Gap - AE19-220_Missing Gas Capacity -- operating,e_AE19-220,AE19-220,24.22790942492626,54.63151385227291,False
e_AE40-220,ep_gas_AE40-220__ember,61.74721379951065,gas,Aggregated Plant - EMBER Gap - AE40-220_Missing Gas Capacity -- operating,e_AE40-220,AE40-220,23.49835161322336,53.77254174818343,False
e_w1264942732-220,ep_gas_w1264942732-220__ember,102.9120229991844,gas,Aggregated Plant - EMBER Gap - way/1264942732-220_Missing Gas Capacity -- operating,e_w1264942732-220,way/1264942732-220,24.198926392395546,54.06956241119831,False
e_w1264993337-400,ep_nuclear_G100000500018,1417.0,nuclear,Barakah nuclear power plant_1 -- operating,e_w1264993337-400,way/1264993337-400,23.9695,52.2361,False
e_w1264993337-400,ep_nuclear_G100000500020,1417.0,nuclear,Barakah nuclear power plant_3 -- operating,e_w1264993337-400,way/1264993337-400,23.9695,52.2361,False
e_w1264993337-400,ep_nuclear_G100000500021,1417.0,nuclear,Barakah nuclear power plant_4 -- operating,e_w1264993337-400,way/1264993337-400,23.9695,52.2361,False
e_w1264993337-400,ep_nuclear_G100000500022,1417.0,nuclear,Barakah nuclear power plant_2 -- operating,e_w1264993337-400,way/1264993337-400,23.9695,52.2361,False
e_w132517028-220,ep_gas_gas_turbine_G100000405043,162.5,gas,Ruwais General Utilities Plant_1 -- operating,e_w132517028-220,way/132517028-220,24.13497,52.73181,False
e_w132517028-220,ep_gas_gas_turbine_G100000405044,162.5,gas,Ruwais General Utilities Plant_2 -- operating,e_w132517028-220,way/132517028-220,24.13497,52.73181,False
e_w132517028-220,ep_gas_gas_turbine_G100000410075,66.0,gas,Zirku ADMA-OPCO power station_5 -- operating,e_w132517028-220,way/132517028-220,24.890061,53.065688,False
e_w132517028-220,ep_gas_gas_turbine_G100000410076,66.0,gas,Zirku ADMA-OPCO power station_4 -- operating,e_w132517028-220,way/132517028-220,24.890061,53.065688,False
e_w132517028-220,ep_gas_gas_turbine_G100000410077,66.0,gas,Zirku ADMA-OPCO power station_3 -- operating,e_w132517028-220,way/132517028-220,24.890061,53.065688,False
e_w132517028-220,ep_gas_gas_turbine_G100000410078,66.0,gas,Zirku ADMA-OPCO power station_2 -- operating,e_w132517028-220,way/132517028-220,24.890061,53.065688,False
e_w132517028-220,ep_gas_gas_turbine_G100000410079,66.0,gas,Zirku ADMA-OPCO power station_1 -- operating,e_w132517028-220,way/132517028-220,24.890061,53.065688,False
e_w132517028-220,ep_gas_gas_turbine_G100000410088,162.5,gas,Ruwais General Utilities Plant_4 -- operating,e_w132517028-220,way/132517028-220,24.13497,52.73181,False
e_w132517028-220,ep_gas_gas_turbine_G100000410089,162.5,gas,Ruwais General Utilities Plant_3 -- operating,e_w132517028-220,way/132517028-220,24.13497,52.73181,False
e_w132517028-220,ep_gas_steam_turbine_G100000410087,230.0,gas,Ruwais General Utilities Plant_CC -- construction,e_w132517028-220,way/132517028-220,24.13497,52.73181,False
e_w132517028-220,ep_gas_w132517028-220__ember,49.80941913160525,gas,Aggregated Plant -- operating,e_w132517028-220,way/132517028-220,24.152388190833893,52.60295190918769,False
e_w1348312852-400,ep_gas_combined_cycle_G100000405037,345.0,gas,Layyah power station_CC-Phase 1 -- operating,e_w1348312852-400,way/1348312852-400,25.3527,55.3705,False
e_w1348312852-400,ep_gas_combined_cycle_G100000410091,345.0,gas,Layyah power station_CC-Phase 2 -- operating,e_w1348312852-400,way/1348312852-400,25.3527,55.3705,False
e_w1348312852-400,ep_gas_gas_turbine_G100000405031,123.0,gas,Layyah power station_GT-1 -- operating,e_w1348312852-400,way/1348312852-400,25.3527,55.3705,False
e_w1348312852-400,ep_gas_gas_turbine_G100000405032,123.0,gas,Layyah power station_GT-2 -- operating,e_w1348312852-400,way/1348312852-400,25.3527,55.3705,False
e_w1348312852-400,ep_gas_steam_turbine_G100000405033,75.0,gas,Layyah power station_ST1 -- operating,e_w1348312852-400,way/1348312852-400,25.3527,55.3705,False
e_w1348312852-400,ep_gas_steam_turbine_G100000405034,75.0,gas,Layyah power station_ST2 -- operating,e_w1348312852-400,way/1348312852-400,25.3527,55.3705,False
e_w1348312852-400,ep_gas_steam_turbine_G100000405035,75.0,gas,Layyah power station_ST3 -- operating,e_w1348312852-400,way/1348312852-400,25.3527,55.3705,False
e_w1348312852-400,ep_gas_steam_turbine_G100000405036,75.0,gas,Layyah power station_ST4 -- operating,e_w1348312852-400,way/1348312852-400,25.3527,55.3705,False
e_w1348312852-400,ep_gas_steam_turbine_G100000410090,336.0,gas,Layyah power station_CC-Phase 3 -- operating,e_w1348312852-400,way/1348312852-400,25.3527,55.3705,False
e_w1348312852-400,ep_gas_w1348312852-400__ember,64.71108006188716,gas,Aggregated Plant - EMBER Gap - way/1348312852-400_Missing Gas Capacity -- operating,e_w1348312852-400,way/1348312852-400,25.304952488711344,55.32905417654808,False
e_w1366982708-400,ep_bioenergy_G100000200360,190.0,bioenergy,Dubai Waste Management Centre power station_1 -- operating,e_w1366982708-400,way/1366982708-400,25.1588,55.4434,False
e_w1366982708-400,ep_gas_gas_turbine_G100000404995,101.2,gas,Al Aweer H Power and Desalination Station_1-GT1 -- operating,e_w1366982708-400,way/1366982708-400,25.1493,55.4268,False
e_w1366982708-400,ep_gas_gas_turbine_G100000404996,101.2,gas,Al Aweer H Power and Desalination Station_1-GT2 -- operating,e_w1366982708-400,way/1366982708-400,25.1493,55.4268,False
e_w1366982708-400,ep_gas_gas_turbine_G100000404997,101.2,gas,Al Aweer H Power and Desalination Station_1-GT3 -- operating,e_w1366982708-400,way/1366982708-400,25.1493,55.4268,False
e_w1366982708-400,ep_gas_gas_turbine_G100000404998,101.2,gas,Al Aweer H Power and Desalination Station_1-GT4 -- operating,e_w1366982708-400,way/1366982708-400,25.1493,55.4268,False
e_w1366982708-400,ep_gas_gas_turbine_G100000404999,101.2,gas,Al Aweer H Power and Desalination Station_1-GT5 -- operating,e_w1366982708-400,way/1366982708-400,25.1493,55.4268,False
e_w1366982708-400,ep_gas_gas_turbine_G100000405000,101.2,gas,Al Aweer H Power and Desalination Station_1-GT6 -- operating,e_w1366982708-400,way/1366982708-400,25.1493,55.4268,False
e_w1366982708-400,ep_gas_gas_turbine_G100000405001,140.3,gas,Al Aweer H Power and Desalination Station_2-GT1 -- operating,e_w1366982708-400,way/1366982708-400,25.1493,55.4268,False
e_w1366982708-400,ep_gas_gas_turbine_G100000405002,140.3,gas,Al Aweer H Power and Desalination Station_2-GT2 -- operating,e_w1366982708-400,way/1366982708-400,25.1493,55.4268,False
e_w1366982708-400,ep_gas_gas_turbine_G100000405003,140.3,gas,Al Aweer H Power and Desalination Station_2-GT3 -- operating,e_w1366982708-400,way/1366982708-400,25.1493,55.4268,False
