comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_AU10-275,ep_hydro_AU10-275__irena,235.1712372224179,hydro,Aggregated Plant - IRENA Gap - AU10-275_Missing Hydro Capacity -- operating,e_AU10-275,AU10-275,-21.29682058928174,148.1687544645897,False
e_AU102-330,ep_hydro_AU102-330__irena,11.16672541416989,hydro,Aggregated Plant - IRENA Gap - AU102-330_Missing Hydro Capacity -- operating,e_AU102-330,AU102-330,-36.09215119857238,148.16145142666014,False
e_AU102-330,ep_hydro_dam_G100000600073,550.0,hydro,Murray 2 hydroelectric plant_ -- operating,e_AU102-330,AU102-330,-36.2424,148.1361,False
e_AU103-330,ep_hydro_AU103-330__irena,20.506168487839254,hydro,Aggregated Plant - IRENA Gap - AU103-330_Missing Hydro Capacity -- operating,e_AU103-330,AU103-330,-35.98152457466227,148.1377627355246,False
e_AU103-330,ep_hydro_dam_G100000600072,950.0,hydro,Murray 1 hydroelectric plant_ -- operating,e_AU103-330,AU103-330,-36.2468,148.1902,False
e_AU103-330,ep_hydro_dam_G100001031241,60.0,hydro,Guthega hydroelectric plant_ -- operating,e_AU103-330,AU103-330,-36.3501,148.4137,False
e_AU113-220,ep_gas_AU113-220__ember,255.3027690711988,gas,Aggregated Plant - EMBER Gap - AU113-220_Missing Gas Capacity -- operating,e_AU113-220,AU113-220,-37.88317911635393,144.81493710108194,False
e_AU113-220,ep_gas_steam_turbine_G100000401532,510.0,gas,Newport power station_1 -- operating,e_AU113-220,AU113-220,-37.8415,144.89472,False
e_AU126-500,ep_gas_AU126-500__ember,392.4654332388625,gas,Aggregated Plant - EMBER Gap - AU126-500_Missing Gas Capacity -- operating,e_AU126-500,AU126-500,-38.23477584642959,142.72060154769687,False
e_AU126-500,ep_gas_gas_turbine_G100001018517,292.0,gas,Mortlake power station_1-1 -- operating,e_AU126-500,AU126-500,-38.063057,142.665721,False
e_AU126-500,ep_gas_gas_turbine_G100001018518,292.0,gas,Mortlake power station_1-2 -- operating,e_AU126-500,AU126-500,-38.063057,142.665721,False
e_AU129-500,ep_gas_AU129-500__ember,460.54617165784884,gas,Aggregated Plant - EMBER Gap - AU129-500_Missing Gas Capacity -- operating,e_AU129-500,AU129-500,-38.257367433512286,142.39880878566032,False
