comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_AT20-380,ep_hydro_AT20-380__irena,25.338360655737695,hydro,Aggregated Plant - IRENA Gap - AT20-380_Missing Hydro Capacity -- operating,e_AT20-380,AT20-380,47.34419457874015,13.162440732606433,False
e_AT20-380,ep_hydro_dam_G100000600114,120.0,hydro,Kaprun Schwarzach hydroelectric plant_ -- operating,e_AT20-380,AT20-380,47.3149,13.1394,False
e_AT25-380,ep_hydro_AT25-380__irena,320.3191092896173,hydro,Aggregated Plant - IRENA Gap - AT25-380_Missing Hydro Capacity -- operating,e_AT25-380,AT25-380,47.24843769973508,12.826319848114183,False
e_AT25-380,ep_hydro_ps_G100000600111,480.0,hydro,Kaprun Limberg II hydroelectric plant_ -- operating,e_AT25-380,AT25-380,47.1971,12.7193,False
e_AT25-380,ep_hydro_ps_G100000600112,480.0,hydro,Kaprun Limberg III hydroelectric plant_ -- construction,e_AT25-380,AT25-380,47.1992,12.7245,False
e_AT25-380,ep_hydro_ps_G100000600113,260.0,hydro,Kaprun Oberstufe hydroelectric plant_ -- operating,e_AT25-380,AT25-380,47.1971,12.7193,False
e_AT25-380,ep_hydro_ps_G100000600139,170.0,hydro,Tauernmoos hydroelectric plant_ -- construction,e_AT25-380,AT25-380,47.1592,12.6328,False
e_AT25-380,ep_hydro_ror_G100000600098,81.0,hydro,Enzingerboden hydroelectric plant_ -- operating,e_AT25-380,AT25-380,47.1697,12.6266,False
e_AT26-220,ep_hydro_AT26-220__irena,76.01508196721309,hydro,Aggregated Plant - IRENA Gap - AT26-220_Missing Hydro Capacity -- operating,e_AT26-220,AT26-220,46.97325157061909,11.857976004845712,False
e_AT26-220,ep_hydro_ps_G100000600105,360.0,hydro,Häusling hydroelectric plant_ -- operating,e_AT26-220,AT26-220,47.1462,11.9673,False
e_AT29-220,ep_hydro_AT29-220__irena,80.2381420765027,hydro,Aggregated Plant - IRENA Gap - AT29-220_Missing Hydro Capacity -- operating,e_AT29-220,AT29-220,46.87131123494573,10.131343885527206,False
e_AT29-220,ep_hydro_ps_G100000600126,380.0,hydro,Obervermunt II hydroelectric plant_ -- operating,e_AT29-220,AT29-220,46.9349,10.0595,False
e_AT3-220,ep_hydro_AT3-220__irena,27.872196721311465,hydro,Aggregated Plant - IRENA Gap - AT3-220_Missing Hydro Capacity -- operating,e_AT3-220,AT3-220,48.50386361262197,13.62232439957053,False
e_AT3-220,ep_hydro_ror_G100000604104,132.0,hydro,Jochenstein hydroelectric plant_ -- operating,e_AT3-220,AT3-220,48.5173,13.7069,False
e_AT30-220,ep_hydro_AT30-220__irena,192.36038797814197,hydro,Aggregated Plant - IRENA Gap - AT30-220_Missing Hydro Capacity -- operating,e_AT30-220,AT30-220,47.02878431452436,13.231378997612168,False
e_AT30-220,ep_hydro_dam_G100000600106,107.0,hydro,Hintermuhr hydroelectric plant_ -- operating,e_AT30-220,AT30-220,47.1029,13.4779,False
e_AT30-220,ep_hydro_ps_G100000600100,140.0,hydro,Feldsee hydroelectric plant_ -- operating,e_AT30-220,AT30-220,47.0036,13.0562,False
e_AT30-220,ep_hydro_ps_G100000600109,114.0,hydro,Innerfragant Oschenik hydroelectric plant_ -- operating,e_AT30-220,AT30-220,46.9773,13.0517,False
e_AT30-220,ep_hydro_ps_G100000600123,120.0,hydro,Malta Oberstufe hydroelectric plant_ -- operating,e_AT30-220,AT30-220,47.0659,13.3528,False
e_AT30-220,ep_hydro_ps_G100000600132,430.0,hydro,Reissek II hydroelectric plant_ -- operating,e_AT30-220,AT30-220,46.8934,13.3432,False
e_AT33-220,ep_hydro_AT33-220__irena,238.3917431693988,hydro,Aggregated Plant - IRENA Gap - AT33-220_Missing Hydro Capacity -- operating,e_AT33-220,AT33-220,46.44633599650297,15.079700129074157,False
e_AT33-220,ep_hydro_dam_G100001052091,50.0,hydro,Koralpe hydroelectric plant_ -- operating,e_AT33-220,AT33-220,46.6339,14.9555,False
e_AT33-220,ep_hydro_ror_G100000600137,79.0,hydro,Schwabeck hydroelectric plant_ -- operating,e_AT33-220,AT33-220,46.6583,14.8749,False
e_AT33-220,ep_windon_wind_220,26.0,windon,Aggregated Plant -- operating,e_AT33-220,AT33-220,46.42712714000186,14.60305964825436,False
e_AT34-220,ep_hydro_AT34-220__irena,15.83647540983606,hydro,Aggregated Plant - IRENA Gap - AT34-220_Missing Hydro Capacity -- operating,e_AT34-220,AT34-220,46.64216693183063,14.307282908086401,False
e_AT34-220,ep_hydro_ror_G100000600101,75.0,hydro,Ferlach Maria Rain hydroelectric plant_ -- operating,e_AT34-220,AT34-220,46.5465,14.2988,False
e_AT5-220,ep_hydro_AT5-220__irena,21.11530054644808,hydro,Aggregated Plant - IRENA Gap - AT5-220_Missing Hydro Capacity -- operating,e_AT5-220,AT5-220,48.62368829386832,12.99235003366341,False
e_AT5-220,ep_hydro_ror_G100000604102,100.0,hydro,Braunau-Simbach hydroelectric plant_ -- operating,e_AT5-220,AT5-220,48.2451,13.0065,False
e_w100602290-220,ep_hydro_dam_G100000600130,392.0,hydro,Prutz hydroelectric plant_ -- operating,e_w100602290-220,way/100602290-220,47.0673,10.6652,False
e_w100602290-220,ep_hydro_ror_G100000600131,89.0,hydro,Prutz Ried hydroelectric plant_ -- operating,e_w100602290-220,way/100602290-220,47.0619,10.6626,False
e_w100602290-220,ep_hydro_w100602290-220__irena,291.60230054644796,hydro,Aggregated Plant - IRENA Gap - way/100602290-220_Missing Hydro Capacity -- operating,e_w100602290-220,way/100602290-220,47.137190377739714,10.537859338669213,False
e_w101997887-220,ep_hydro_w101997887-220__irena,211.15300546448077,hydro,Aggregated Plant - IRENA Gap - way/101997887-220_Missing Hydro Capacity -- operating,e_w101997887-220,way/101997887-220,47.1399688139332,9.631556066981048,False
e_w105065132-220,ep_hydro_ror_G100001027076,52.0,hydro,St. Pantaleon hydroelectric plant_ -- operating,e_w105065132-220,way/105065132-220,48.0076,12.8942,False
e_w105065132-220,ep_hydro_w105065132-220__irena,10.979956284153001,hydro,Aggregated Plant - IRENA Gap - way/105065132-220_Missing Hydro Capacity -- operating,e_w105065132-220,way/105065132-220,47.78614860058863,12.934106912812092,False
e_w118091356-220,ep_hydro_dam_G100000600093,328.0,hydro,Altenwörth hydroelectric plant_ -- operating,e_w118091356-220,way/118091356-220,48.376,15.857,False
e_w118091356-220,ep_hydro_w118091356-220__irena,69.25818579234969,hydro,Aggregated Plant - IRENA Gap - way/118091356-220_Missing Hydro Capacity -- operating,e_w118091356-220,way/118091356-220,48.50238481752675,15.871465230196474,False
e_w119489306-400,ep_gas_combined_cycle_G100000400003,140.0,gas,Leopoldau power station_1 -- operating,e_w119489306-400,way/119489306-400,48.2767,16.4339,False
e_w1203160522-220,ep_bioenergy_G100000410438,70.0,bioenergy,Lenzing Energy power station_1 -- operating,e_w1203160522-220,way/1203160522-220,47.97671,13.6195,False
e_w1203160522-220,ep_bioenergy_w1203160522-220__ember,1130.0,bioenergy,Aggregated Plant - EMBER Gap - way/1203160522-220_Missing Bioenergy Capacity -- operating,e_w1203160522-220,way/1203160522-220,48.34959119854481,13.742052681454368,False
e_w1203160522-220,ep_gas_combined_cycle_G100000400013,405.0,gas,Timelkam power station_1 -- operating,e_w1203160522-220,way/1203160522-220,48.0122,13.5895,False
e_w1203160522-220,ep_gas_w1203160522-220__ember,21.87855402112104,gas,Aggregated Plant - EMBER Gap - way/1203160522-220_Missing Gas Capacity -- operating,e_w1203160522-220,way/1203160522-220,47.99489071999287,13.680831504078382,False
e_w123176540-220,ep_hydro_ps_G100000600120,280.0,hydro,Lunersee hydroelectric plant_ -- operating,e_w123176540-220,way/123176540-220,47.0738,9.874,False
e_w123176540-220,ep_hydro_w123176540-220__irena,59.12284153005462,hydro,Aggregated Plant - IRENA Gap - way/123176540-220_Missing Hydro Capacity -- operating,e_w123176540-220,way/123176540-220,46.959787197283774,9.835721304777604,False
e_w138407040-380,ep_gas_combined_cycle_G100000400010,840.0,gas,Simmering power station_Sim1 -- operating,e_w138407040-380,way/138407040-380,48.1815,16.4334,False
e_w138407040-380,ep_gas_combined_cycle_G100000400011,340.0,gas,Simmering power station_Sim3 -- operating,e_w138407040-380,way/138407040-380,48.1815,16.4334,False
e_w138407040-380,ep_gas_gas_turbine_G100000400000,395.0,gas,"Donaustadt power station_Unit 1, timepoint 1 -- operating",e_w138407040-380,way/138407040-380,48.2,16.4633,False
e_w138407040-380,ep_gas_w138407040-380__ember,114.90292445166533,gas,Aggregated Plant - EMBER Gap - way/138407040-380_Missing Gas Capacity -- operating,e_w138407040-380,way/138407040-380,48.3585760706701,16.468456364358953,False
e_w138407040-380,ep_hydro_dam_G100000600102,172.0,hydro,Freudenau hydroelectric plant_ -- operating,e_w138407040-380,way/138407040-380,48.1753,16.4808,False
e_w138407040-380,ep_hydro_w138407040-380__irena,36.3183169398907,hydro,Aggregated Plant - IRENA Gap - way/138407040-380_Missing Hydro Capacity -- operating,e_w138407040-380,way/138407040-380,48.003444046928706,16.45389438895018,False
e_w138407040-380,ep_oil_steam_turbine_G100001000105,60.0,oil,Simmering power station_Sim2 -- operating,e_w138407040-380,way/138407040-380,48.1815,16.4334,False
e_w140375658-380,ep_hydro_dam_G100000600103,200.0,hydro,Gerlos hydroelectric plant_ -- operating,e_w140375658-380,way/140375658-380,47.233,11.8992,False
e_w140375658-380,ep_hydro_w140375658-380__irena,42.23060109289616,hydro,Aggregated Plant - IRENA Gap - way/140375658-380_Missing Hydro Capacity -- operating,e_w140375658-380,way/140375658-380,47.17539359268235,11.855073819157695,False
e_w152245073-220,ep_hydro_w152245073-220__irena,63.34590163934424,hydro,Aggregated Plant - IRENA Gap - way/152245073-220_Missing Hydro Capacity -- operating,e_w152245073-220,way/152245073-220,47.877565337907505,13.986304681111566,False
e_w162826525-220,ep_hydro_ror_G100001027071,60.0,hydro,Amlach hydroelectric plant_ -- operating,e_w162826525-220,way/162826525-220,46.8142,12.7618,False
e_w162826525-220,ep_hydro_w162826525-220__irena,12.669180327868848,hydro,Aggregated Plant - IRENA Gap - way/162826525-220_Missing Hydro Capacity -- operating,e_w162826525-220,way/162826525-220,46.72790455525194,12.661501363886842,False
e_w210191809-220,ep_hydro_ror_G100000604103,84.0,hydro,Egglfing-Obernberg hydroelectric plant_ -- operating,e_w210191809-220,way/210191809-220,48.3186,13.3199,False
e_w210191809-220,ep_hydro_ror_G100000604105,96.0,hydro,Passau-Ingling hydroelectric plant_ -- operating,e_w210191809-220,way/210191809-220,48.5536,13.4369,False
e_w210191809-220,ep_hydro_ror_G100000604106,100.0,hydro,Schärding Neuhaus hydroelectric plant_ -- operating,e_w210191809-220,way/210191809-220,48.4355,13.4399,False
e_w210191809-220,ep_hydro_w210191809-220__irena,59.12284153005462,hydro,Aggregated Plant - IRENA Gap - way/210191809-220_Missing Hydro Capacity -- operating,e_w210191809-220,way/210191809-220,48.25775587308748,13.59912651345252,False
e_w219909160-220,ep_hydro_dam_G100000600140,157.0,hydro,Vermunt hydroelectric plant_ -- operating,e_w219909160-220,way/219909160-220,46.9692,10.056,False
e_w219909160-220,ep_hydro_ps_G100000600115,288.0,hydro,Kops I hydroelectric plant_ -- operating,e_w219909160-220,way/219909160-220,46.9707,10.0571,False
e_w219909160-220,ep_hydro_ps_G100000600116,525.0,hydro,Kops II hydroelectric plant_ -- operating,e_w219909160-220,way/219909160-220,46.9756,10.043,False
e_w219909160-220,ep_hydro_w219909160-220__irena,204.81841530054635,hydro,Aggregated Plant - IRENA Gap - way/219909160-220_Missing Hydro Capacity -- operating,e_w219909160-220,way/219909160-220,47.046923237218344,10.095869808972575,False
e_w219909161-220,ep_hydro_ps_G100000600133,198.0,hydro,Rodund I hydroelectric plant_ -- operating,e_w219909161-220,way/219909161-220,47.0854,9.8826,False
e_w219909161-220,ep_hydro_ps_G100000600134,295.0,hydro,Rodund II hydroelectric plant_ -- operating,e_w219909161-220,way/219909161-220,47.0844,9.8749,False
e_w219909161-220,ep_hydro_w219909161-220__irena,104.09843169398903,hydro,Aggregated Plant - IRENA Gap - way/219909161-220_Missing Hydro Capacity -- operating,e_w219909161-220,way/219909161-220,46.92825469491809,9.706978977292476,False
e_w23899163-220,ep_hydro_ror_G100001027075,60.0,hydro,Oberaudorf Ebbs hydroelectric plant_ -- operating,e_w23899163-220,way/23899163-220,47.6413,12.1989,False
e_w23899163-220,ep_hydro_w23899163-220__irena,12.669180327868848,hydro,Aggregated Plant - IRENA Gap - way/23899163-220_Missing Hydro Capacity -- operating,e_w23899163-220,way/23899163-220,47.679088413482354,12.205105445925366,False
e_w24253250-380,ep_m_gas_combined_cycle_G100000410439,158.0,gas,Korneuberg power station_1 -- mothballed,e_w24253250-380,way/24253250-380,48.3325,16.34,False
e_w27763479-220,ep_hydro_ror_G100001052090,72.0,hydro,Großraming hydroelectric plant_ -- operating,e_w27763479-220,way/27763479-220,47.893,14.5122,False
e_w27763479-220,ep_hydro_w27763479-220__irena,15.203016393442615,hydro,Aggregated Plant - IRENA Gap - way/27763479-220_Missing Hydro Capacity -- operating,e_w27763479-220,way/27763479-220,48.12273035680081,14.493903088212308,False
e_w27763479-380,ep_gas_combined_cycle_G100000400004,103.0,gas,Linz Mitte power station_1a -- operating,e_w27763479-380,way/27763479-380,48.29922,14.32294,False
e_w27763479-380,ep_gas_combined_cycle_G100000400005,114.0,gas,Linz Mitte power station_1b -- operating,e_w27763479-380,way/27763479-380,48.29922,14.32294,False
e_w27763479-380,ep_gas_combined_cycle_G100000400006,172.0,gas,Linz Süd power station_1 & 2 -- operating,e_w27763479-380,way/27763479-380,48.26789,14.3469,False
e_w27763479-380,ep_gas_gas_turbine_G100000400015,153.0,gas,Werk Linz power station_Block 7 -- operating,e_w27763479-380,way/27763479-380,48.299,14.324,False
e_w27763479-380,ep_gas_w27763479-380__ember,29.27944760357433,gas,Aggregated Plant - EMBER Gap - way/27763479-380_Missing Gas Capacity -- operating,e_w27763479-380,way/27763479-380,48.30260326681549,14.44341885724591,False
e_w27763479-380,ep_hydro_dam_G100000600091,168.0,hydro,Abwinden-Asten hydroelectric plant_ -- operating,e_w27763479-380,way/27763479-380,48.248,14.4302,False
