comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_windoff__irena,5.800000000000249,windoff,Aggregated Plant -- operating,,,,,False
e_BE1-220,ep_windoff_wind_220,330.0,windoff,Aggregated Plant -- operating,e_BE1-220,BE1-220,51.58991163975665,2.9474409865016966,False
e_BE1-220,ep_windoff_wind_G100000919768,216.0,windoff,Northwind wind farm_-- -- operating,e_BE1-220,BE1-220,51.619,2.901,False
e_BE1-220,ep_windoff_wind_G100000919772,219.0,windoff,The Northwester 2 Offshore Wind Project_-- -- operating,e_BE1-220,BE1-220,51.686,2.757,False
e_BE1-220,ep_windoff_wind_G100000919789,235.0,windoff,Seamade Mermaid wind farm_-- -- operating,e_BE1-220,BE1-220,51.63,2.86,False
e_BE1-220,ep_windoff_wind_G100000919818,252.0,windoff,Seamade Seastar wind farm_-- -- operating,e_BE1-220,BE1-220,51.72,2.74,False
e_BE11-380,ep_gas_steam_turbine_G100000406276,43.0,gas,Sappi Lanaken power station_1 -- operating,e_BE11-380,BE11-380,50.8827,5.64195,False
e_BE13-380,ep_m_oil_combined_cycle_G100001000099,40.0,oil,Clabecq Steel Works power station_CC1 -- mothballed,e_BE13-380,BE13-380,50.6813,4.2188,False
e_BE3-220,ep_windoff_wind_220,325.0,windoff,Aggregated Plant -- operating,e_BE3-220,BE3-220,51.41763995262934,2.903468237062217,False
e_BE3-220,ep_windoff_wind_G100000919893,309.0,windoff,Rentel wind farm_-- -- operating,e_BE3-220,BE3-220,51.59,2.94,False
e_BE4-220,ep_windoff_wind_G100000919934,370.0,windoff,Norther Offshore Wind Project_-- -- operating,e_BE4-220,BE4-220,51.5281,3.0158,False
e_w103041283-220,ep_gas_combined_cycle_G100000406271,870.0,gas,Seraing power station_CC2 -- construction,e_w103041283-220,way/103041283-220,50.603,5.4917,False
e_w103041283-220,ep_gas_gas_turbine_G100000400035,150.0,gas,Seraing power station_GT1 -- operating,e_w103041283-220,way/103041283-220,50.603,5.4917,False
e_w103041283-220,ep_gas_gas_turbine_G100001030246,150.0,gas,Seraing power station_GT2 -- operating,e_w103041283-220,way/103041283-220,50.603,5.4917,False
e_w103041283-220,ep_gas_steam_turbine_G100001030247,170.0,gas,Seraing power station_ST1 -- operating,e_w103041283-220,way/103041283-220,50.603,5.4917,False
e_w103041283-220,ep_gas_w103041283-220__ember,266.89515247236045,gas,Aggregated Plant - EMBER Gap - way/103041283-220_Missing Gas Capacity -- operating,e_w103041283-220,way/103041283-220,50.779209306781624,5.430076041962981,False
e_w103455240-225,ep_gas_combined_cycle_G100000400017,451.0,gas,Amercoeur power station_1 -- operating,e_w103455240-225,way/103455240-225,50.4304,4.3955,False
e_w103455240-225,ep_gas_combined_cycle_G100000400031,413.0,gas,Marcinelle Energie (Carsid) power station_1 -- operating,e_w103455240-225,way/103455240-225,50.4138,4.4067,False
e_w103455240-225,ep_gas_w103455240-225__ember,158.92309561414157,gas,Aggregated Plant - EMBER Gap - way/103455240-225_Missing Gas Capacity -- operating,e_w103455240-225,way/103455240-225,50.291156425207134,4.329294594230446,False
e_w103455240-225,ep_hydro_ps_G100000600151,144.0,hydro,La Plate Taille hydroelectric plant_ -- operating,e_w103455240-225,way/103455240-225,50.1884,4.3862,False
e_w104524889-380,ep_nuclear_G100000500205,1089.0,nuclear,Tihange nuclear power plant_3 -- operating,e_w104524889-380,way/104524889-380,50.5334,5.2714,False
e_w104524889-380,ep_nuclear_G100000500257,1008.9999999999999,nuclear,Tihange nuclear power plant_1 -- operating,e_w104524889-380,way/104524889-380,50.5334,5.2714,False
e_w121085954-220,ep_bioenergy_w121085954-220,35.0,bioenergy,Aggregated Plant -- operating,e_w121085954-220,way/121085954-220,49.82112558615555,5.529877097266604,False
e_w121085954-220,ep_bioenergy_w121085954-220__ember,167.99999999999997,bioenergy,Aggregated Plant - EMBER Gap - way/121085954-220_Missing Bioenergy Capacity -- operating,e_w121085954-220,way/121085954-220,49.40366468319774,5.740605081321926,False
e_w19783816-380,ep_bioenergy_w19783816-380,40.0,bioenergy,Aggregated Plant -- operating,e_w19783816-380,way/19783816-380,51.57029121118874,4.332354705065886,False
