comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_coal__ember,4.999999999999893,coal,Aggregated Plant -- operating,,,,,False
e_BD1-230,ep_oil_gas_turbine_G100000411798,150.0,oil,Sayedpur power station_2 -- construction,e_BD1-230,BD1-230,25.782652,88.897118,False
e_BD11-230,ep_oil_internal_combustion_BD11-230,52.2,oil,Aggregated Plant -- operating,e_BD11-230,BD11-230,24.798480773941314,88.99599859426706,False
e_BD13-230,ep_gas_combined_cycle_G100000406028,97.0,gas,Fenchuganj power station_1 -- operating,e_BD13-230,BD13-230,24.685359,91.91923,False
e_BD13-230,ep_gas_combined_cycle_G100000406029,104.0,gas,Fenchuganj power station_2 -- operating,e_BD13-230,BD13-230,24.685359,91.91923,False
e_BD13-230,ep_gas_combined_cycle_G100000406042,163.0,gas,Kushiara power station_1 -- operating,e_BD13-230,BD13-230,24.684884,91.917388,False
e_BD13-230,ep_gas_combined_cycle_G100000406063,225.0,gas,Sylhet power station_1 -- operating,e_BD13-230,BD13-230,24.910271,91.828812,False
e_BD13-230,ep_m_gas_internal_combustion_BD13-230,50.0,gas,Aggregated Plant -- mothballed,e_BD13-230,BD13-230,24.861514241551355,91.86702744948757,False
e_BD13-230,ep_oil_internal_combustion_BD13-230,55.1,oil,Aggregated Plant -- operating,e_BD13-230,BD13-230,24.511669485037874,91.88447457722677,False
e_BD14-230,ep_gas_combined_cycle_G100000406047,400.0,gas,Mymensingh power station_2 -- construction,e_BD14-230,BD14-230,24.761578,90.416515,False
e_BD14-230,ep_gas_combined_cycle_G100000406048,210.0,gas,Mymensingh power station_1 -- operating,e_BD14-230,BD14-230,24.761578,90.416515,False
e_BD14-230,ep_oil_internal_combustion_G100000411796,163.0,oil,Sreepur power station_1 -- construction,e_BD14-230,BD14-230,24.22987,90.52823,False
e_BD21-230,ep_bioenergy_BD21-230,42.0,bioenergy,Aggregated Plant -- operating,e_BD21-230,BD21-230,24.167258086076405,90.30538340567244,False
e_BD21-230,ep_oil_internal_combustion_BD21-230,53.4,oil,Aggregated Plant -- operating,e_BD21-230,BD21-230,23.80998582879453,90.34443347435968,False
e_BD21-230,ep_oil_internal_combustion_G100000411793,307.4,oil,Summit Gazipur II power station_1 -- operating,e_BD21-230,BD21-230,23.994702,90.337828,False
e_BD21-230,ep_oil_internal_combustion_G100000411794,147.3,oil,Summit Gazipur I power station_1 -- operating,e_BD21-230,BD21-230,23.99458,90.337796,False
e_BD21-230,ep_oil_internal_combustion_G100000411801,110.5,oil,RPCL Gazipur power station_1 -- operating,e_BD21-230,BD21-230,23.990993,90.344339,False
e_BD21-230,ep_oil_internal_combustion_G100000411823,153.5,oil,Kodda power station_1 -- operating,e_BD21-230,BD21-230,23.991123,90.343501,False
e_BD22-230,ep_oil_internal_combustion_BD22-230,115.8,oil,Aggregated Plant -- operating,e_BD22-230,BD22-230,23.823089939969588,90.00604779843403,False
e_BD24-230,ep_oil_internal_combustion_G100000411857,105.3,oil,CLC Bosila power station_1 -- operating,e_BD24-230,BD24-230,23.742906,90.342789,False
e_BD25-230,ep_m_oil_internal_combustion_BD25-230,55.0,oil,Aggregated Plant -- mothballed,e_BD25-230,BD25-230,23.928254791117407,90.45183413149964,False
e_BD27-230,ep_oil_internal_combustion_BD27-230,266.5,oil,Aggregated Plant -- operating,e_BD27-230,BD27-230,23.809954407227032,90.56274768908182,False
e_BD27-230,ep_oil_internal_combustion_G100000411791,102.0,oil,Summit Madanganj power plant_1 -- operating,e_BD27-230,BD27-230,23.596184,90.515034,False
e_BD27-230,ep_oil_internal_combustion_G100000411812,107.1,oil,Orion Gagnagar power station_1 -- operating,e_BD27-230,BD27-230,23.598282,90.485242,False
e_BD33-230,ep_oil_internal_combustion_BD33-230,60.0,oil,Aggregated Plant -- operating,e_BD33-230,BD33-230,23.564991096726516,90.59905893159821,False
e_BD33-230,ep_oil_internal_combustion_G100000411865,138.6,oil,Bangla Trac Power Unit-1 power station_1 -- operating,e_BD33-230,BD33-230,23.546548,90.777898,False
e_BD34-230,ep_oil_internal_combustion_G100000411839,128.9,oil,Feni Lanka power station_1 -- operating,e_BD34-230,BD34-230,23.017307,91.346185,False
e_BD35-230,ep_gas_combined_cycle_G100000400849,400.0,gas,Rupsha power station_1 -- construction,e_BD35-230,BD35-230,22.853987,89.551191,False
e_BD35-230,ep_gas_combined_cycle_G100000400850,400.0,gas,Rupsha power station_2 -- construction,e_BD35-230,BD35-230,22.853987,89.551191,False
e_BD35-230,ep_gas_combined_cycle_G100000400857,330.0,gas,Khulna power station_2 -- operating,e_BD35-230,BD35-230,22.866248,89.536417,False
e_BD35-230,ep_gas_combined_cycle_G100000406041,225.0,gas,Khulna power station_1 -- operating,e_BD35-230,BD35-230,22.866248,89.536417,False
e_BD35-230,ep_oil_internal_combustion_G100000411792,119.0,oil,Summit Khulna (KPCL) power station_1 -- operating,e_BD35-230,BD35-230,22.866567,89.538835,False
e_BD35-230,ep_oil_internal_combustion_G100000411821,110.5,oil,Madhumati power plant_1 -- operating,e_BD35-230,BD35-230,22.934644,89.810976,False
e_BD35-230,ep_oil_internal_combustion_G100000411862,107.8,oil,Bangla Trac Power Unit-2 power station_1 -- operating,e_BD35-230,BD35-230,23.017703,89.413519,False
e_BD36-230,ep_oil_internal_combustion_G100000411810,110.5,oil,Orion Power Rupsha power station_1 -- operating,e_BD36-230,BD36-230,22.767114,89.584801,False
