comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_BR119-500,ep_hydro_BR119-500__irena,28.030199263826532,hydro,Aggregated Plant -- operating,e_BR119-500,BR119-500,-4.929118665082155,-49.042092848789615,False
e_BR125-500,ep_gas_BR125-500__ember,105.07543420051131,gas,Aggregated Plant - EMBER Gap - BR125-500_Missing Gas Capacity -- operating,e_BR125-500,BR125-500,-5.448416194033727,-44.48870712492491,False
e_BR125-500,ep_gas_combined_cycle_G100000406773,1061.0,gas,Parnaiba power station_I-V -- operating,e_BR125-500,BR125-500,-4.820569,-44.355006,False
e_BR125-500,ep_gas_combined_cycle_G100000406774,519.0,gas,Parnaiba power station_II -- operating,e_BR125-500,BR125-500,-4.820569,-44.355006,False
e_BR125-500,ep_gas_gas_turbine_G100000406776,178.0,gas,Parnaiba power station_III -- operating,e_BR125-500,BR125-500,-4.820569,-44.355006,False
e_BR125-500,ep_gas_internal_combustion_G100000412197,56.4,gas,Parnaiba power station_IV -- operating,e_BR125-500,BR125-500,-4.820569,-44.355006,False
e_BR125-500,ep_gas_steam_turbine_G100000406777,92.0,gas,Parnaiba power station_VI -- construction,e_BR125-500,BR125-500,-4.820569,-44.355006,False
e_BR141-500,ep_bioenergy_BR141-500__ember,66.08000774893455,bioenergy,Aggregated Plant - EMBER Gap - BR141-500_Missing Bioenergy Capacity -- operating,e_BR141-500,BR141-500,-5.244355065086467,-47.44822755347374,False
e_BR141-500,ep_bioenergy_G100000200682,127.0,bioenergy,Suzano Maranhão power station_1 -- operating,e_BR141-500,BR141-500,-5.3358,-47.5658,False
e_BR141-500,ep_bioenergy_G100000200683,128.0,bioenergy,Suzano Maranhão power station_2 -- operating,e_BR141-500,BR141-500,-5.3358,-47.5658,False
e_BR148-500,ep_gas_BR148-500__ember,17.802856298135307,gas,Aggregated Plant - EMBER Gap - BR148-500_Missing Gas Capacity -- operating,e_BR148-500,BR148-500,-5.688259817323527,-36.87886677400355,False
e_BR148-500,ep_gas_gas_turbine_G100000406795,161.5,gas,Jesus Soares Pereira power station_2 -- operating,e_BR148-500,BR148-500,-5.3825,-36.818611,False
e_BR148-500,ep_gas_gas_turbine_G100000406796,161.5,gas,Jesus Soares Pereira power station_1 -- operating,e_BR148-500,BR148-500,-5.3825,-36.818611,False
e_BR154-500,ep_oil_internal_combustion_G100000412188,64.0,oil,Potiguar power plant_III -- operating,e_BR154-500,BR154-500,-5.8688097,-35.3046484,False
e_BR154-500,ep_oil_internal_combustion_G100000412189,51.2,oil,Potiguar power plant_I -- operating,e_BR154-500,BR154-500,-5.8706208,-35.2933123,False
e_BR184-500,ep_hydro_BR184-500__irena,14.10593824063863,hydro,Aggregated Plant -- operating,e_BR184-500,BR184-500,-6.411747967536852,-47.41114700967612,False
e_BR184-500,ep_hydro_dam_G100000600245,1087.0,hydro,Estreito hydroelectric plant (Rio Tocantins)_ -- operating,e_BR184-500,BR184-500,-6.5891,-47.4665,False
e_BR185-500,ep_hydro_dam_G100000600222,237.0,hydro,Boa Esperança hydroelectric plant_ -- operating,e_BR185-500,BR185-500,-6.7535,-43.5627,False
e_BR20-500,ep_coal_subcritical_G100000100611,52.0,coal,Barcarena Alunorte power station_Unit 2 -- operating,e_BR20-500,BR20-500,-1.569926,-48.754535,False
e_BR20-500,ep_coal_subcritical_G100000100612,52.0,coal,Barcarena Alunorte power station_Unit 3 -- operating,e_BR20-500,BR20-500,-1.569926,-48.754535,False
