comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_CA121-315,ep_hydro_CA121-315__irena,25.52892714134489,hydro,Aggregated Plant -- operating,e_CA121-315,CA121-315,50.14135748234683,-68.20889890741661,False
e_CA121-315,ep_hydro_dam_G100000600534,526.0,hydro,Toulnustouc hydroelectric plant_ -- operating,e_CA121-315,CA121-315,49.9705,-68.1591,False
e_CA138-315,ep_hydro_CA138-315__irena,38.099254383946274,hydro,Aggregated Plant -- operating,e_CA138-315,CA138-315,49.71409430922667,-68.97370200598208,False
e_CA138-315,ep_hydro_dam_G100000600494,785.0,hydro,Outardes 4 hydroelectric plant_ -- operating,e_CA138-315,CA138-315,49.7037,-68.9038,False
e_CA142-315,ep_hydro_CA142-315__irena,49.79596815022787,hydro,Aggregated Plant -- operating,e_CA142-315,CA142-315,49.430561584453756,-68.6254648391263,False
e_CA142-315,ep_hydro_ror_G100000600493,1026.0,hydro,Outardes 3 hydroelectric plant_ -- operating,e_CA142-315,CA142-315,49.5593,-68.7318,False
e_CA147-315,ep_hydro_CA147-315__irena,59.648386799834356,hydro,Aggregated Plant -- operating,e_CA147-315,CA147-315,49.3076515964763,-68.53365632332256,False
e_CA147-315,ep_hydro_ror_G100000600475,1229.0,hydro,Manic 2 hydroelectric plant_ -- operating,e_CA147-315,CA147-315,49.3213,-68.3467,False
e_CA164-315,ep_hydro_CA164-315__irena,25.383324895291594,hydro,Aggregated Plant -- operating,e_CA164-315,CA164-315,49.005324715135544,-68.32580814716437,False
e_CA164-315,ep_hydro_ror_G100000600492,523.0,hydro,Outardes 2 hydroelectric plant_ -- operating,e_CA164-315,CA164-315,49.1445,-68.3897,False
e_CA193-500,ep_hydro_ror_CA193-500,140.0,hydro,Aggregated Plant -- operating,e_CA193-500,CA193-500,49.059452472134254,-95.39608100640046,False
e_CA200-500,ep_bioenergy_CA200-500__ember,189.2330097087379,bioenergy,Aggregated Plant - EMBER Gap - CA200-500_Missing Bioenergy Capacity -- operating,e_CA200-500,CA200-500,49.22814336369547,-95.52429433190754,False
e_CA200-500,ep_bioenergy_G100000201533,62.0,bioenergy,Thunder Bay Abibow power station_5 -- operating,e_CA200-500,CA200-500,48.3579,-89.2317,False
e_CA200-500,ep_bioenergy_G1000002471,205.0,bioenergy,"Atikokan power station_1, timepoint 2 -- operating",e_CA200-500,CA200-500,48.838089,-91.570573,False
e_CA200-500,ep_hydro_ror_CA200-500,51.0,hydro,Aggregated Plant -- operating,e_CA200-500,CA200-500,48.81155581290452,-94.97038095392963,False
e_CA229-345,ep_coal_CA229-345__ember,217.28821580690956,coal,Aggregated Plant - EMBER Gap - CA229-345_Missing Coal Capacity -- operating,e_CA229-345,CA229-345,48.1779149139691,-65.84948578127384,False
e_CA229-345,ep_coal_subcritical_G100000100746,490.0,coal,Belledune power station_Unit 1 -- operating,e_CA229-345,CA229-345,47.906148,-65.863671,False
e_CA24-240,ep_bioenergy_CA24-240,82.0,bioenergy,Aggregated Plant -- operating,e_CA24-240,CA24-240,55.535140048494135,-112.1069983558216,False
e_CA24-240,ep_bioenergy_CA24-240__ember,100.64077669902916,bioenergy,Aggregated Plant - EMBER Gap - CA24-240_Missing Bioenergy Capacity -- operating,e_CA24-240,CA24-240,55.15458136904034,-111.87149579624976,False
e_CA24-240,ep_bioenergy_G100000201529,60.0,bioenergy,Prince George Pulp and Paper Mill power station_1 -- operating,e_CA24-240,CA24-240,54.921,-112.8622,False
e_CA273-315,ep_hydro_CA273-315__irena,19.122428314999787,hydro,Aggregated Plant -- operating,e_CA273-315,CA273-315,46.38298462292734,-72.73953664359581,False
e_CA273-315,ep_hydro_ror_G100000600522,200.0,hydro,Shawinigan 2 hydroelectric plant_ -- operating,e_CA273-315,CA273-315,46.5359,-72.7673,False
e_CA273-315,ep_hydro_ror_G100000600523,194.0,hydro,Shawinigan 3 hydroelectric plant_ -- operating,e_CA273-315,CA273-315,46.5338,-72.7656,False
e_CA274-315,ep_hydro_ror_CA274-315,131.0,hydro,Aggregated Plant -- operating,e_CA274-315,CA274-315,46.52561463777437,-72.68074044643946,False
e_CA304-315,ep_hydro_ror_CA304-315,109.0,hydro,Aggregated Plant -- operating,e_CA304-315,CA304-315,45.66098784498003,-75.29813826371071,False
e_CA305-315,ep_hydro_ror_CA305-315,54.0,hydro,Aggregated Plant -- operating,e_CA305-315,CA305-315,45.4671564128572,-73.69184565254315,False
e_CA31-735,ep_hydro_CA31-735__irena,134.8762139273716,hydro,Aggregated Plant -- operating,e_CA31-735,CA31-735,53.95596174007638,-73.45861444767836,False
e_CA31-735,ep_hydro_dam_G100000600463,2779.0,hydro,La Grande 4 hydroelectric plant_ -- operating,e_CA31-735,CA31-735,53.8863,-73.466,False
e_CA33-240,ep_gas_combined_cycle_G100000404204,195.0,gas,Scotford Oil Sands Upgrader Complex cogeneration plant_1 -- operating,e_CA33-240,CA33-240,53.798538,-113.094336,False
e_CA33-240,ep_gas_gas_turbine_CA33-240,80.0,gas,Aggregated Plant -- operating,e_CA33-240,CA33-240,53.788867630767534,-113.0128108173722,False
e_CA331-500,ep_hydro_CA331-500__irena,48.873820591890315,hydro,Aggregated Plant -- operating,e_CA331-500,CA331-500,45.55238963741363,-75.8967602028817,False
e_CA331-500,ep_hydro_dam_CA331-500,82.0,hydro,Aggregated Plant -- operating,e_CA331-500,CA331-500,45.106910972476626,-75.66831491686544,False
e_CA331-500,ep_hydro_dam_G100000600429,192.0,hydro,Chute-des-Chats hydroelectric plant_ -- operating,e_CA331-500,CA331-500,45.4749,-76.2364,False
e_CA331-500,ep_hydro_ror_CA331-500,205.0,hydro,Aggregated Plant -- operating,e_CA331-500,CA331-500,45.157246971832855,-76.11237813964247,False
e_CA331-500,ep_hydro_ror_G100000600401,176.0,hydro,Barrett Chute hydroelectric plant_ -- operating,e_CA331-500,CA331-500,45.2499,-76.759,False
e_CA331-500,ep_hydro_ror_G100000600486,170.0,hydro,Mountain Chute hydroelectric plant_ -- operating,e_CA331-500,CA331-500,45.1958,-76.9074,False
e_CA331-500,ep_hydro_ror_G100000600532,182.0,hydro,Stewartville hydroelectric plant_ -- operating,e_CA331-500,CA331-500,45.4072,-76.5068,False
e_CA337-345,ep_gas_combined_cycle_G100000404150,290.0,gas,Bayside generating station_1 -- operating,e_CA337-345,CA337-345,45.27533,-66.026329,False
e_CA343-765,ep_gas_combined_cycle_G100000404161,156.0,gas,Cardinal power station_1 -- operating,e_CA343-765,CA343-765,44.784648,-75.377919,False
e_CA343-765,ep_hydro_CA343-765__irena,50.71811570856541,hydro,Aggregated Plant -- operating,e_CA343-765,CA343-765,45.09890317087893,-74.82878888990196,False
e_CA343-765,ep_hydro_ror_G100000600509,1045.0,hydro,Robert H Saunders hydroelectric plant_ -- operating,e_CA343-765,CA343-765,45.0088,-74.7905,False
e_CA35-735,ep_hydro_CA35-735__irena,117.30687623694033,hydro,Aggregated Plant -- operating,e_CA35-735,CA35-735,53.85897219420517,-76.09477032248166,False
e_CA35-735,ep_hydro_dam_G100000600462,2417.0,hydro,La Grande 3 hydroelectric plant_ -- operating,e_CA35-735,CA35-735,53.7276,-75.9898,False
e_CA364-500,ep_windon_wind_500,182.0,windon,Aggregated Plant -- operating,e_CA364-500,CA364-500,44.26515291283444,-81.67881191528865,False
e_CA376-500,ep_hydro_CA376-500__irena,48.534082017765954,hydro,Aggregated Plant -- operating,e_CA376-500,CA376-500,44.41604243958586,-81.4413512208872,False
e_CA376-500,ep_windon_wind_500,180.0,windon,Aggregated Plant -- operating,e_CA376-500,CA376-500,44.0629855166523,-81.4251943419003,False
e_CA387-500,ep_hydro_CA387-500__irena,19.41363280710638,hydro,Aggregated Plant -- operating,e_CA387-500,CA387-500,44.043773321499835,-77.7656572492915,False
e_CA444-345,ep_gas_combined_cycle_CA444-345,72.0,gas,Aggregated Plant -- operating,e_CA444-345,CA444-345,43.03559291013575,-82.48557534305566,False
e_CA444-345,ep_gas_combined_cycle_G100000404159,580.0,gas,Brighton Beach generating station_1 -- operating,e_CA444-345,CA444-345,42.2798,-83.0946,False
e_CA444-345,ep_gas_combined_cycle_G100000404177,1038.0,gas,Greenfield Energy Centre_1 -- operating,e_CA444-345,CA444-345,42.770108,-82.452839,False
