comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_bioenergy__ember,230.0,bioenergy,Aggregated Plant - EMBER Gap_Missing Bioenergy Capacity -- operating,,,,,False
e_CH22-220,ep_hydro_CH22-220__irena,50.453803153068286,hydro,Aggregated Plant - IRENA Gap - CH22-220_Missing Hydro Capacity -- operating,e_CH22-220,CH22-220,47.33667970102833,8.92253514250696,False
e_CH22-220,ep_hydro_dam_G100001027483,52.0,hydro,Siebnen hydroelectric plant_ -- operating,e_CH22-220,CH22-220,47.1745,8.8978,False
e_CH22-220,ep_hydro_ps_G100000603519,135.0,hydro,Etzelwerk Altendorf hydroelectric plant_ -- operating,e_CH22-220,CH22-220,47.1941,8.8129,False
e_CH22-220,ep_hydro_ps_G100001027482,66.0,hydro,Rempen hydroelectric plant_ -- operating,e_CH22-220,CH22-220,47.1385,8.8974,False
e_CH25-380,ep_hydro_CH25-380__irena,16.153193894855857,hydro,Aggregated Plant - IRENA Gap - CH25-380_Missing Hydro Capacity -- operating,e_CH25-380,CH25-380,46.95645392071607,9.137853701610155,False
e_CH25-380,ep_hydro_ror_G100000603538,81.0,hydro,Löntsch hydroelectric plant_ -- operating,e_CH25-380,CH25-380,47.0564,9.0492,False
e_CH26-380,ep_hydro_CH26-380__irena,55.83820111802024,hydro,Aggregated Plant - IRENA Gap - CH26-380_Missing Hydro Capacity -- operating,e_CH26-380,CH26-380,46.875553177383786,9.365525150345036,False
e_CH26-380,ep_hydro_ps_G100000603540,280.0,hydro,Mapragg hydroelectric plant_ -- operating,e_CH26-380,CH26-380,46.9484,9.4813,False
e_CH30-220,ep_hydro_CH30-220__irena,39.485585076314315,hydro,Aggregated Plant - IRENA Gap - CH30-220_Missing Hydro Capacity -- operating,e_CH30-220,CH30-220,46.924151839266194,9.638187106983237,False
e_CH30-220,ep_hydro_dam_G100000603541,198.0,hydro,Mittelbünden hydroelectric plant_ -- operating,e_CH30-220,CH30-220,46.6644,9.5627,False
e_CH33-220,ep_hydro_CH33-220__irena,15.953771748005781,hydro,Aggregated Plant - IRENA Gap - CH33-220_Missing Hydro Capacity -- operating,e_CH33-220,CH33-220,46.72395146170731,8.27283897859235,False
e_CH35-220,ep_hydro_CH35-220__irena,73.98561648137681,hydro,Aggregated Plant - IRENA Gap - CH35-220_Missing Hydro Capacity -- operating,e_CH35-220,CH35-220,46.46535409116739,8.365387871153496,False
e_CH35-220,ep_hydro_dam_G100000603527,100.0,hydro,Handeck I hydroelectric plant_ -- operating,e_CH35-220,CH35-220,46.6167,8.3074,False
e_CH35-220,ep_hydro_dam_G100000603528,90.0,hydro,Handeck II E hydroelectric plant_ -- operating,e_CH35-220,CH35-220,46.6165,8.3066,False
e_CH35-220,ep_hydro_dam_G100000603529,126.0,hydro,Handeck II hydroelectric plant_ -- operating,e_CH35-220,CH35-220,46.6147,8.3036,False
e_CH35-220,ep_hydro_ps_G100001027477,55.0,hydro,Handeck III hydroelectric plant_ -- operating,e_CH35-220,CH35-220,46.617,8.3063,False
