comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_CL114-220,ep_hydro_CL114-220__irena,80.14703187207661,hydro,Aggregated Plant - IRENA Gap - CL114-220_Missing Hydro Capacity -- operating,e_CL114-220,CL114-220,-33.72435989885485,-70.18689825046579,False
e_CL114-220,ep_hydro_ror_G100001027149,49.0,hydro,Queltehues hydroelectric plant_ -- operating,e_CL114-220,CL114-220,-33.8128,-70.2193,False
e_CL114-220,ep_m_hydro_ror_G100000600546,266.0,hydro,Alfalfal 2 hydroelectric plant_ -- mothballed,e_CL114-220,CL114-220,-33.6464,-70.3511,False
e_CL114-220,ep_m_hydro_ror_G100000600562,266.0,hydro,Las Lajas hydroelectric plant_ -- mothballed,e_CL114-220,CL114-220,-33.6464,-70.3511,False
e_CL118-220,ep_hydro_CL118-220__irena,26.48576612640053,hydro,Aggregated Plant - IRENA Gap - CL118-220_Missing Hydro Capacity -- operating,e_CL118-220,CL118-220,-34.24528364759604,-70.31709183980125,False
e_CL118-220,ep_hydro_ror_G100000600551,112.0,hydro,Chacayes hydroelectric plant_ -- operating,e_CL118-220,CL118-220,-34.2756,-70.4523,False
e_CL118-220,ep_hydro_ror_G100000600579,80.0,hydro,Sauzal hydroelectric plant_ -- operating,e_CL118-220,CL118-220,-34.2526,-70.6313,False
e_CL119-220,ep_hydro_CL119-220__irena,43.867050146850886,hydro,Aggregated Plant - IRENA Gap - CL119-220_Missing Hydro Capacity -- operating,e_CL119-220,CL119-220,-34.53327459677654,-70.83983145895317,False
e_CL119-220,ep_hydro_ror_G100000600559,163.0,hydro,La Confluencia hydroelectric plant_ -- operating,e_CL119-220,CL119-220,-34.8335,-70.5537,False
e_CL119-220,ep_hydro_ror_G100000600560,155.0,hydro,La Higuera hydroelectric plant_ -- operating,e_CL119-220,CL119-220,-34.7515,-70.7143,False
e_CL119-220,ep_oil_internal_combustion_G100000412125,58.3,oil,Teno power station_1 -- operating,e_CL119-220,CL119-220,-34.868545,-71.142284,False
e_CL123-220,ep_bioenergy_CL123-220,30.0,bioenergy,Aggregated Plant -- operating,e_CL123-220,CL123-220,-37.0548747935435,-71.81691337690782,False
