comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_coal__ember,889.2000000000735,coal,Aggregated Plant -- operating,,,,,False
e_CN10013-500,ep_hydro_dam_CN10013-500,60.0,hydro,Aggregated Plant -- operating,e_CN10013-500,CN10013-500,26.603731400484683,119.34657948225052,False
e_CN10025-500,ep_coal_ultra-supercritical_CN10025-500,1320.0,coal,Aggregated Plant -- construction,e_CN10025-500,CN10025-500,26.34129148979531,105.41782669134226,False
e_CN10029-500,ep_bioenergy_CN10029-500,30.0,bioenergy,Aggregated Plant -- operating,e_CN10029-500,CN10029-500,26.485306660154514,112.19237356840611,False
e_CN10029-500,ep_hydro_CN10029-500__irena,121.85526429115993,hydro,Aggregated Plant -- operating,e_CN10029-500,CN10029-500,25.989996058693762,111.94058667441966,False
e_CN10029-500,ep_hydro_dam_CN10029-500,60.0,hydro,Aggregated Plant -- operating,e_CN10029-500,CN10029-500,25.97507552543083,111.59624741495587,False
e_CN10029-500,ep_hydro_ror_CN10029-500,45.0,hydro,Aggregated Plant -- operating,e_CN10029-500,CN10029-500,26.452720765175904,111.30324605218507,False
e_CN10035-500,ep_coal_supercritical_CN10035-500,1320.0,coal,Aggregated Plant -- operating,e_CN10035-500,CN10035-500,26.45547439255761,105.44805459525764,False
e_CN10036-500,ep_coal_ultra-supercritical_CN10036-500,1320.0,coal,Aggregated Plant -- operating,e_CN10036-500,CN10036-500,26.342379017317235,119.74511181893074,False
e_CN10036-500,ep_coal_ultra-supercritical_G100000106501,1000.0,coal,Luoyuan Bay power station_Phase I Unit 1 -- operating,e_CN10036-500,CN10036-500,26.385334,119.789459,False
e_CN10036-500,ep_coal_ultra-supercritical_G100000106502,1000.0,coal,Luoyuan Bay power station_Phase I Unit 2 -- operating,e_CN10036-500,CN10036-500,26.385334,119.789459,False
e_CN10041-500,ep_coal_supercritical_CN10041-500,2400.0,coal,Aggregated Plant -- operating,e_CN10041-500,CN10041-500,26.54837426129622,119.72529504417453,False
e_CN10041-500,ep_coal_ultra-supercritical_G100000102871,1000.0,coal,Fuzhou Kemen power station_Phase III Unit 5 -- operating,e_CN10041-500,CN10041-500,26.3734254,119.7622418,False
e_CN10041-500,ep_coal_ultra-supercritical_G100000102872,1000.0,coal,Fuzhou Kemen power station_Phase III Unit 6 -- construction,e_CN10041-500,CN10041-500,26.3734254,119.7622418,False
e_CN10041-500,ep_gas_steam_turbine_CN10041-500,110.0,gas,Aggregated Plant -- operating,e_CN10041-500,CN10041-500,26.19851176008643,119.71673410768997,False
e_CN10051-500,ep_hydro_CN10051-500__irena,13.446098128679717,hydro,Aggregated Plant -- operating,e_CN10051-500,CN10051-500,26.61154123576555,103.54092371943885,False
e_CN10051-500,ep_hydro_dam_CN10051-500,144.0,hydro,Aggregated Plant -- operating,e_CN10051-500,CN10051-500,26.21677153758185,103.71464796028326,False
e_CN10051-500,ep_windon_wind_500,100.0,windon,Aggregated Plant -- operating,e_CN10051-500,CN10051-500,26.197782811744997,103.25435481709684,False
e_CN10057-500,ep_windon_wind_500,964.0,windon,Aggregated Plant -- operating,e_CN10057-500,CN10057-500,26.147782047453223,102.67097673852133,False
e_CN10060-500,ep_hydro_CN10060-500__irena,959.1549998458196,hydro,Aggregated Plant -- operating,e_CN10060-500,CN10060-500,26.501969278441955,102.6272098772043,False
e_CN10060-500,ep_hydro_dam_CN10060-500,72.0,hydro,Aggregated Plant -- operating,e_CN10060-500,CN10060-500,26.144110838496708,102.6597347623881,False
e_CN10060-500,ep_hydro_dam_G100000601256,10200.0,hydro,Wudongde hydroelectric plant_ -- operating,e_CN10060-500,CN10060-500,26.318,102.6338,False
e_CN10062-500,ep_coal_subcritical_CN10062-500,2400.0,coal,Aggregated Plant -- operating,e_CN10062-500,CN10062-500,26.5892553018482,104.75623781986913,False
e_CN10062-500,ep_hydro_CN10062-500__irena,47.808348901972316,hydro,Aggregated Plant -- operating,e_CN10062-500,CN10062-500,26.130256967663268,104.95744765686509,False
e_CN10062-500,ep_hydro_dam_CN10062-500,512.0,hydro,Aggregated Plant -- operating,e_CN10062-500,CN10062-500,26.133584262500218,104.56755108735936,False
e_CN10065-500,ep_windon_wind_500,147.00000000000003,windon,Aggregated Plant -- operating,e_CN10065-500,CN10065-500,26.4237120152491,99.55396034678242,False
e_CN10067-500,ep_hydro_CN10067-500__irena,91.5081678201814,hydro,Aggregated Plant -- operating,e_CN10067-500,CN10067-500,26.572790172317,99.09010770216722,False
e_CN10067-500,ep_hydro_dam_CN10067-500,920.0,hydro,Aggregated Plant -- operating,e_CN10067-500,CN10067-500,26.11374159310222,99.32701009793327,False
e_CN10067-500,ep_hydro_ror_CN10067-500,60.0,hydro,Aggregated Plant -- operating,e_CN10067-500,CN10067-500,26.131214881590925,98.93234266197574,False
e_CN10069-500,ep_hydro_CN10069-500__irena,171.99800522936135,hydro,Aggregated Plant -- operating,e_CN10069-500,CN10069-500,26.656458744291694,118.88014966893935,False
e_CN10069-500,ep_hydro_dam_G100000601174,1400.0,hydro,Shuikou hydroelectric plant_ -- operating,e_CN10069-500,CN10069-500,26.3031,118.8122,False
e_CN10069-500,ep_hydro_ps_CN10069-500,250.0,hydro,Aggregated Plant -- construction,e_CN10069-500,CN10069-500,26.33549193422696,119.17783486067493,False
e_CN10069-500,ep_hydro_ror_CN10069-500,192.0,hydro,Aggregated Plant -- operating,e_CN10069-500,CN10069-500,25.94717832071721,118.7523748977044,False
e_CN10069-500,ep_windon_wind_500,88.0,windon,Aggregated Plant -- operating,e_CN10069-500,CN10069-500,26.358127350747015,118.46324695824669,False
e_CN10087-500,ep_coal_subcritical_CN10087-500,600.0,coal,Aggregated Plant -- operating,e_CN10087-500,CN10087-500,26.628803375227058,104.7023857416701,False
e_CN10087-500,ep_coal_supercritical_CN10087-500,1400.0,coal,Aggregated Plant -- operating,e_CN10087-500,CN10087-500,26.278657881124282,105.13213817914043,False
e_CN10087-500,ep_hydro_CN10087-500__irena,34.17549941039427,hydro,Aggregated Plant -- operating,e_CN10087-500,CN10087-500,25.91515663793931,104.75645974844107,False
e_CN10087-500,ep_hydro_dam_CN10087-500,366.0,hydro,Aggregated Plant -- operating,e_CN10087-500,CN10087-500,26.208273425869578,104.41770173718237,False
e_CN10088-500,ep_windon_wind_500,190.0,windon,Aggregated Plant -- operating,e_CN10088-500,CN10088-500,26.146736590281076,99.69535377646208,False
e_CN10099-500,ep_bioenergy_G100000202287,50.0,bioenergy,Fujian Sanming Sha County (Tsingshan Paper) power station_1 -- construction,e_CN10099-500,CN10099-500,26.5609,117.9845,False
e_CN10099-500,ep_hydro_CN10099-500__irena,78.43557241729835,hydro,Aggregated Plant -- operating,e_CN10099-500,CN10099-500,26.197317071780514,118.2700737984411,False
e_CN10099-500,ep_hydro_dam_CN10099-500,430.0,hydro,Aggregated Plant -- operating,e_CN10099-500,CN10099-500,25.917219116635042,117.82139971649475,False
e_CN10099-500,ep_hydro_ror_CN10099-500,410.0,hydro,Aggregated Plant -- operating,e_CN10099-500,CN10099-500,26.336695786452548,117.56297148263059,False
e_CN10114-500,ep_coal_subcritical_CN10114-500,1200.0,coal,Aggregated Plant -- operating,e_CN10114-500,CN10114-500,26.072668002274515,105.91581546483714,False
e_CN10114-500,ep_coal_ultra-supercritical_CN10114-500,1320.0,coal,Aggregated Plant -- construction,e_CN10114-500,CN10114-500,26.149272222909026,105.42767697648642,False
e_CN10120-500,ep_hydro_CN10120-500__irena,201.69147193019572,hydro,Aggregated Plant -- operating,e_CN10120-500,CN10120-500,26.23405104312084,100.83741862706759,False
e_CN10120-500,ep_hydro_dam_G100000601002,2160.0,hydro,Ludila hydroelectric plant_ -- operating,e_CN10120-500,CN10120-500,26.1996,100.818,False
e_CN10121-500,ep_hydro_CN10121-500__irena,31.374228966919333,hydro,Aggregated Plant -- operating,e_CN10121-500,CN10121-500,26.460255528763,102.62945351502928,False
e_CN10121-500,ep_hydro_dam_CN10121-500,240.0,hydro,Aggregated Plant -- operating,e_CN10121-500,CN10121-500,26.116094275462093,102.92720670345797,False
e_CN10121-500,ep_hydro_ror_CN10121-500,96.0,hydro,Aggregated Plant -- operating,e_CN10121-500,CN10121-500,26.07067199956107,102.4269092513168,False
e_CN10126-500,ep_coal_subcritical_CN10126-500,600.0,coal,Aggregated Plant -- operating,e_CN10126-500,CN10126-500,26.449797221391538,104.05120770950026,False
e_CN10126-500,ep_hydro_CN10126-500__irena,117.65335862594752,hydro,Aggregated Plant -- operating,e_CN10126-500,CN10126-500,26.086067045738396,104.36050830607167,False
e_CN10126-500,ep_hydro_ror_CN10126-500,60.0,hydro,Aggregated Plant -- operating,e_CN10126-500,CN10126-500,26.11006160374923,103.84990659235818,False
e_CN10181-500,ep_hydro_CN10181-500__irena,46.687840724582344,hydro,Aggregated Plant -- operating,e_CN10181-500,CN10181-500,26.180052228278438,115.06629678939218,False
e_CN10181-500,ep_hydro_dam_CN10181-500,500.0,hydro,Aggregated Plant -- operating,e_CN10181-500,CN10181-500,25.825609129101508,115.0052959772694,False
e_CN10188-500,ep_hydro_CN10188-500__irena,20.169147193019572,hydro,Aggregated Plant -- operating,e_CN10188-500,CN10188-500,26.260732054740707,102.66346047416798,False
e_CN10188-500,ep_hydro_dam_CN10188-500,102.0,hydro,Aggregated Plant -- operating,e_CN10188-500,CN10188-500,25.88958700448028,102.90174123045114,False
e_CN10188-500,ep_hydro_ror_CN10188-500,114.0,hydro,Aggregated Plant -- operating,e_CN10188-500,CN10188-500,25.906501782050604,102.3943094634262,False
e_CN10196-500,ep_hydro_CN10196-500__irena,171.811253866463,hydro,Aggregated Plant -- operating,e_CN10196-500,CN10196-500,25.78048620764423,105.24949200891814,False
e_CN10196-500,ep_hydro_dam_G100000600784,1040.0,hydro,Guangzhao hydroelectric plant_ -- operating,e_CN10196-500,CN10196-500,25.9604,105.2494,False
e_CN10201-500,ep_coal_subcritical_CN10201-500,1930.0000000000002,coal,Aggregated Plant -- operating,e_CN10201-500,CN10201-500,26.10767423399945,113.7275464771947,False
e_CN10201-500,ep_hydro_CN10201-500__irena,56.959165683990456,hydro,Aggregated Plant -- operating,e_CN10201-500,CN10201-500,25.818866701690798,113.73922494834025,False
e_CN10201-500,ep_hydro_dam_CN10201-500,500.0,hydro,Aggregated Plant -- operating,e_CN10201-500,CN10201-500,25.41973915014251,113.35148377255716,False
e_CN10201-500,ep_hydro_ror_CN10201-500,110.0,hydro,Aggregated Plant -- operating,e_CN10201-500,CN10201-500,25.687057982559907,112.73642638795461,False
e_CN10201-500,ep_windon_wind_500,198.0,windon,Aggregated Plant -- operating,e_CN10201-500,CN10201-500,26.125796657424175,112.70453379448703,False
e_CN10226-500,ep_windon_wind_500,83.99999999999999,windon,Aggregated Plant -- operating,e_CN10226-500,CN10226-500,25.870812194121616,102.77327199097552,False
e_CN10229-500,ep_hydro_CN10229-500__irena,52.10363024863389,hydro,Aggregated Plant -- operating,e_CN10229-500,CN10229-500,26.066415533899768,105.63281580536677,False
e_CN10229-500,ep_hydro_dam_CN10229-500,558.0,hydro,Aggregated Plant -- operating,e_CN10229-500,CN10229-500,25.70637443484259,105.63010910736487,False
e_CN10238-500,ep_hydro_CN10238-500__irena,147.5335766896802,hydro,Aggregated Plant -- operating,e_CN10238-500,CN10238-500,25.67400043018548,99.17552690323423,False
e_CN10238-500,ep_hydro_dam_G100000601034,1400.0,hydro,Miaowei hydroelectric plant_ -- operating,e_CN10238-500,CN10238-500,25.8536,99.1659,False
e_CN10256-500,ep_bioenergy_CN10256-500,30.0,bioenergy,Aggregated Plant -- construction,e_CN10256-500,CN10256-500,26.322603106202767,112.88277345904504,False
e_CN10256-500,ep_hydro_CN10256-500__irena,116.06597204131172,hydro,Aggregated Plant -- operating,e_CN10256-500,CN10256-500,26.170994810960593,113.27228031152258,False
e_CN10256-500,ep_hydro_dam_CN10256-500,43.0,hydro,Aggregated Plant -- operating,e_CN10256-500,CN10256-500,25.526957088445098,113.37316624370837,False
e_CN10273-500,ep_bioenergy_CN10273-500,30.0,bioenergy,Aggregated Plant -- operating,e_CN10273-500,CN10273-500,26.19360323768573,114.66507729904983,False
e_CN10273-500,ep_hydro_dam_CN10273-500,72.0,hydro,Aggregated Plant -- operating,e_CN10273-500,CN10273-500,25.987628089357752,115.03364493450404,False
e_CN10291-500,ep_bioenergy_CN10291-500,35.0,bioenergy,Aggregated Plant -- operating,e_CN10291-500,CN10291-500,25.557293134557998,103.83781947154894,False
e_CN10296-500,ep_bioenergy_CN10296-500,60.0,bioenergy,Aggregated Plant -- construction,e_CN10296-500,CN10296-500,25.952994866053793,111.9788861808485,False
e_CN10296-500,ep_hydro_CN10296-500__irena,143.3316710244678,hydro,Aggregated Plant -- operating,e_CN10296-500,CN10296-500,25.53517544270292,112.17022243746517,False
e_CN10296-500,ep_hydro_dam_CN10296-500,135.0,hydro,Aggregated Plant -- operating,e_CN10296-500,CN10296-500,25.579701580227837,111.69618808304733,False
e_CN10296-500,ep_hydro_ps_G100000601221,1400.0,hydro,Tianzishan hydroelectric plant_ -- construction,e_CN10296-500,CN10296-500,25.9672,111.8665,False
e_CN1030-1000,ep_bioenergy_CN1030-1000,40.0,bioenergy,Aggregated Plant -- operating,e_CN1030-1000,CN1030-1000,41.87946927899291,114.57729390206877,False
e_CN10308-500,ep_coal_subcritical_CN10308-500,1200.0,coal,Aggregated Plant -- operating,e_CN10308-500,CN10308-500,25.598123708394425,104.17418026145886,False
e_CN10323-500,ep_hydro_CN10323-500__irena,84.03811330424823,hydro,Aggregated Plant -- operating,e_CN10323-500,CN10323-500,25.84398375635136,99.25789332826737,False
e_CN10323-500,ep_hydro_dam_CN10323-500,900.0,hydro,Aggregated Plant -- operating,e_CN10323-500,CN10323-500,25.522529404613874,99.59678595912133,False
e_CN10323-500,ep_windon_wind_500,148.00000000000003,windon,Aggregated Plant -- operating,e_CN10323-500,CN10323-500,25.469065516352025,99.08938885428054,False
e_CN10343-500,ep_hydro_CN10343-500__irena,224.10163547799525,hydro,Aggregated Plant -- operating,e_CN10343-500,CN10343-500,25.360319832682993,118.45385381236531,False
e_CN10343-500,ep_hydro_ps_G100000601285,1200.0,hydro,Xianyou hydroelectric plant_ -- operating,e_CN10343-500,CN10343-500,25.4891,118.5749,False
e_CN10345-500,ep_hydro_CN10345-500__irena,128.85844039984727,hydro,Aggregated Plant -- operating,e_CN10345-500,CN10345-500,25.799511925663836,106.87322778904817,False
