comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_coal__ember,4.0000000000000036,coal,Aggregated Plant -- operating,,,,,False
e_CO12-500,ep_gas_internal_combustion_G100000406713,209.0,gas,El Tesorito power station_1 -- operating,e_CO12-500,CO12-500,8.646644,-75.45943,False
e_CO23-230,ep_hydro_CO23-230__irena,51.88178403755874,hydro,Aggregated Plant - IRENA Gap - CO23-230_Missing Hydro Capacity -- operating,e_CO23-230,CO23-230,7.049182131480202,-73.33216630136523,False
e_CO23-230,ep_hydro_dam_G100000601452,820.0,hydro,Sogamoso hydroelectric plant_ -- operating,e_CO23-230,CO23-230,7.1011,-73.4075,False
e_CO34-220,ep_hydro_CO34-220__irena,25.62453967708694,hydro,Aggregated Plant - IRENA Gap - CO34-220_Missing Hydro Capacity -- operating,e_CO34-220,CO34-220,6.779479405244104,-75.31816402789786,False
e_CO34-220,ep_hydro_dam_G100000601445,405.0,hydro,Porce 2 hydroelectric plant_ -- operating,e_CO34-220,CO34-220,6.8056,-75.1491,False
e_CO44-220,ep_hydro_CO44-220__irena,18.601517691514964,hydro,Aggregated Plant - IRENA Gap - CO44-220_Missing Hydro Capacity -- operating,e_CO44-220,CO44-220,6.490870548821239,-75.44711727340444,False
e_CO44-220,ep_hydro_dam_G100000601430,216.0,hydro,Guadalupe 4 hydroelectric plant_ -- operating,e_CO44-220,CO44-220,6.5205,-75.2518,False
e_CO44-220,ep_hydro_ror_G100000601420,78.0,hydro,Carlos Lleras Restrepo hydroelectric plant_ -- operating,e_CO44-220,CO44-220,6.5197,-75.2528,False
e_CO49-230,ep_hydro_CO49-230__irena,10.755979617542666,hydro,Aggregated Plant - IRENA Gap - CO49-230_Missing Hydro Capacity -- operating,e_CO49-230,CO49-230,6.300448783956454,-74.92390181094224,False
e_CO49-230,ep_hydro_dam_G100000601435,170.0,hydro,Jaguas hydroelectric plant_ -- operating,e_CO49-230,CO49-230,6.3486,-75.005,False
e_CO51-230,ep_hydro_ror_G100001048228,55.0,hydro,Escuela de Minas hydroelectric plant_ -- operating,e_CO51-230,CO51-230,6.2396,-75.3087,False
e_CO53-220,ep_hydro_CO53-220__irena,15.184912401236705,hydro,Aggregated Plant - IRENA Gap - CO53-220_Missing Hydro Capacity -- operating,e_CO53-220,CO53-220,6.06831840876464,-75.54009249302297,False
e_CO55-230,ep_hydro_CO55-230__irena,22.271204855147168,hydro,Aggregated Plant - IRENA Gap - CO55-230_Missing Hydro Capacity -- operating,e_CO55-230,CO55-230,6.2548020841444965,-74.91769947306264,False
e_CO56-230,ep_hydro_ror_G100001048231,52.0,hydro,San Miguel hydroelectric plant_ -- operating,e_CO56-230,CO56-230,5.9918,-75.0686,False
e_CO59-230,ep_solar_pv_230,4.2,solar,Aggregated Plant -- operating,e_CO59-230,CO59-230,4.879442160007078,-73.38402089417241,False
e_CO66-230,ep_coal_subcritical_G100000110023,38.0,coal,Termozipa power station_Unit 2 -- operating,e_CO66-230,CO66-230,4.970817,-73.947258,False
e_CO66-230,ep_coal_subcritical_G100000110024,66.0,coal,Termozipa power station_Unit 3 -- operating,e_CO66-230,CO66-230,4.970817,-73.947258,False
e_CO66-230,ep_coal_subcritical_G100000110025,66.0,coal,Termozipa power station_Unit 4 -- operating,e_CO66-230,CO66-230,4.970817,-73.947258,False
e_CO66-230,ep_coal_subcritical_G100000110026,66.0,coal,Termozipa power station_Unit 5 -- operating,e_CO66-230,CO66-230,4.970817,-73.947258,False
e_CO66-230,ep_solar_pv_230,11.5,solar,Aggregated Plant -- operating,e_CO66-230,CO66-230,4.611927423142732,-73.92614792840959,False
e_CO73-230,ep_hydro_ror_G100001048229,51.0,hydro,Hidroprado hydroelectric plant_ -- operating,e_CO73-230,CO73-230,3.7442,-74.8901,False
