comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_hydro__irena,68.584,hydro,Aggregated Plant - IRENA Gap_Missing Hydro Capacity -- operating,,,,,False
e_CU1-220,ep_gas_CU1-220__ember,60.53909465020575,gas,Aggregated Plant - EMBER Gap - CU1-220_Missing Gas Capacity -- operating,e_CU1-220,CU1-220,23.007574818761196,-81.97744406109562,False
e_CU1-220,ep_gas_combined_cycle_G100000406687,313.0,gas,Boca de Jaruco power station_1 -- operating,e_CU1-220,CU1-220,23.1822,-82.0171,False
e_CU5-220,ep_bioenergy_CU5-220__ember,216.66666666666666,bioenergy,Aggregated Plant - EMBER Gap - CU5-220_Missing Bioenergy Capacity -- operating,e_CU5-220,CU5-220,22.969308424535132,-81.60297686156213,False
e_CU7-220,ep_m_oil_steam_turbine_G100000412091,158.0,oil,CTE Carlos Manuel de Céspedes power station_3 -- mothballed,e_CU7-220,CU7-220,22.160736,-80.455671,False
e_CU7-220,ep_oil_internal_combustion_G100000412099,84.0,oil,Camilo Cienfuegos power station_1-40 -- operating,e_CU7-220,CU7-220,22.1999,-80.53088,False
e_CU7-220,ep_oil_steam_turbine_G100000412090,158.0,oil,CTE Carlos Manuel de Céspedes power station_4 -- operating,e_CU7-220,CU7-220,22.160736,-80.455671,False
e_w147108772-220,ep_gas_combined_cycle_G100000406686,173.0,gas,Varadero power station_1 -- operating,e_w147108772-220,way/147108772-220,23.087568,-81.268878,False
e_w147108772-220,ep_gas_w147108772-220__ember,33.460905349794224,gas,Aggregated Plant - EMBER Gap - way/147108772-220_Missing Gas Capacity -- operating,e_w147108772-220,way/147108772-220,23.28114375998812,-81.54749430411138,False
e_w147108772-220,ep_m_oil_steam_turbine_G100000412106,330.0,oil,Antonio Guiteras Thermoelectric Power Plant (CTE)_1 -- mothballed,e_w147108772-220,way/147108772-220,23.102632,-81.529444,False
e_w147156670-220,ep_m_oil_steam_turbine_G100000412093,125.0,oil,CT 10 de Octubre power station_5 -- mothballed,e_w147156670-220,way/147156670-220,21.567037,-77.271583,False
e_w147156670-220,ep_m_oil_steam_turbine_G100000412095,64.0,oil,CT 10 de Octubre power station_3 -- mothballed,e_w147156670-220,way/147156670-220,21.567037,-77.271583,False
e_w147156670-220,ep_m_oil_steam_turbine_G100000412096,64.0,oil,CT 10 de Octubre power station_2 -- mothballed,e_w147156670-220,way/147156670-220,21.567037,-77.271583,False
e_w147156670-220,ep_m_oil_steam_turbine_G100000412097,64.0,oil,CT 10 de Octubre power station_1 -- mothballed,e_w147156670-220,way/147156670-220,21.567037,-77.271583,False
e_w147156670-220,ep_oil_steam_turbine_G100000412092,125.0,oil,CT 10 de Octubre power station_6 -- operating,e_w147156670-220,way/147156670-220,21.567037,-77.271583,False
e_w147156670-220,ep_oil_steam_turbine_G100000412094,125.0,oil,CT 10 de Octubre power station_4 -- operating,e_w147156670-220,way/147156670-220,21.567037,-77.271583,False
e_w147580686-220,ep_m_oil_steam_turbine_G100000412088,230.0,oil,CTE Lidio Ramón Pérez power station_2 -- mothballed,e_w147580686-220,way/147580686-220,20.727357,-75.596748,False
e_w147580686-220,ep_oil_internal_combustion_G100000412081,60.0,oil,EG Felton Fuel Oil power station_1 -- operating,e_w147580686-220,way/147580686-220,20.727387,-75.596645,False
e_w147580686-220,ep_oil_steam_turbine_G100000412089,250.0,oil,CTE Lidio Ramón Pérez power station_1 -- operating,e_w147580686-220,way/147580686-220,20.727357,-75.596748,False
e_w235919441-220,ep_bioenergy_w235919441-220__ember,216.66666666666666,bioenergy,Aggregated Plant - EMBER Gap - way/235919441-220_Missing Bioenergy Capacity -- operating,e_w235919441-220,way/235919441-220,21.67176630195442,-78.12328929567224,False
e_w318881388-220,ep_m_oil_steam_turbine_G100000412102,95.0,oil,Antonio Maceo Thermoelectric Power Plant_5 -- mothballed,e_w318881388-220,way/318881388-220,19.995485,-75.871003,False
e_w318881388-220,ep_m_oil_steam_turbine_G100000412104,50.0,oil,Antonio Maceo Thermoelectric Power Plant_2 -- mothballed,e_w318881388-220,way/318881388-220,19.995485,-75.871003,False
