comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_DE102-380,ep_gas_combined_cycle_G100000400132,417.0,gas,Cuno herdecke power station_1 -- operating,e_DE102-380,DE102-380,51.4031,7.4155,False
e_DE102-380,ep_hydro_DE102-380__irena,69.83276988956503,hydro,Aggregated Plant - IRENA Gap - DE102-380_Missing Hydro Capacity -- operating,e_DE102-380,DE102-380,51.54249658640862,7.4787947461872735,False
e_DE102-380,ep_hydro_ps_G100000601747,154.0,hydro,Herdecke hydroelectric plant_ -- operating,e_DE102-380,DE102-380,51.4103,7.4526,False
e_DE104-380,ep_coal_DE104-380__ember,672.2558552987554,coal,Aggregated Plant - EMBER Gap - DE104-380_Missing Coal Capacity -- operating,e_DE104-380,DE104-380,51.57555817905021,14.590716725805738,False
e_DE104-380,ep_coal_subcritical_G100000101032,500.0,coal,Boxberg power station_Unit N -- operating,e_DE104-380,DE104-380,51.419696,14.575308,False
e_DE104-380,ep_coal_subcritical_G100000101033,500.0,coal,Boxberg power station_Unit P -- operating,e_DE104-380,DE104-380,51.419696,14.575308,False
e_DE104-380,ep_coal_supercritical_G100000101034,907.0,coal,Boxberg power station_Unit Q -- operating,e_DE104-380,DE104-380,51.419696,14.575308,False
e_DE104-380,ep_coal_ultra-supercritical_G100000101036,675.0,coal,Boxberg power station_Unit R -- operating,e_DE104-380,DE104-380,51.418683,14.568425,False
e_DE108-380,ep_coal_DE108-380__ember,245.0568137899049,coal,Aggregated Plant - EMBER Gap - DE108-380_Missing Coal Capacity -- operating,e_DE108-380,DE108-380,51.74678190843603,11.850674920735099,False
e_DE108-380,ep_coal_subcritical_G100000108876,490.0,coal,Schkopau power station_Phase A -- operating,e_DE108-380,DE108-380,51.398462,11.950385,False
e_DE108-380,ep_coal_subcritical_G100000108877,490.0,coal,Schkopau power station_Phase B -- operating,e_DE108-380,DE108-380,51.398462,11.950385,False
e_DE108-380,ep_gas_combined_cycle_DE108-380,359.1,gas,Aggregated Plant -- operating,e_DE108-380,DE108-380,51.462989786532034,12.303930664555784,False
e_DE108-380,ep_gas_combined_cycle_G100000411146,117.0,gas,Leuna power station_GuD2 -- operating,e_DE108-380,DE108-380,51.2998,12.0193,False
e_DE108-380,ep_gas_steam_turbine_DE108-380,37.0,gas,Aggregated Plant -- operating,e_DE108-380,DE108-380,51.046892807354446,12.020429599241352,False
e_DE108-380,ep_oil_combined_cycle_G100000412865,162.0,oil,Leuna Refinery power station_CHP -- operating,e_DE108-380,DE108-380,51.2866,11.9997,False
e_DE108-380,ep_oil_steam_turbine_DE108-380,92.5,oil,Aggregated Plant -- operating,e_DE108-380,DE108-380,51.37197527931284,11.589837082795604,False
e_DE112-380,ep_gas_DE112-380__ember,10.087597155366335,gas,Aggregated Plant -- operating,e_DE112-380,DE112-380,51.72014902618107,6.672183994784971,False
e_DE112-380,ep_gas_combined_cycle_G100000400137,234.0,gas,Duisburg power station_B -- operating,e_DE112-380,DE112-380,51.39066,6.74778,False
e_DE112-380,ep_gas_gas_turbine_DE112-380,31.0,gas,Aggregated Plant -- operating,e_DE112-380,DE112-380,51.38103547047284,7.069357744558129,False
e_DE112-380,ep_gas_internal_combustion_DE112-380,41.0,gas,Aggregated Plant -- operating,e_DE112-380,DE112-380,51.001370157553396,6.710987781053054,False
e_DE112-380,ep_gas_steam_turbine_DE112-380,62.0,gas,Aggregated Plant -- operating,e_DE112-380,DE112-380,51.34268944495861,6.349657899795512,False
e_DE112-380,ep_gas_steam_turbine_G100000412876,320.0,gas,Huckingen power station_B -- operating,e_DE112-380,DE112-380,51.3699,6.7163,False
e_DE112-380,ep_gas_steam_turbine_G100000412877,320.0,gas,Huckingen power station_A -- operating,e_DE112-380,DE112-380,51.3699,6.7163,False
e_DE119-380,ep_gas_combined_cycle_DE119-380,100.0,gas,Aggregated Plant -- operating,e_DE119-380,DE119-380,51.37695086427485,6.610510141453293,False
e_DE119-380,ep_gas_combined_cycle_G100000400201,595.0,gas,Lausward power station_F -- operating,e_DE119-380,DE119-380,51.2214,6.7313,False
e_DE119-380,ep_gas_gas_turbine_DE119-380,131.4,gas,Aggregated Plant -- operating,e_DE119-380,DE119-380,51.02141615188144,6.659382520621205,False
e_DE129-380,ep_coal_DE129-380__ember,550.127541161011,coal,Aggregated Plant - EMBER Gap - DE129-380_Missing Coal Capacity -- operating,e_DE129-380,DE129-380,51.1305638411899,6.734783840762235,False
e_DE129-380,ep_coal_ultra-supercritical_G100000107368,1100.0,coal,Neurath power station_Unit F -- operating,e_DE129-380,DE129-380,51.035808,6.633038,False
e_DE129-380,ep_coal_ultra-supercritical_G100000107369,1100.0,coal,Neurath power station_Unit G -- operating,e_DE129-380,DE129-380,51.035808,6.633038,False
e_DE13-380,ep_coal_DE13-380__ember,72.44179485197493,coal,Aggregated Plant -- operating,e_DE13-380,DE13-380,53.820488158612335,9.609046608731523,False
e_DE13-380,ep_coal_subcritical_G100000110760,151.0,coal,Wedel power station_Unit 1 -- operating,e_DE13-380,DE13-380,53.566837,9.725696,False
e_DE13-380,ep_coal_subcritical_G100000110761,138.7,coal,Wedel power station_Unit 2 -- operating,e_DE13-380,DE13-380,53.566837,9.725696,False
e_DE13-380,ep_gas_combined_cycle_G100000409747,440.0,gas,Wedel power station_CC1 -- construction,e_DE13-380,DE13-380,53.566837,9.725696,False
e_DE13-380,ep_oil_gas_turbine_DE13-380,101.0,oil,Aggregated Plant -- operating,e_DE13-380,DE13-380,53.462552987181745,9.632443765199568,False
e_DE131-380,ep_bioenergy_DE131-380__ember,445.6137805983681,bioenergy,Aggregated Plant - EMBER Gap - DE131-380_Missing Bioenergy Capacity -- operating,e_DE131-380,DE131-380,51.45500597309681,6.841095631158738,False
e_DE131-380,ep_bioenergy_G100000200245,56.0,bioenergy,AVG Köln RMVA power station_1 -- operating,e_DE131-380,DE131-380,51.0051,6.9488,False
e_DE131-380,ep_coal_DE131-380__ember,28.006493004560557,coal,Aggregated Plant -- operating,e_DE131-380,DE131-380,51.1965597921586,7.373641559067864,False
e_DE131-380,ep_coal_subcritical_G100000101380,112.0,coal,Chempark Leverkusen power station_Unit 1 -- operating,e_DE131-380,DE131-380,51.022231,6.986313,False
e_DE131-380,ep_gas_DE131-380__ember,10.883196335774693,gas,Aggregated Plant -- operating,e_DE131-380,DE131-380,50.67469500709026,7.2480229959015,False
e_DE131-380,ep_gas_combined_cycle_G100000400215,128.0,gas,Merkenich (Nord) power station_1 -- operating,e_DE131-380,DE131-380,51.0178,6.9643,False
e_DE131-380,ep_gas_combined_cycle_G100000400226,413.0,gas,Niehl power station_2 -- operating,e_DE131-380,DE131-380,50.9749,6.988,False
e_DE131-380,ep_gas_combined_cycle_G100000400227,460.0,gas,Niehl power station_3 -- operating,e_DE131-380,DE131-380,50.9749,6.988,False
e_DE131-380,ep_gas_internal_combustion_DE131-380,31.5,gas,Aggregated Plant -- operating,e_DE131-380,DE131-380,50.73203039540105,6.612973632044247,False
