comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_DO3-345,ep_coal_subcritical_G100000104921,128.0,coal,Itabo power station_Unit 1 -- operating,e_DO3-345,DO3-345,18.405797,-70.027169,False
e_DO3-345,ep_coal_subcritical_G100000104922,132.0,coal,Itabo power station_Unit 2 -- operating,e_DO3-345,DO3-345,18.405797,-70.027169,False
e_DO3-345,ep_hydro_DO3-345__irena,28.350871794871814,hydro,Aggregated Plant - IRENA Gap - DO3-345_Missing Hydro Capacity -- operating,e_DO3-345,DO3-345,18.380523057763018,-70.04862087779776,False
e_DO3-345,ep_hydro_dam_G100000601489,98.0,hydro,Jigüey hydroelectric plant_ -- operating,e_DO3-345,DO3-345,18.5112,-70.3321,False
e_DO3-345,ep_hydro_ror_G100001031112,60.0,hydro,Aguacate hydroelectric plant_ -- operating,e_DO3-345,DO3-345,18.4288,-70.2581,False
e_DO3-345,ep_oil_gas_turbine_G100000412062,100.0,oil,Río Haina power station_1 -- operating,e_DO3-345,DO3-345,18.424206,-70.020622,False
e_DO3-345,ep_oil_internal_combustion_G100000412066,107.0,oil,Palamara power station_1 -- operating,e_DO3-345,DO3-345,18.555709,-70.012859,False
e_w1034666194-230,ep_hydro_dam_G100000601492,90.0,hydro,Palomino hydroelectric plant_ -- operating,e_w1034666194-230,way/1034666194-230,18.8078,-70.9872,False
e_w1034666194-230,ep_hydro_ror_G100001031129,50.0,hydro,Pinalito hydroelectric plant_ -- operating,e_w1034666194-230,way/1034666194-230,18.9165,-70.625,False
e_w1034666194-230,ep_hydro_w1034666194-230__irena,25.121025641025657,hydro,Aggregated Plant - IRENA Gap - way/1034666194-230_Missing Hydro Capacity -- operating,e_w1034666194-230,way/1034666194-230,19.270023119622913,-70.36168563757589,False
e_w1034666194-345,ep_oil_steam_turbine_G100000412069,66.0,oil,Falcondo mine power station_3 -- operating,e_w1034666194-345,way/1034666194-345,18.927174,-70.35488,False
e_w1034666194-345,ep_oil_steam_turbine_G100000412070,66.0,oil,Falcondo mine power station_2 -- operating,e_w1034666194-345,way/1034666194-345,18.927174,-70.35488,False
e_w1034666194-345,ep_oil_steam_turbine_G100000412071,66.0,oil,Falcondo mine power station_1 -- operating,e_w1034666194-345,way/1034666194-345,18.927174,-70.35488,False
e_w1058735225-345,ep_gas_combined_cycle_G100000406682,359.0,gas,Los Mina power station_1 -- operating,e_w1058735225-345,way/1058735225-345,18.499396,-69.868562,False
e_w1058735225-345,ep_gas_combined_cycle_G100000406683,150.0,gas,Estrella del Mar III power station_1 -- operating,e_w1058735225-345,way/1058735225-345,18.48307,-69.88298,False
e_w1058735225-345,ep_gas_combined_cycle_G100000406685,319.0,gas,Andrés power station_1 -- operating,e_w1058735225-345,way/1058735225-345,18.4074,-69.6343,False
e_w1058735225-345,ep_gas_gas_turbine_G100000412061,210.0,gas,Siba power station_1 -- operating,e_w1058735225-345,way/1058735225-345,18.45692,-69.62015,False
e_w1058735225-345,ep_gas_internal_combustion_G100000406684,111.0,gas,Estrella del Mar II power station_1 -- operating,e_w1058735225-345,way/1058735225-345,18.483971,-69.883154,False
e_w1058735225-345,ep_gas_steam_turbine_G100000412060,70.0,gas,Siba power station_2 -- construction,e_w1058735225-345,way/1058735225-345,18.45692,-69.62015,False
