comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_DZ1-400,ep_gas_combined_cycle_G100000408064,400.0,gas,Koudiet Eddraouch power plant_3 -- operating,e_DZ1-400,DZ1-400,36.885,8.0778,False
e_DZ1-400,ep_gas_combined_cycle_G100000408065,400.0,gas,Koudiet Eddraouch power plant_2 -- operating,e_DZ1-400,DZ1-400,36.885,8.0778,False
e_DZ1-400,ep_gas_combined_cycle_G100000408066,400.0,gas,Koudiet Eddraouch power plant_1 -- operating,e_DZ1-400,DZ1-400,36.885,8.0778,False
e_DZ113-400,ep_gas_combined_cycle_G100000408089,400.0,gas,Terga power plant_3 -- operating,e_DZ113-400,DZ113-400,35.460867,-1.228057,False
e_DZ113-400,ep_gas_combined_cycle_G100000408090,400.0,gas,Terga power plant_2 -- operating,e_DZ113-400,DZ113-400,35.460867,-1.228057,False
e_DZ113-400,ep_gas_combined_cycle_G100000408091,400.0,gas,Terga power plant_1 -- operating,e_DZ113-400,DZ113-400,35.460867,-1.228057,False
e_DZ113-400,ep_gas_gas_turbine_G100000408015,225.0,gas,Boutlélis power station_2 -- operating,e_DZ113-400,DZ113-400,35.5658,-0.9386,False
e_DZ113-400,ep_gas_gas_turbine_G100000408016,225.0,gas,Boutlélis power station_1 -- operating,e_DZ113-400,DZ113-400,35.5658,-0.9386,False
e_DZ128-400,ep_gas_gas_turbine_G100000408061,140.0,gas,Labreg power plant_3 -- operating,e_DZ128-400,DZ128-400,34.503822,6.982111,False
e_DZ128-400,ep_gas_gas_turbine_G100000408062,140.0,gas,Labreg power plant_2 -- operating,e_DZ128-400,DZ128-400,34.503822,6.982111,False
e_DZ128-400,ep_gas_gas_turbine_G100000408063,140.0,gas,Labreg power plant_1 -- operating,e_DZ128-400,DZ128-400,34.503822,6.982111,False
e_DZ128-400,ep_gas_steam_turbine_G100001018395,700.0,gas,Ogla Power Plant_1 -- construction,e_DZ128-400,DZ128-400,34.98942,7.95184,False
e_DZ13-400,ep_gas_gas_turbine_G100000408037,209.0,gas,Hamma 2 power plant_4 -- operating,e_DZ13-400,DZ13-400,36.7489,3.0823,False
e_DZ13-400,ep_gas_gas_turbine_G100000408038,209.0,gas,Hamma 2 power plant_3 -- operating,e_DZ13-400,DZ13-400,36.7489,3.0823,False
e_DZ18-400,ep_gas_gas_turbine_G100000408057,140.0,gas,Larbaa power plant_4 -- operating,e_DZ18-400,DZ18-400,36.598949,3.137429,False
e_DZ18-400,ep_gas_gas_turbine_G100000408058,140.0,gas,Larbaa power plant_3 -- operating,e_DZ18-400,DZ18-400,36.598949,3.137429,False
e_DZ18-400,ep_gas_gas_turbine_G100000408059,140.0,gas,Larbaa power plant_2 -- operating,e_DZ18-400,DZ18-400,36.598949,3.137429,False
e_DZ18-400,ep_gas_gas_turbine_G100000408060,140.0,gas,Larbaa power plant_1 -- operating,e_DZ18-400,DZ18-400,36.598949,3.137429,False
e_DZ2-400,ep_gas_combined_cycle_G100000400822,400.0,gas,Ras Djinet power plant_2-1 -- operating,e_DZ2-400,DZ2-400,36.849894,3.699716,False
e_DZ2-400,ep_gas_combined_cycle_G100000400823,400.0,gas,Ras Djinet power plant_2-2 -- operating,e_DZ2-400,DZ2-400,36.849894,3.699716,False
