comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_EC11-230,ep_hydro_ror_G100000601553,48.0,hydro,Pilaton-Sarapullo hydroelectric plant_ -- operating,e_EC11-230,EC11-230,-0.3677,-78.915,False
e_EC11-230,ep_hydro_ror_G100000601565,19.0,hydro,Sigchos hydroelectric plant_ -- operating,e_EC11-230,EC11-230,-0.6482,-78.9095,False
e_EC13-230,ep_hydro_dam_G100000601508,160.0,hydro,Agoyàn hydroelectric plant_ -- operating,e_EC13-230,EC13-230,-1.3981,-78.3822,False
e_EC13-230,ep_hydro_ror_G100000601555,38.0,hydro,Pusuno hydroelectric plant_ -- operating,e_EC13-230,EC13-230,-1.0071,-77.6017,False
e_EC13-230,ep_hydro_ror_G100000601559,10.0,hydro,Rio Verde Chico hydroelectric plant_ -- operating,e_EC13-230,EC13-230,-1.3704,-78.4042,False
e_EC13-230,ep_hydro_ror_G100000601560,230.0,hydro,San Francisco hydroelectric plant (Ecuador)_ -- operating,e_EC13-230,EC13-230,-1.4129,-78.2705,False
e_EC13-230,ep_hydro_ror_G100000601570,29.0,hydro,Topo hydroelectric plant_ -- operating,e_EC13-230,EC13-230,-1.3706,-78.2125,False
e_EC14-500,ep_hydro_ror_G100000601564,15.0,hydro,Sibimbe hydroelectric plant_ -- operating,e_EC14-500,EC14-500,-1.4377,-79.3774,False
e_EC17-230,ep_bioenergy_EC17-230,30.0,bioenergy,Aggregated Plant -- operating,e_EC17-230,EC17-230,-2.2796699377100955,-79.27104345891198,False
e_EC17-230,ep_bioenergy_EC17-230__ember,31.643835616438352,bioenergy,Aggregated Plant -- operating,e_EC17-230,EC17-230,-2.6351166620228557,-79.3298598856465,False
e_EC18-230,ep_hydro_ror_G100000601547,26.0,hydro,Ocaña I hydroelectric plant_ -- operating,e_EC18-230,EC18-230,-2.5002,-79.2464,False
e_EC19-230,ep_hydro_ror_G100000601506,38.0,hydro,Abanico hydroelectric plant (Ecuador)_ -- operating,e_EC19-230,EC19-230,-2.256,-78.1982,False
e_EC19-230,ep_hydro_ror_G100000601531,50.0,hydro,Hidronormandía hydroelectric plant_ -- operating,e_EC19-230,EC19-230,-2.2257,-78.2701,False
e_EC19-230,ep_hydro_ror_G100000601532,50.0,hydro,Hidrosanbartolo hydroelectric plant_ -- operating,e_EC19-230,EC19-230,-2.7489,-78.4135,False
e_EC19-230,ep_hydro_ror_G100000601566,487.0,hydro,Sopladora hydroelectric plant_ -- operating,e_EC19-230,EC19-230,-2.5942,-78.4484,False
e_EC20-230,ep_hydro_dam_G100000601541,170.0,hydro,Mazàr hydroelectric plant_ -- operating,e_EC20-230,EC20-230,-2.5964,-78.6207,False
e_EC23-230,ep_gas_EC23-230__ember,308.8145539906103,gas,Aggregated Plant - EMBER Gap - EC23-230_Missing Gas Capacity -- operating,e_EC23-230,EC23-230,-3.203740174852295,-79.82443429842498,False
e_EC23-230,ep_gas_gas_turbine_G100000406676,65.0,gas,Termogas Machala 1 power station_6FA2 -- operating,e_EC23-230,EC23-230,-3.116985,-79.879169,False
e_EC23-230,ep_gas_gas_turbine_G100000406677,65.0,gas,Termogas Machala 1 power station_6FA1 -- operating,e_EC23-230,EC23-230,-3.116985,-79.879169,False
e_EC26-230,ep_hydro_ror_G100000601542,276.0,hydro,Minas San Francisco hydroelectric plant_ -- operating,e_EC26-230,EC26-230,-3.3166,-79.5834,False
e_EC26-230,ep_windon_wind_230,66.0,windon,Aggregated Plant -- operating,e_EC26-230,EC26-230,-3.409765565431739,-79.85088907707787,False
e_EC5-230,ep_hydro_ror_G100000601527,64.0,hydro,Due hydroelectric plant_ -- operating,e_EC5-230,EC5-230,0.0382,-77.3939,False
e_EC8-230,ep_oil_internal_combustion_G100000413137,75.8,oil,TPP Andes Petro power station_1 -- operating,e_EC8-230,EC8-230,-0.118293,-76.341853,False
e_EC8-230,ep_oil_internal_combustion_G100000413138,119.6,oil,Eden Yuturi power station_1 -- operating,e_EC8-230,EC8-230,-0.528791,-76.126258,False
e_EC9-500,ep_hydro_ror_G100000601523,1500.0,hydro,Coca Codo Sinclair hydroelectric plant_ -- operating,e_EC9-500,EC9-500,-0.1993,-77.6839,False
e_w1022455421-230,ep_hydro_ror_G100000601526,180.0,hydro,Delsitanisagua hydroelectric plant_ -- operating,e_w1022455421-230,way/1022455421-230,-4.0456,-78.9847,False
e_w1066507117-230,ep_hydro_ror_G100000601574,10.0,hydro,Victoria hydroelectric plant (Ecuador)_ -- operating,e_w1066507117-230,way/1066507117-230,-0.4167,-78.0242,False
e_w1066507117-500,ep_hydro_dam_G100000601530,21.0,hydro,Guangopolo hydroelectric plant_ -- operating,e_w1066507117-500,way/1066507117-500,-0.2615,-78.4543,False
e_w1066507117-500,ep_hydro_ror_G100000601558,15.0,hydro,Recuperadora hydroelectric plant_ -- operating,e_w1066507117-500,way/1066507117-500,-0.2641,-78.2844,False
e_w1066507117-500,ep_oil_internal_combustion_G100000412048,52.4,oil,Guangopolo II power station_1 -- operating,e_w1066507117-500,way/1066507117-500,-0.270816,-78.451134,False
