comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_EG101-220,ep_gas_EG101-220__ember,27.694134777266175,gas,Aggregated Plant -- operating,e_EG101-220,EG101-220,29.17742343566584,31.36711661593918,False
e_EG101-220,ep_gas_combined_cycle_G100000407585,750.0,gas,Kuriemat power station_3-1 -- operating,e_EG101-220,EG101-220,29.274616,31.222564,False
e_EG101-220,ep_gas_combined_cycle_G100000407586,750.0,gas,Kuriemat power station_2-1 -- operating,e_EG101-220,EG101-220,29.274616,31.222564,False
e_EG101-220,ep_gas_steam_turbine_G100000407583,627.0,gas,Kuriemat power station_1-2 -- operating,e_EG101-220,EG101-220,29.274616,31.222564,False
e_EG101-220,ep_gas_steam_turbine_G100000407584,627.0,gas,Kuriemat power station_1-1 -- operating,e_EG101-220,EG101-220,29.274616,31.222564,False
e_EG114-220,ep_gas_EG114-220__ember,15.083951403739746,gas,Aggregated Plant -- operating,e_EG114-220,EG114-220,27.00920830110512,31.128559610633108,False
e_EG114-220,ep_gas_combined_cycle_G100000407643,750.0,gas,West Assiut power station_2 -- operating,e_EG114-220,EG114-220,27.182448,31.000017,False
e_EG114-220,ep_gas_combined_cycle_G100000407644,750.0,gas,West Assiut power station_1 -- operating,e_EG114-220,EG114-220,27.182448,31.000017,False
e_EG12-220,ep_gas_combined_cycle_G100000407575,750.0,gas,New Combined Talkha power plant_750-1 -- operating,e_EG12-220,EG12-220,31.062017,31.392628,False
e_EG124-220,ep_hydro_dam_G100000601579,2100.0,hydro,Aswan High Dam hydroelectric plant_ -- operating,e_EG124-220,EG124-220,23.9709,32.8777,False
e_EG13-220,ep_nuclear_G100000500180,1200.0,nuclear,El Dabaa nuclear power plant_1 -- construction,e_EG13-220,EG13-220,31.0442,28.4978,False
e_EG13-220,ep_nuclear_G100000500705,1200.0,nuclear,El Dabaa nuclear power plant_2 -- construction,e_EG13-220,EG13-220,31.0442,28.4978,False
e_EG13-220,ep_nuclear_G100000500706,1200.0,nuclear,El Dabaa nuclear power plant_3 -- construction,e_EG13-220,EG13-220,31.0442,28.4978,False
e_EG13-220,ep_nuclear_G100000500707,1200.0,nuclear,El Dabaa nuclear power plant_4 -- construction,e_EG13-220,EG13-220,31.0442,28.4978,False
e_EG14-220,ep_gas_EG14-220__ember,20.84199845292733,gas,Aggregated Plant -- operating,e_EG14-220,EG14-220,31.21198884915969,29.8396395479949,False
e_EG14-220,ep_gas_combined_cycle_G100000407557,750.0,gas,Sidi Krir power plant_CC1 -- operating,e_EG14-220,EG14-220,31.044361,29.660395,False
e_EG14-220,ep_gas_steam_turbine_G100000407553,320.0,gas,Sidi Krir power plant_ST2 -- operating,e_EG14-220,EG14-220,31.044361,29.660395,False
