comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_ES118-400,ep_hydro_ES118-400__irena,91.91434307049266,hydro,Aggregated Plant - IRENA Gap - ES118-400_Missing Hydro Capacity -- operating,e_ES118-400,ES118-400,42.0823910200856,0.5538272049473847,False
e_ES118-400,ep_hydro_dam_G100000603385,107.0,hydro,Canelles I hydroelectric plant_ -- operating,e_ES118-400,ES118-400,41.9763,0.6116,False
e_ES118-400,ep_hydro_dam_G100001027424,61.0,hydro,Biescas II hydroelectric plant_ -- operating,e_ES118-400,ES118-400,42.629,-0.3214,False
e_ES118-400,ep_hydro_dam_G100001027428,59.0,hydro,Camarasa II hydroelectric plant_ -- operating,e_ES118-400,ES118-400,41.8749,0.8781,False
e_ES118-400,ep_hydro_dam_G100001027436,53.0,hydro,Lanuza hydroelectric plant_ -- operating,e_ES118-400,ES118-400,42.7238,-0.2817,False
e_ES118-400,ep_hydro_dam_G100001027439,67.0,hydro,Mediano hydroelectric plant_ -- operating,e_ES118-400,ES118-400,42.3227,0.2438,False
e_ES118-400,ep_hydro_dam_G100001052161,52.0,hydro,Camarasa hydroelectric plant_ -- operating,e_ES118-400,ES118-400,41.9079,0.8871,False
e_ES13-400,ep_gas_combined_cycle_G100000400713,396.0,gas,Santurce power station_4 -- operating,e_ES13-400,ES13-400,43.34,-3.0539,False
e_ES138-400,ep_hydro_ES138-400__irena,12.900258676560373,hydro,Aggregated Plant - IRENA Gap - ES138-400_Missing Hydro Capacity -- operating,e_ES138-400,ES138-400,42.181398058976924,2.4056999553050655,False
e_ES138-400,ep_hydro_dam_G100001027446,56.0,hydro,Sau hydroelectric plant_ -- operating,e_ES138-400,ES138-400,41.947,2.3844,False
e_ES141-400,ep_hydro_ES141-400__irena,23.496899732306396,hydro,Aggregated Plant - IRENA Gap - ES141-400_Missing Hydro Capacity -- operating,e_ES141-400,ES141-400,41.81255497955466,-8.248734378879345,False
e_ES141-400,ep_hydro_dam_G100001027437,49.0,hydro,Las Conchas hydroelectric plant_ -- operating,e_ES141-400,ES141-400,41.9409,-8.0556,False
e_ES141-400,ep_hydro_dam_G100001027443,53.0,hydro,Salas hydroelectric plant_ -- operating,e_ES141-400,ES141-400,41.9443,-8.0349,False
e_ES15-400,ep_gas_combined_cycle_G100000400715,40.0,gas,Solvay Torrelavega power station_1 -- operating,e_ES15-400,ES15-400,43.37658,-4.04467,False
e_ES150-400,ep_gas_combined_cycle_ES150-400,21.0,gas,Aggregated Plant -- operating,e_ES150-400,ES150-400,41.56725362533637,-1.3751863186781839,False
e_ES210-400,ep_gas_combined_cycle_G100000400698,420.1,gas,Plana del Vent power station_1 -- operating,e_ES210-400,ES210-400,40.9596,0.8692,False
e_ES210-400,ep_gas_combined_cycle_G100000400699,414.0,gas,Plana del Vent power station_2 -- operating,e_ES210-400,ES210-400,40.9596,0.8692,False
e_ES210-400,ep_gas_combined_cycle_G100000400719,40.0,gas,Tortosa Energia power station_1 -- operating,e_ES210-400,ES210-400,40.77019,0.53888,False
e_ES210-400,ep_nuclear_G100000500241,1087.0,nuclear,Vandellos nuclear power plant_2 -- operating,e_ES210-400,ES210-400,40.9511,0.8662,False
e_ES223-400,ep_hydro_ES223-400__irena,63.11912281031326,hydro,Aggregated Plant - IRENA Gap - ES223-400_Missing Hydro Capacity -- operating,e_ES223-400,ES223-400,40.40326009227635,-2.9043127256197385,False
e_ES223-400,ep_hydro_dam_G100001027425,54.0,hydro,Buendia Grupo hydroelectric plant_ -- operating,e_ES223-400,ES223-400,40.3664,-2.7565,False
e_ES223-400,ep_hydro_ps_G100000603384,220.0,hydro,Bolarque II hydroelectric plant_ -- operating,e_ES223-400,ES223-400,40.364,-2.8289,False
e_ES251-400,ep_gas_combined_cycle_G100000400644,386.0,gas,Aceca 3 power station_1 -- operating,e_ES251-400,ES251-400,39.9442,-3.8558,False
e_ES251-400,ep_gas_combined_cycle_G100000400645,373.0,gas,Aceca 4 power station_1 -- operating,e_ES251-400,ES251-400,39.9427,-3.8548,False
e_ES251-400,ep_hydro_ES251-400__irena,18.659302728596256,hydro,Aggregated Plant - IRENA Gap - ES251-400_Missing Hydro Capacity -- operating,e_ES251-400,ES251-400,40.50967319812806,-3.819069242566738,False
e_ES251-400,ep_hydro_dam_G100000603386,81.0,hydro,Castrejon hydroelectric plant_ -- operating,e_ES251-400,ES251-400,39.8525,-4.4742,False
e_ES258-400,ep_gas_combined_cycle_ES258-400,23.0,gas,Aggregated Plant -- operating,e_ES258-400,ES258-400,39.9691389844537,-2.2068548304064044,False
e_ES26-400,ep_hydro_ES26-400__irena,11.518088104071763,hydro,Aggregated Plant - IRENA Gap - ES26-400_Missing Hydro Capacity -- operating,e_ES26-400,ES26-400,43.467704201630895,-5.958636475460049,False
e_ES26-400,ep_hydro_dam_G100001027441,50.0,hydro,Proaza hydroelectric plant_ -- operating,e_ES26-400,ES26-400,43.2518,-6.0163,False
e_ES265-400,ep_gas_combined_cycle_ES265-400,26.0,gas,Aggregated Plant -- operating,e_ES265-400,ES265-400,40.03968638546948,0.09827697497708562,False
e_ES265-400,ep_gas_combined_cycle_G100000400670,782.0,gas,Castellón power station_3 -- operating,e_ES265-400,ES265-400,39.9592,-0.001,False
e_ES265-400,ep_gas_combined_cycle_G100000400671,858.0,gas,Castellón power station_4 -- operating,e_ES265-400,ES265-400,39.9592,-0.001,False
e_ES266-400,ep_hydro_ES266-400__irena,67.72635805194197,hydro,Aggregated Plant - IRENA Gap - ES266-400_Missing Hydro Capacity -- operating,e_ES266-400,ES266-400,39.82288122479301,-5.900383364665128,False
e_ES266-400,ep_hydro_dam_G100001027434,52.0,hydro,Guijo De Granadilla hydroelectric plant_ -- operating,e_ES266-400,ES266-400,40.1935,-6.1634,False
e_ES266-400,ep_hydro_ps_G100000603400,110.0,hydro,Gabriel Y Galán hydroelectric plant_ -- operating,e_ES266-400,ES266-400,40.2212,-6.1328,False
e_ES266-400,ep_hydro_ps_G100000603429,132.0,hydro,Torrejón hydroelectric plant_ -- operating,e_ES266-400,ES266-400,39.8356,-5.989,False
e_ES302-400,ep_bioenergy_ES302-400__ember,54.20899854862118,bioenergy,Aggregated Plant - EMBER Gap - ES302-400_Missing Bioenergy Capacity -- operating,e_ES302-400,ES302-400,39.39169676507329,-5.28450735853818,False
e_ES302-400,ep_bioenergy_G100000201435,50.0,bioenergy,Logrosán power station_1 -- construction,e_ES302-400,ES302-400,39.3356,-5.4968,False
e_ES311-400,ep_hydro_ES311-400__irena,56.20826994787021,hydro,Aggregated Plant - IRENA Gap - ES311-400_Missing Hydro Capacity -- operating,e_ES311-400,ES311-400,39.100389481916544,-1.0187547664440735,False
e_ES311-400,ep_hydro_dam_G100000603392,122.0,hydro,Cofrentes hydroelectric plant_ -- operating,e_ES311-400,ES311-400,39.2468,-1.0939,False
e_ES311-400,ep_hydro_ror_G100000603391,122.0,hydro,Cofrentes 1 hydroelectric plant_ -- operating,e_ES311-400,ES311-400,39.2468,-1.0939,False
e_ES311-400,ep_nuclear_G100000500149,1102.0,nuclear,Cofrentes nuclear power plant_-- -- operating,e_ES311-400,ES311-400,39.2134,-1.0509,False
e_ES359-400,ep_gas_combined_cycle_ES359-400,38.0,gas,Aggregated Plant -- operating,e_ES359-400,ES359-400,37.41896204783733,-6.778537041612545,False
e_ES359-400,ep_gas_gas_turbine_ES359-400,75.0,gas,Aggregated Plant -- operating,e_ES359-400,ES359-400,36.859040432268166,-6.903515960026023,False
e_ES359-400,ep_hydro_ES359-400__irena,46.07235241628705,hydro,Aggregated Plant - IRENA Gap - ES359-400_Missing Hydro Capacity -- operating,e_ES359-400,ES359-400,36.38955788322795,-7.506115525503453,False
e_ES359-400,ep_hydro_ps_G100000603389,200.0,hydro,Chira hydroelectric plant_ -- construction,e_ES359-400,ES359-400,27.9101,-15.6495,False
e_ES359-400,ep_m_oil_steam_turbine_G100000412737,40.0,oil,Jinamar power station_ST3 -- mothballed,e_ES359-400,ES359-400,28.042431,-15.411372,False
e_ES359-400,ep_m_oil_steam_turbine_G100000412738,40.0,oil,Jinamar power station_ST2 -- mothballed,e_ES359-400,ES359-400,28.042431,-15.411372,False
e_ES359-400,ep_oil_combined_cycle_G100000412749,236.0,oil,Granadilla power station_CC2 -- operating,e_ES359-400,ES359-400,28.12218,-16.573048,False
e_ES359-400,ep_oil_combined_cycle_G100000412750,226.0,oil,Granadilla power station_CC1 -- operating,e_ES359-400,ES359-400,28.12218,-16.573048,False
