comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_FI12-220,ep_oil_gas_turbine_G100001000140,30.0,oil,Kristiina Reserve power station_GT1 -- operating,e_FI12-220,FI12-220,62.257,21.3262,False
e_FI12-220,ep_oil_gas_turbine_G100001000141,30.0,oil,Kristiina Reserve power station_GT2 -- operating,e_FI12-220,FI12-220,62.257,21.3262,False
e_FI16-400,ep_gas_FI16-400__ember,27.948586118251935,gas,Aggregated Plant - EMBER Gap - FI16-400_Missing Gas Capacity -- operating,e_FI16-400,FI16-400,61.24341943077336,23.471100001871356,False
e_FI16-400,ep_gas_combined_cycle_G100000400081,72.0,gas,Nokia kombi power station_1 -- operating,e_FI16-400,FI16-400,61.47432,23.4966,False
e_FI18-400,ep_gas_FI18-400__ember,57.061696658097695,gas,Aggregated Plant - EMBER Gap - FI18-400_Missing Gas Capacity -- operating,e_FI18-400,FI18-400,61.30738409669615,23.76092679321533,False
e_FI18-400,ep_gas_combined_cycle_G100000400079,147.0,gas,Lielahti power station_1 -- operating,e_FI18-400,FI18-400,61.51042,23.67523,False
e_FI19-400,ep_solar_pv_400,3.6,solar,Aggregated Plant -- operating,e_FI19-400,FI19-400,61.36062937249294,23.654412125692815,False
e_FI20-400,ep_hydro_FI20-400__irena,36.977401129943495,hydro,Aggregated Plant - IRENA Gap - FI20-400_Missing Hydro Capacity -- operating,e_FI20-400,FI20-400,61.511147088233216,23.497712160736288,False
e_FI20-400,ep_hydro_dam_G100001027232,70.0,hydro,Melo hydroelectric plant_ -- operating,e_FI20-400,FI20-400,61.1454,23.5502,False
e_FI23-400,ep_hydro_FI23-400__irena,61.805084745762706,hydro,Aggregated Plant - IRENA Gap - FI23-400_Missing Hydro Capacity -- operating,e_FI23-400,FI23-400,61.049471671249925,22.49342810429999,False
e_FI23-400,ep_hydro_dam_G100001027230,72.0,hydro,Harjavalta hydroelectric plant_ -- operating,e_FI23-400,FI23-400,61.3167,22.1333,False
e_FI23-400,ep_hydro_ror_G100001027231,45.0,hydro,Kolsi hydroelectric plant_ -- operating,e_FI23-400,FI23-400,61.2565,22.3564,False
e_FI23-400,ep_solar_pv_400,3.1,solar,Aggregated Plant -- operating,e_FI23-400,FI23-400,61.02882247951928,22.0231060767362,False
e_FI26-400,ep_hydro_FI26-400__irena,134.17514124293783,hydro,Aggregated Plant - IRENA Gap - FI26-400_Missing Hydro Capacity -- operating,e_FI26-400,FI26-400,60.69797687279824,28.386469685352996,False
e_FI26-400,ep_hydro_dam_G100000601625,192.0,hydro,Imatra hydroelectric plant_ -- operating,e_FI26-400,FI26-400,61.1668,28.7745,False
e_FI26-400,ep_hydro_dam_G100001027234,62.0,hydro,Tainionkoski hydroelectric plant_ -- operating,e_FI26-400,FI26-400,61.2104,28.7834,False
e_FI28-400,ep_bioenergy_FI28-400,45.0,bioenergy,Aggregated Plant -- operating,e_FI28-400,FI28-400,60.386007027348136,25.254790193656188,False
e_FI28-400,ep_bioenergy_FI28-400__ember,77.16813048933503,bioenergy,Aggregated Plant - EMBER Gap - FI28-400_Missing Bioenergy Capacity -- operating,e_FI28-400,FI28-400,60.352664928774566,24.791616663649933,False
e_FI28-400,ep_bioenergy_G100000201374,50.0,bioenergy,Kymijarvi power station_2 -- operating,e_FI28-400,FI28-400,60.9932,25.7193,False
e_FI28-400,ep_bioenergy_G100000410453,76.0,bioenergy,Kymijarvi power station_GT1 -- operating,e_FI28-400,FI28-400,60.9932,25.7193,False
e_FI28-400,ep_solar_pv_400,2.3,solar,Aggregated Plant -- operating,e_FI28-400,FI28-400,60.898721367352046,24.568804504521406,False
e_FI3-220,ep_hydro_FI3-220__irena,76.06779661016948,hydro,Aggregated Plant - IRENA Gap - FI3-220_Missing Hydro Capacity -- operating,e_FI3-220,FI3-220,66.67145576715018,27.281389202681158,False
e_FI3-220,ep_hydro_dam_G100000601634,144.0,hydro,Seitakorva hydroelectric plant_ -- operating,e_FI3-220,FI3-220,66.4052,27.3301,False
e_FI34-400,ep_oil_gas_turbine_G100001000148,20.0,oil,Tolkkinen power station_GT1 -- operating,e_FI34-400,FI34-400,60.3252,25.5789,False
e_FI34-400,ep_oil_gas_turbine_G100001000149,20.0,oil,Tolkkinen power station_GT2 -- operating,e_FI34-400,FI34-400,60.3252,25.5789,False
e_FI35-400,ep_gas_FI35-400__ember,108.30077120822624,gas,Aggregated Plant - EMBER Gap - FI35-400_Missing Gas Capacity -- operating,e_FI35-400,FI35-400,60.07588029304774,24.786861973500073,False
