comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_FR102-400,ep_hydro_FR102-400__irena,17.722158247789405,hydro,Aggregated Plant -- operating,e_FR102-400,FR102-400,48.03138066957168,7.063857225631177,False
e_FR106-400,ep_hydro_FR106-400__irena,50.266485211911764,hydro,Aggregated Plant - IRENA Gap - FR106-400_Missing Hydro Capacity -- operating,e_FR106-400,FR106-400,47.98519504949045,7.912379404067197,False
e_FR106-400,ep_hydro_ror_G100000601674,156.0,hydro,Marckolsheim hydroelectric plant_ -- operating,e_FR106-400,FR106-400,48.1537,7.5898,False
e_FR106-400,ep_oil_gas_turbine_G100000412921,50.0,oil,Ruhbogen power station_1 -- operating,e_FR106-400,FR106-400,48.1669,7.5979,False
e_FR109-400,ep_hydro_FR109-400__irena,45.43316932615102,hydro,Aggregated Plant -- operating,e_FR109-400,FR109-400,47.847507419589284,7.5993319543539695,False
e_FR109-400,ep_hydro_ror_G100000601709,141.0,hydro,Vogelgrün hydroelectric plant_ -- operating,e_FR109-400,FR109-400,48.0199,7.5733,False
e_FR167-400,ep_hydro_FR167-400__irena,14.822168716332957,hydro,Aggregated Plant -- operating,e_FR167-400,FR167-400,45.46250311880742,5.578609937176068,False
e_FR167-400,ep_hydro_ror_FR167-400,46.0,hydro,Aggregated Plant -- operating,e_FR167-400,FR167-400,45.1043472442296,5.539309040941575,False
e_FR186-400,ep_hydro_FR186-400__irena,19.33326354304299,hydro,Aggregated Plant -- operating,e_FR186-400,FR186-400,45.280959521741174,5.657141358380462,False
e_FR186-400,ep_hydro_ror_G100001027250,60.0,hydro,Saint Georges de Commiers hydroelectric plant_ -- operating,e_FR186-400,FR186-400,45.006,5.687,False
e_FR200-400,ep_hydro_FR200-400__irena,35.1220954365281,hydro,Aggregated Plant -- operating,e_FR200-400,FR200-400,44.39820594257629,4.472393631307373,False
e_FR200-400,ep_hydro_dam_G100000601684,109.0,hydro,Pied De Borne hydroelectric plant_ -- operating,e_FR200-400,FR200-400,44.4788,3.9858,False
e_FR230-400,ep_hydro_FR230-400__irena,29.96655849171663,hydro,Aggregated Plant -- operating,e_FR230-400,FR230-400,42.40226272806226,2.356477222949468,False
e_FR230-400,ep_hydro_dam_G100000601666,93.0,hydro,L'Hospitalet hydroelectric plant_ -- operating,e_FR230-400,FR230-400,42.5879,1.7972,False
