comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_ID1-275,ep_coal_subcritical_G100000107179,200.0,coal,Nagan Raya power station_Unit 3 -- operating,e_ID1-275,ID1-275,4.1156362,96.2024123,False
e_ID1-275,ep_coal_subcritical_G100000107180,200.0,coal,Nagan Raya power station_Unit 4 -- operating,e_ID1-275,ID1-275,4.1156362,96.2024123,False
e_ID1-275,ep_coal_subcritical_ID1-275,220.0,coal,Aggregated Plant -- operating,e_ID1-275,ID1-275,4.288249632580776,96.21831593569195,False
e_ID1-275,ep_hydro_ID1-275__irena,17.86813808100027,hydro,Aggregated Plant - IRENA Gap - ID1-275_Missing Hydro Capacity -- operating,e_ID1-275,ID1-275,3.9357703368523844,96.14878251652704,False
e_ID1-275,ep_hydro_ror_G100000602164,88.0,hydro,Peusanga hydroelectric plant_ -- construction,e_ID1-275,ID1-275,4.4495,96.8839,False
e_ID10-500,ep_coal_subcritical_ID10-500,120.0,coal,Aggregated Plant -- operating,e_ID10-500,ID10-500,-5.843895756285473,105.9396260024832,False
e_ID10-500,ep_coal_supercritical_G100000100536,660.0,coal,Banten Serang power station_Unit 1 -- operating,e_ID10-500,ID10-500,-5.882972,106.045929,False
e_ID11-500,ep_coal_subcritical_G100000100537,625.0,coal,Banten Suralaya power station_Unit 08 -- operating,e_ID11-500,ID11-500,-5.8892179,106.0336018,False
e_ID11-500,ep_coal_subcritical_G100000100539,400.0,coal,Banten Suralaya power station_Phase I Unit 1 -- operating,e_ID11-500,ID11-500,-5.8919073,106.0302341,False
e_ID11-500,ep_coal_subcritical_G100000100540,400.0,coal,Banten Suralaya power station_Phase I Unit 2 -- operating,e_ID11-500,ID11-500,-5.8919073,106.0302341,False
e_ID11-500,ep_coal_subcritical_G100000100541,400.0,coal,Banten Suralaya power station_Phase I Unit 3 -- operating,e_ID11-500,ID11-500,-5.8919073,106.0302341,False
e_ID11-500,ep_coal_subcritical_G100000100542,400.0,coal,Banten Suralaya power station_Phase I Unit 4 -- operating,e_ID11-500,ID11-500,-5.8919073,106.0302341,False
e_ID11-500,ep_coal_subcritical_G100000100543,600.0,coal,Banten Suralaya power station_Phase II Unit 1 -- operating,e_ID11-500,ID11-500,-5.8919073,106.0302341,False
e_ID11-500,ep_coal_subcritical_G100000100544,600.0,coal,Banten Suralaya power station_Phase II Unit 2 -- operating,e_ID11-500,ID11-500,-5.8919073,106.0302341,False
e_ID11-500,ep_coal_subcritical_G100000100545,600.0,coal,Banten Suralaya power station_Phase II Unit 3 -- operating,e_ID11-500,ID11-500,-5.8919073,106.0302341,False
e_ID11-500,ep_coal_ultra-supercritical_G100000100538,1000.0,coal,Banten Suralaya power station_Unit 09 -- construction,e_ID11-500,ID11-500,-5.8892179,106.0336018,False
e_ID11-500,ep_coal_ultra-supercritical_G100000113472,1000.0,coal,Banten Suralaya power station_Unit 10 -- construction,e_ID11-500,ID11-500,-5.8892179,106.0336018,False
e_ID11-500,ep_geothermal_G100000700237,110.0,geothermal,Rajabasa geothermal power plant_1 -- construction,e_ID11-500,ID11-500,-5.7817,105.6256,False
e_ID11-500,ep_geothermal_G100000700238,110.0,geothermal,Rajabasa geothermal power plant_2 -- construction,e_ID11-500,ID11-500,-5.7817,105.6256,False
e_ID12-500,ep_coal_ultra-supercritical_G100000104986,991.0,coal,Jawa-7 power station_Unit 1 -- operating,e_ID12-500,ID12-500,-5.991694,106.1008,False
e_ID12-500,ep_coal_ultra-supercritical_G100000104987,991.0,coal,Jawa-7 power station_Unit 2 -- operating,e_ID12-500,ID12-500,-5.991694,106.1008,False
e_ID12-500,ep_gas_combined_cycle_G100000404257,740.0,gas,Cilegon power station_1 -- operating,e_ID12-500,ID12-500,-5.9306,106.1042,False
e_ID13-500,ep_coal_subcritical_G100000101579,140.0,coal,Cikarang Babelan power station_Unit 1 -- operating,e_ID13-500,ID13-500,-6.11607,107.05197,False
e_ID13-500,ep_coal_subcritical_G100000101580,140.0,coal,Cikarang Babelan power station_Unit 2 -- operating,e_ID13-500,ID13-500,-6.11607,107.05197,False
e_ID13-500,ep_gas_combined_cycle_G100000404277,615.0,gas,Muara Tawar power station_1 -- operating,e_ID13-500,ID13-500,-6.0867,106.9987,False
e_ID13-500,ep_gas_combined_cycle_G100000404281,384.0,gas,Muara Tawar power station_5-1 -- operating,e_ID13-500,ID13-500,-6.0867,106.9987,False
e_ID13-500,ep_gas_combined_cycle_G100000404282,440.0,gas,Muara Tawar power station_2 -- operating,e_ID13-500,ID13-500,-6.0867,106.9987,False
e_ID13-500,ep_gas_gas_turbine_G100000404279,140.0,gas,Muara Tawar power station_3-1 -- operating,e_ID13-500,ID13-500,-6.0867,106.9987,False
e_ID13-500,ep_gas_gas_turbine_G100000404280,140.0,gas,Muara Tawar power station_4-1 -- operating,e_ID13-500,ID13-500,-6.0867,106.9987,False
e_ID13-500,ep_gas_gas_turbine_G100000406226,140.0,gas,Muara Tawar power station_3-3 -- operating,e_ID13-500,ID13-500,-6.0867,106.9987,False
