comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_IN10-765,ep_hydro_IN10-765__irena,478.3848959145134,hydro,Aggregated Plant - IRENA Gap - IN10-765_Missing Hydro Capacity -- operating,e_IN10-765,IN10-765,32.03702175416332,74.7763449368781,False
e_IN10-765,ep_hydro_dam_G100000601856,540.0,hydro,Chamera-I hydroelectric plant_ -- operating,e_IN10-765,IN10-765,32.5966,75.9857,False
e_IN10-765,ep_hydro_dam_G100000602004,1000.0,hydro,Pakal Dul hydroelectric plant_ -- construction,e_IN10-765,IN10-765,33.3501,75.7955,False
e_IN10-765,ep_hydro_dam_G100000602018,396.0,hydro,Pong hydroelectric plant_ -- operating,e_IN10-765,IN10-765,31.9667,75.9469,False
e_IN10-765,ep_hydro_dam_G100000602031,600.0,hydro,Ranjit Sagar hydroelectric plant_ -- operating,e_IN10-765,IN10-765,32.4404,75.7305,False
e_IN10-765,ep_hydro_dam_G100000602052,206.0,hydro,Shahpurkandi Dam hydroelectric plant_ -- construction,e_IN10-765,IN10-765,32.3017,75.6586,False
e_IN10-765,ep_hydro_ror_G100000601826,192.0,hydro,Allain Duhangan hydroelectric plant_ -- operating,e_IN10-765,IN10-765,32.2258,77.207,False
e_IN10-765,ep_hydro_ror_G100000601832,450.0,hydro,Baglihar-I hydroelectric plant_ -- operating,e_IN10-765,IN10-765,33.1815,75.3155,False
e_IN10-765,ep_hydro_ror_G100000601833,450.0,hydro,Baglihar-II hydroelectric plant_ -- operating,e_IN10-765,IN10-765,33.1815,75.3155,False
e_IN10-765,ep_hydro_ror_G100000601834,180.0,hydro,Baira Siul hydroelectric plant_ -- operating,e_IN10-765,IN10-765,32.8063,76.1418,False
e_IN10-765,ep_hydro_ror_G100000601835,180.0,hydro,Bajoli Holi hydroelectric plant_ -- operating,e_IN10-765,IN10-765,32.5581,76.1306,False
e_IN10-765,ep_hydro_ror_G100000601857,300.0,hydro,Chamera-II hydroelectric plant_ -- operating,e_IN10-765,IN10-765,32.4734,76.2552,False
e_IN10-765,ep_hydro_ror_G100000601858,231.0,hydro,Chamera-III hydroelectric plant_ -- operating,e_IN10-765,IN10-765,32.4598,76.2443,False
e_IN10-765,ep_hydro_ror_G100000601860,126.0,hydro,Chhatru hydroelectric plant_ -- construction,e_IN10-765,IN10-765,32.3196,77.3645,False
e_IN10-765,ep_hydro_ror_G100000601879,390.0,hydro,Dulhasti-I hydroelectric plant_ -- operating,e_IN10-765,IN10-765,33.3691,75.7985,False
e_IN10-765,ep_hydro_ror_G100000601933,624.0,hydro,Kiru hydroelectric plant_ -- construction,e_IN10-765,IN10-765,33.3457,75.9534,False
e_IN10-765,ep_hydro_ror_G100000601934,330.0,hydro,Kishanganga hydroelectric plant_ -- operating,e_IN10-765,IN10-765,34.649,74.7514,False
e_IN10-765,ep_hydro_ror_G100000601953,240.0,hydro,Kutehr hydroelectric plant_ -- construction,e_IN10-765,IN10-765,32.4601,76.4601,False
e_IN10-765,ep_hydro_ror_G100000601970,210.0,hydro,Luhri-I hydroelectric plant_ -- construction,e_IN10-765,IN10-765,32.1978,76.3212,False
e_IN10-765,ep_hydro_ror_G100000602033,850.0,hydro,Ratle hydroelectric plant_ -- construction,e_IN10-765,IN10-765,33.1817,75.8031,False
e_IN10-765,ep_hydro_ror_G100000602041,690.0,hydro,Salal hydroelectric plant_ -- operating,e_IN10-765,IN10-765,33.142,74.8097,False
e_IN10-765,ep_hydro_ror_G100000602050,120.0,hydro,Sewa-II hydroelectric plant_ -- operating,e_IN10-765,IN10-765,32.6762,75.8215,False
e_IN10-765,ep_hydro_ror_G100000602053,110.0,hydro,Shanan hydroelectric plant_ -- operating,e_IN10-765,IN10-765,31.9894,76.8072,False
e_IN10-765,ep_hydro_ror_G100000602111,480.0,hydro,Uri-I hydroelectric plant_ -- operating,e_IN10-765,IN10-765,34.1442,74.1857,False
