comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_coal__ember,5.000000000000004,coal,Aggregated Plant -- operating,,,,,False
e_IE4-220,ep_gas_gas_turbine_G100000410431,65.0,gas,Corduff Flexgen power station_GT1 -- construction,e_IE4-220,IE4-220,53.3911,-6.3748,False
e_IE6-220,ep_bioenergy_G100000200263,68.0,bioenergy,Dublin Waste-to-Energy power station_1 -- operating,e_IE6-220,IE6-220,53.3387,-6.2004,False
e_IE6-220,ep_bioenergy_IE6-220__ember,42.00000000000001,bioenergy,Aggregated Plant -- operating,e_IE6-220,IE6-220,53.366909403973004,-6.1336323609947305,False
e_IE6-220,ep_gas_combined_cycle_G100000400326,405.0,gas,Dublin Bay power station_1 -- operating,e_IE6-220,IE6-220,53.34,-6.2049,False
e_IE6-220,ep_gas_combined_cycle_G100000400330,245.0,gas,Poolbeg power station_A -- operating,e_IE6-220,IE6-220,53.3396,-6.1867,False
e_IE6-220,ep_gas_combined_cycle_G100000400331,245.0,gas,Poolbeg power station_B -- operating,e_IE6-220,IE6-220,53.3396,-6.1867,False
e_IE6-220,ep_gas_gas_turbine_G100000410139,65.0,gas,Poolbeg power station_Flexgen -- construction,e_IE6-220,IE6-220,53.3396,-6.1867,False
e_IE6-220,ep_gas_gas_turbine_G100001000038,35.0,gas,North Wall power station_GT1 -- operating,e_IE6-220,IE6-220,53.3502,-6.2111,False
e_IE6-220,ep_gas_gas_turbine_G100001001066,65.0,gas,Ringsend Flexgen power station_1 -- construction,e_IE6-220,IE6-220,53.338684,-6.2048617,False
e_IE6-220,ep_gas_gas_turbine_G100001019989,35.0,gas,North Wall power station_GT2 -- operating,e_IE6-220,IE6-220,53.3502,-6.2111,False
e_IE6-220,ep_gas_gas_turbine_G100001019990,35.0,gas,North Wall power station_GT3 -- operating,e_IE6-220,IE6-220,53.3502,-6.2111,False
e_IE6-220,ep_gas_gas_turbine_G100001019991,35.0,gas,North Wall power station_GT4 -- operating,e_IE6-220,IE6-220,53.3502,-6.2111,False
e_IE6-220,ep_gas_gas_turbine_G100001019992,35.0,gas,North Wall power station_GT5 -- operating,e_IE6-220,IE6-220,53.3502,-6.2111,False
e_IE6-220,ep_gas_gas_turbine_G100001019993,35.0,gas,North Wall power station_GT6 -- operating,e_IE6-220,IE6-220,53.3502,-6.2111,False
e_IE6-220,ep_m_gas_gas_turbine_G100000410140,108.0,gas,North Wall power station_5 -- mothballed,e_IE6-220,IE6-220,53.3502,-6.2111,False
e_IE6-220,ep_m_gas_gas_turbine_G100000410141,108.0,gas,North Wall power station_4 -- mothballed,e_IE6-220,IE6-220,53.3502,-6.2111,False
e_IE7-220,ep_gas_gas_turbine_G100000409891,52.0,gas,Rhode power station_2 -- operating,e_IE7-220,IE7-220,53.359139,-7.213056,False
e_IE7-220,ep_gas_gas_turbine_G100000409892,52.0,gas,Rhode power station_1 -- operating,e_IE7-220,IE7-220,53.359139,-7.213056,False
e_IE7-220,ep_gas_gas_turbine_G100000410432,55.0,gas,"Castlelost Flexgen power station_GT1, timepoint 1 -- operating",e_IE7-220,IE7-220,53.3994,-7.3207,False
e_IE7-220,ep_gas_gas_turbine_G100001028101,55.0,gas,"Castlelost Flexgen power station_GT2, timepoint 1 -- operating",e_IE7-220,IE7-220,53.3994,-7.3207,False
e_IE7-220,ep_gas_gas_turbine_G100001028102,55.0,gas,"Castlelost Flexgen power station_GT3, timepoint 1 -- operating",e_IE7-220,IE7-220,53.3994,-7.3207,False
e_IE7-220,ep_gas_gas_turbine_G100001028103,55.0,gas,"Castlelost Flexgen power station_GT4, timepoint 1 -- operating",e_IE7-220,IE7-220,53.3994,-7.3207,False
e_IE7-220,ep_gas_gas_turbine_G100001028104,55.0,gas,"Castlelost Flexgen power station_GT5, timepoint 1 -- operating",e_IE7-220,IE7-220,53.3994,-7.3207,False
e_w104388599-220,ep_gas_combined_cycle_G100000400325,431.0,gas,Aghada power station_Unit 2 -- operating,e_w104388599-220,way/104388599-220,51.8347,-8.2362,False
