comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_bioenergy__ember,10.0,bioenergy,Aggregated Plant -- operating,,,,,False
ELC,ep_gas__ember,87.49999999997726,gas,Aggregated Plant -- operating,,,,,False
e_IR101-400,ep_solar_pv_400,10.6,solar,Aggregated Plant -- operating,e_IR101-400,IR101-400,36.24269034066284,50.46551581044671,False
e_IR103-400,ep_hydro_dam_G100000602183,90.0,hydro,Amir Kabir hydroelectric plant_ -- operating,e_IR103-400,IR103-400,35.9584,51.0888,False
e_IR103-400,ep_solar_pv_400,4.9,solar,Aggregated Plant -- operating,e_IR103-400,IR103-400,36.04207612161593,50.962273850731236,False
e_IR110-230,ep_hydro_dam_G100001027302,45.0,hydro,Latyan hydroelectric plant_ -- operating,e_IR110-230,IR110-230,35.7898,51.6785,False
e_IR110-230,ep_hydro_ror_G100001051920,47.0,hydro,Lavarak hydroelectric plant_ -- operating,e_IR110-230,IR110-230,35.8097,51.7485,False
e_IR113-230,ep_hydro_dam_G100000602189,116.0,hydro,Kalan hydroelectric plant_ -- operating,e_IR113-230,IR113-230,35.8066,51.7915,False
e_IR121-230,ep_gas_gas_turbine_G100000411070,500.0,gas,Buin Zahra power plant_1 -- operating,e_IR121-230,IR121-230,35.7654,50.0529,False
e_IR133-230,ep_gas_steam_turbine_IR133-230,249.0,gas,Aggregated Plant -- operating,e_IR133-230,IR133-230,35.701520791171134,51.50443661498105,False
e_IR143-230,ep_hydro_ps_G100000604217,510.0,hydro,Azad Pumped Storage hydroelectric plant_ -- construction,e_IR143-230,IR143-230,35.3521,46.5681,False
e_IR144-230,ep_gas_combined_cycle_G100000408353,1071.0,gas,Rey power station_CC -- construction,e_IR144-230,IR144-230,35.5207,51.4078,False
e_IR144-230,ep_gas_gas_turbine_IR144-230,455.0,gas,Aggregated Plant -- operating,e_IR144-230,IR144-230,35.530130891158514,51.545291736295276,False
e_IR147-230,ep_gas_combined_cycle_G100000408329,500.0,gas,Parand power station_3 -- operating,e_IR147-230,IR147-230,35.462011,51.012413,False
e_IR147-230,ep_gas_combined_cycle_G100000408330,500.0,gas,Parand power station_2 -- operating,e_IR147-230,IR147-230,35.462011,51.012413,False
e_IR147-230,ep_gas_combined_cycle_G100000408331,500.0,gas,Parand power station_1 -- operating,e_IR147-230,IR147-230,35.462011,51.012413,False
e_IR149-400,ep_gas_combined_cycle_G100000408214,478.0,gas,Damavand power station_6 -- operating,e_IR149-400,IR149-400,35.4156,51.851,False
e_IR149-400,ep_gas_combined_cycle_G100000408215,478.0,gas,Damavand power station_5 -- operating,e_IR149-400,IR149-400,35.4156,51.851,False
e_IR149-400,ep_gas_combined_cycle_G100000408216,478.0,gas,Damavand power station_4 -- operating,e_IR149-400,IR149-400,35.4156,51.851,False
e_IR149-400,ep_gas_combined_cycle_G100000408217,478.0,gas,Damavand power station_3 -- operating,e_IR149-400,IR149-400,35.4156,51.851,False
