comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_IQ11-400,ep_oil_internal_combustion_G100000411600,340.0,oil,Samarra Diesel power plant_1 -- operating,e_IQ11-400,IQ11-400,34.090186,43.985088,False
e_IQ11-400,ep_oil_steam_turbine_G100000400974,630.0,oil,Salahuddin power station_1 -- operating,e_IQ11-400,IQ11-400,34.088318,43.972092,False
e_IQ11-400,ep_oil_steam_turbine_G100000400975,630.0,oil,Salahuddin power station_2 -- operating,e_IQ11-400,IQ11-400,34.088318,43.972092,False
e_IQ13-400,ep_gas_combined_cycle_G100001027724,275.0,gas,Al-Anbar power station_1-ST1 -- construction,e_IQ13-400,IQ13-400,33.534044,43.023417,False
e_IQ13-400,ep_gas_combined_cycle_G100001027725,273.0,gas,Al-Anbar power station_2-GT1 -- construction,e_IQ13-400,IQ13-400,33.534044,43.023417,False
e_IQ13-400,ep_gas_combined_cycle_G100001027726,273.0,gas,Al-Anbar power station_2-GT2 -- construction,e_IQ13-400,IQ13-400,33.534044,43.023417,False
e_IQ13-400,ep_gas_combined_cycle_G100001027727,275.0,gas,Al-Anbar power station_2-ST1 -- construction,e_IQ13-400,IQ13-400,33.534044,43.023417,False
e_IQ13-400,ep_gas_gas_turbine_G100000411039,273.0,gas,Al-Anbar power station_1-GT2 -- construction,e_IQ13-400,IQ13-400,33.534044,43.023417,False
e_IQ13-400,ep_gas_gas_turbine_G100000411040,273.0,gas,Al-Anbar power station_1-GT1 -- construction,e_IQ13-400,IQ13-400,33.534044,43.023417,False
e_IQ16-400,ep_oil_internal_combustion_IQ16-400,121.0,oil,Aggregated Plant -- operating,e_IQ16-400,IQ16-400,33.35764687366903,44.412045068941325,False
e_IQ23-400,ep_oil_internal_combustion_IQ23-400,75.0,oil,Aggregated Plant -- operating,e_IQ23-400,IQ23-400,30.76659018515737,47.41441870847778,False
e_IQ26-400,ep_gas_steam_turbine_G100000407765,200.0,gas,Haritha power station_2 -- operating,e_IQ26-400,IQ26-400,30.67749,47.754375,False
e_IQ26-400,ep_gas_steam_turbine_G100000407766,200.0,gas,Haritha power station_1 -- operating,e_IQ26-400,IQ26-400,30.67749,47.754375,False
