comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_IT10-380,ep_hydro_IT10-380__irena,199.76152334984016,hydro,Aggregated Plant - IRENA Gap - IT10-380_Missing Hydro Capacity -- operating,e_IT10-380,IT10-380,46.33499449834682,9.332379339423053,False
e_IT10-380,ep_hydro_dam_G100001027305,56.0,hydro,Ardenno hydroelectric plant_ -- operating,e_IT10-380,IT10-380,46.1556,9.6439,False
e_IT10-380,ep_hydro_dam_G100001027307,60.0,hydro,Chiavenna hydroelectric plant_ -- operating,e_IT10-380,IT10-380,46.3128,9.3963,False
e_IT10-380,ep_hydro_ror_G100000602239,280.0,hydro,Mese hydroelectric plant_ -- operating,e_IT10-380,IT10-380,46.3051,9.3783,False
e_IT10-380,ep_hydro_ror_G100001027308,42.0,hydro,Monastero hydroelectric plant_ -- operating,e_IT10-380,IT10-380,46.1544,9.4408,False
e_IT116-380,ep_hydro_IT116-380__irena,29.64497492634614,hydro,Aggregated Plant -- operating,e_IT116-380,IT116-380,44.38108346863572,7.535801752723314,False
e_IT116-380,ep_hydro_dam_G100001030550,65.0,hydro,Andonno hydroelectric plant_ -- operating,e_IT116-380,IT116-380,44.2946,7.4463,False
e_IT128-380,ep_hydro_IT128-380__irena,30.557128001002944,hydro,Aggregated Plant -- operating,e_IT128-380,IT128-380,43.89524827594932,10.54458794752839,False
e_IT128-380,ep_hydro_dam_G100001027309,67.0,hydro,Torrite hydroelectric plant_ -- operating,e_IT128-380,IT128-380,44.1264,10.3934,False
e_IT134-380,ep_geothermal_G100000700012,40.0,geothermal,Bagnore geothermal power plant_4 -- operating,e_IT134-380,IT134-380,42.8416,11.5588,False
e_IT134-380,ep_geothermal_IT134-380,79.0,geothermal,Aggregated Plant -- operating,e_IT134-380,IT134-380,43.22380289313499,11.308098146424308,False
e_IT138-380,ep_gas_IT138-380__ember,80.2684041640237,gas,Aggregated Plant -- operating,e_IT138-380,IT138-380,42.89017884161784,12.777417829885406,False
e_IT138-380,ep_gas_combined_cycle_G100000400415,365.0,gas,Pietrafitta power station_1 -- operating,e_IT138-380,IT138-380,42.9954,12.1995,False
e_IT138-380,ep_windon_wind_380,312.0,windon,Aggregated Plant -- operating,e_IT138-380,IT138-380,42.53386277651376,12.969668243284131,False
e_IT140-380,ep_gas_IT140-380__ember,58.93680086563932,gas,Aggregated Plant -- operating,e_IT140-380,IT140-380,42.679677926082235,14.190984989833265,False
e_IT140-380,ep_gas_combined_cycle_IT140-380,225.99999999999997,gas,Aggregated Plant -- operating,e_IT140-380,IT140-380,42.257960592195325,14.476297402402551,False
e_IT140-380,ep_gas_internal_combustion_IT140-380,42.0,gas,Aggregated Plant -- operating,e_IT140-380,IT140-380,41.96849973491829,14.076340424201442,False
e_IT140-380,ep_windon_wind_380,156.0,windon,Aggregated Plant -- operating,e_IT140-380,IT140-380,42.39268875711295,13.768282370143158,False
e_IT143-380,ep_gas_IT143-380__ember,84.66667288534008,gas,Aggregated Plant -- operating,e_IT143-380,IT143-380,41.07127791750188,14.77220873022571,False
e_IT21-380,ep_hydro_IT21-380__irena,554.1329928540086,hydro,Aggregated Plant - IRENA Gap - IT21-380_Missing Hydro Capacity -- operating,e_IT21-380,IT21-380,45.95173091963021,8.857413967558651,False
