comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_bioenergy__ember,50.0,bioenergy,Aggregated Plant - EMBER Gap_Missing Bioenergy Capacity -- operating,,,,,False
e_KH11-230,ep_hydro_KH11-230__irena,33.70000000000006,hydro,Aggregated Plant - IRENA Gap - KH11-230_Missing Hydro Capacity -- operating,e_KH11-230,KH11-230,12.938282135408226,104.83236987319945,False
e_KH11-230,ep_hydro_dam_G100000604833,150.0,hydro,Stung Tatai Leu hydroelectric plant_ -- construction,e_KH11-230,KH11-230,12.5433,104.8145,False
e_KH15-230,ep_hydro_dam_G100000600378,132.0,hydro,Russei Chrum Krom Lower hydroelectric plant_ -- operating,e_KH15-230,KH15-230,11.8244,103.109,False
e_KH15-230,ep_hydro_dam_G100000600379,206.0,hydro,Russei Chrum Krom Upper hydroelectric plant_ -- operating,e_KH15-230,KH15-230,11.8574,103.1027,False
e_KH2-230,ep_hydro_dam_G100000600377,400.0,hydro,Lower Sesan 2 hydroelectric plant_ -- operating,e_KH2-230,KH2-230,13.5531,106.256,False
e_KH20-230,ep_hydro_dam_G100000600384,246.0,hydro,Stung Tatay hydroelectric plant_ -- operating,e_KH20-230,KH20-230,11.5897,103.1697,False
e_KH22-230,ep_coal_subcritical_G100000109368,50.0,coal,Sihanoukville CEL power station_Unit 1 -- operating,e_KH22-230,KH22-230,10.740213,103.580827,False
e_KH22-230,ep_coal_subcritical_G100000109369,50.0,coal,Sihanoukville CEL power station_Unit 2 -- operating,e_KH22-230,KH22-230,10.740213,103.580827,False
e_KH22-230,ep_coal_supercritical_G100000114128,350.0,coal,Sihanoukville CIIDG power station 2_Unit 1 -- operating,e_KH22-230,KH22-230,10.73381,103.596159,False
e_KH22-230,ep_coal_supercritical_G100000114129,350.0,coal,Sihanoukville CIIDG power station 2_Unit 2 -- operating,e_KH22-230,KH22-230,10.73381,103.596159,False
e_KH22-230,ep_coal_ultra-supercritical_G100000113072,150.0,coal,Sihanoukville CEL power station_Unit 3 -- operating,e_KH22-230,KH22-230,10.740213,103.580827,False
e_KH23-230,ep_hydro_dam_G100000600376,194.0,hydro,Kamchay hydroelectric plant_ -- operating,e_KH23-230,KH23-230,10.703,104.1187,False
e_w1262285131-230,ep_oil_internal_combustion_G100000412609,200.2,oil,Phom Penh power sation_1 -- operating,e_w1262285131-230,way/1262285131-230,11.535117,105.081774,False
e_w1262285131-230,ep_oil_internal_combustion_G100000412610,200.3,oil,C7 power station_1 -- operating,e_w1262285131-230,way/1262285131-230,11.536769,105.082925,False
