comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_KR1-345,ep_hydro_KR1-345__irena,74.31505965817476,hydro,Aggregated Plant - IRENA Gap - KR1-345_Missing Hydro Capacity -- operating,e_KR1-345,KR1-345,37.96898096874112,128.60533549958734,False
e_KR1-345,ep_hydro_ps_G100000603370,1000.0,hydro,Yangyang hydroelectric plant_ -- operating,e_KR1-345,KR1-345,38.0205,128.5371,False
e_KR10-345,ep_bioenergy_G1000002491,175.0,bioenergy,"Yongdong power station_1, timepoint 2 -- operating",e_KR10-345,KR10-345,37.738959,128.980391,False
e_KR10-345,ep_bioenergy_G1000002492,200.0,bioenergy,"Yongdong power station_2, timepoint 2 -- operating",e_KR10-345,KR10-345,37.738959,128.980391,False
e_KR10-345,ep_bioenergy_KR10-345__ember,541.4249456127629,bioenergy,Aggregated Plant - EMBER Gap - KR10-345_Missing Bioenergy Capacity -- operating,e_KR10-345,KR10-345,37.90855362991652,128.98947113259788,False
e_KR10-345,ep_coal_ultra-supercritical_G100000100246,1040.0,coal,Anin power station_Unit 1 -- operating,e_KR10-345,KR10-345,37.733159,128.979405,False
e_KR10-345,ep_coal_ultra-supercritical_G100000100247,1040.0,coal,Anin power station_Unit 2 -- operating,e_KR10-345,KR10-345,37.733159,128.979405,False
e_KR10-345,ep_m_hydro_dam_G100000604384,82.0,hydro,Gangneung hydroelectric plant_ -- mothballed,e_KR10-345,KR10-345,37.7061,128.8224,False
e_KR14-345,ep_gas_combined_cycle_KR14-345,115.0,gas,Aggregated Plant -- operating,e_KR14-345,KR14-345,37.425915627048674,126.99275615500788,False
e_KR15-345,ep_gas_combined_cycle_G100000401371,504.0,gas,KOMIPO Incheon power station_1 -- operating,e_KR15-345,KR15-345,37.5109,126.609,False
e_KR15-345,ep_gas_combined_cycle_G100000401372,509.0,gas,KOMIPO Incheon power station_2 -- operating,e_KR15-345,KR15-345,37.5109,126.609,False
e_KR15-345,ep_gas_combined_cycle_G100000401373,450.0,gas,KOMIPO Incheon power station_3 -- operating,e_KR15-345,KR15-345,37.5109,126.609,False
e_KR15-345,ep_gas_combined_cycle_KR15-345,1927.0,gas,Aggregated Plant -- operating,e_KR15-345,KR15-345,37.39366342627596,126.54198419490218,False
e_KR16-345,ep_gas_combined_cycle_G100000401399,400.0,gas,Seoul power station_1 -- operating,e_KR16-345,KR16-345,37.544246,126.919861,False
e_KR16-345,ep_gas_combined_cycle_G100000401400,400.0,gas,Seoul power station_2 -- operating,e_KR16-345,KR16-345,37.544246,126.919861,False
e_KR17-345,ep_bioenergy_G100000200051,50.0,bioenergy,Sudokwon Landfill power station_1 -- operating,e_KR17-345,KR17-345,37.5765,126.6616,False
e_KR17-345,ep_bioenergy_KR17-345__ember,72.18999274836838,bioenergy,Aggregated Plant - EMBER Gap - KR17-345_Missing Bioenergy Capacity -- operating,e_KR17-345,KR17-345,37.419298472038925,126.55391827439176,False
e_KR17-345,ep_gas_combined_cycle_G100000401353,450.0,gas,Bucheon power station_1 -- operating,e_KR17-345,KR17-345,37.5225,126.764,False
e_KR17-345,ep_gas_combined_cycle_G100000401374,450.0,gas,POSCO Incheon power station_3 -- operating,e_KR17-345,KR17-345,37.508947,126.616745,False
e_KR17-345,ep_gas_combined_cycle_G100000401375,450.0,gas,POSCO Incheon power station_4 -- operating,e_KR17-345,KR17-345,37.508947,126.616745,False
e_KR17-345,ep_gas_combined_cycle_G100000401376,626.0,gas,POSCO Incheon power station_5 -- operating,e_KR17-345,KR17-345,37.508947,126.616745,False
e_KR17-345,ep_gas_combined_cycle_G100000401377,626.0,gas,POSCO Incheon power station_6 -- operating,e_KR17-345,KR17-345,37.508947,126.616745,False
e_KR17-345,ep_gas_combined_cycle_G100000401378,420.0,gas,POSCO Incheon power station_7 -- operating,e_KR17-345,KR17-345,37.508947,126.616745,False
e_KR17-345,ep_gas_combined_cycle_G100000401379,420.0,gas,POSCO Incheon power station_8 -- operating,e_KR17-345,KR17-345,37.508947,126.616745,False
e_KR17-345,ep_gas_combined_cycle_G100000401380,420.0,gas,POSCO Incheon power station_9 -- operating,e_KR17-345,KR17-345,37.508947,126.616745,False
e_KR17-345,ep_gas_combined_cycle_G100000401410,450.0,gas,Shinincheon power station_1 -- operating,e_KR17-345,KR17-345,37.508,126.6159,False
e_KR17-345,ep_gas_combined_cycle_G100000401411,450.0,gas,Shinincheon power station_2 -- operating,e_KR17-345,KR17-345,37.508,126.6159,False
e_KR17-345,ep_gas_combined_cycle_G100000401412,450.0,gas,Shinincheon power station_3 -- operating,e_KR17-345,KR17-345,37.508,126.6159,False
e_KR17-345,ep_gas_combined_cycle_G100000401413,450.0,gas,Shinincheon power station_4 -- operating,e_KR17-345,KR17-345,37.508,126.6159,False
e_KR21-345,ep_coal_supercritical_G100000108110,1050.0,coal,Samcheok power station_Unit 1 -- operating,e_KR21-345,KR21-345,37.40687,129.1778,False
e_KR21-345,ep_coal_supercritical_G100000108111,1050.0,coal,Samcheok power station_Unit 2 -- construction,e_KR21-345,KR21-345,37.40687,129.1778,False
e_KR22-345,ep_gas_combined_cycle_G100000406126,480.0,gas,Anyang CHP power station_2-1 -- operating,e_KR22-345,KR22-345,37.405538,126.928479,False
e_KR22-345,ep_gas_combined_cycle_G100000406127,480.0,gas,Anyang CHP power station_2-2 -- operating,e_KR22-345,KR22-345,37.405538,126.928479,False
e_KR23-345,ep_gas_steam_turbine_KR23-345,145.0,gas,Aggregated Plant -- operating,e_KR23-345,KR23-345,37.363289049567534,127.16572565311877,False
e_KR24-345,ep_gas_combined_cycle_G100000401354,574.0,gas,Bundang power station_1 -- operating,e_KR24-345,KR24-345,37.3642,127.1482,False
e_KR24-345,ep_gas_combined_cycle_KR24-345,348.0,gas,Aggregated Plant -- operating,e_KR24-345,KR24-345,37.36354786253732,127.12815640771188,False
e_KR31-345,ep_gas_combined_cycle_G100000406133,400.0,gas,Dongtan CHP power station_1 -- operating,e_KR31-345,KR31-345,37.1755,127.0927,False
e_KR31-345,ep_gas_combined_cycle_G100000406134,400.0,gas,Dongtan CHP power station_2 -- operating,e_KR31-345,KR31-345,37.1755,127.0927,False
e_KR34-345,ep_coal_ultra-supercritical_G100000108757,1022.0,coal,Samcheok Green power station_Unit 1 -- operating,e_KR34-345,KR34-345,37.186,129.341822,False
e_KR34-345,ep_coal_ultra-supercritical_G100000108758,1022.0,coal,Samcheok Green power station_Unit 2 -- operating,e_KR34-345,KR34-345,37.186,129.341822,False
e_KR35-345,ep_gas_combined_cycle_G100000401382,833.0,gas,Oseong power station_1 -- operating,e_KR35-345,KR35-345,37.0254,127.0027,False
e_KR37-765,ep_coal_supercritical_G100000101952,500.0,coal,"Dangjin power station_Unit 1, timepoint 1 -- operating",e_KR37-765,KR37-765,37.05513,126.5122247,False
e_KR37-765,ep_coal_supercritical_G100000101954,500.0,coal,"Dangjin power station_Unit 2, timepoint 1 -- operating",e_KR37-765,KR37-765,37.05513,126.5122247,False
e_KR37-765,ep_coal_supercritical_G100000101955,500.0,coal,"Dangjin power station_Unit 3, timepoint 1 -- operating",e_KR37-765,KR37-765,37.05513,126.5122247,False
e_KR37-765,ep_coal_supercritical_G100000101956,500.0,coal,"Dangjin power station_Unit 4, timepoint 1 -- operating",e_KR37-765,KR37-765,37.05513,126.5122247,False
e_KR37-765,ep_coal_ultra-supercritical_G100000101953,1020.0,coal,Dangjin power station_Unit 10 -- operating,e_KR37-765,KR37-765,37.05513,126.5122247,False
e_KR37-765,ep_coal_ultra-supercritical_G100000101957,500.0,coal,"Dangjin power station_Unit 5, timepoint 1 -- operating",e_KR37-765,KR37-765,37.05513,126.5122247,False
e_KR37-765,ep_coal_ultra-supercritical_G100000101958,500.0,coal,"Dangjin power station_Unit 6, timepoint 1 -- operating",e_KR37-765,KR37-765,37.05513,126.5122247,False
e_KR37-765,ep_coal_ultra-supercritical_G100000101959,500.0,coal,Dangjin power station_Unit 7 -- operating,e_KR37-765,KR37-765,37.05513,126.5122247,False
e_KR37-765,ep_coal_ultra-supercritical_G100000101960,500.0,coal,Dangjin power station_Unit 8 -- operating,e_KR37-765,KR37-765,37.05513,126.5122247,False
e_KR37-765,ep_coal_ultra-supercritical_G100000101961,1020.0,coal,Dangjin power station_Unit 9 -- operating,e_KR37-765,KR37-765,37.05513,126.5122247,False
e_KR37-765,ep_oil_combined_cycle_G100000401409,465.0,oil,Daesan Complex power station_CC1 -- operating,e_KR37-765,KR37-765,36.997163,126.36523,False
e_KR39-345,ep_bioenergy_KR39-345,43.0,bioenergy,Aggregated Plant -- operating,e_KR39-345,KR39-345,37.27765280774597,126.7880387251358,False
e_KR39-345,ep_bioenergy_KR39-345__ember,62.08339376359681,bioenergy,Aggregated Plant - EMBER Gap - KR39-345_Missing Bioenergy Capacity -- operating,e_KR39-345,KR39-345,36.856896580749385,127.02327938217252,False
e_KR39-345,ep_gas_combined_cycle_G100000401390,868.0,gas,Pyeongtaek power station_CC2 -- operating,e_KR39-345,KR39-345,37.005802,126.79841,False
e_KR39-345,ep_gas_combined_cycle_G100000401401,950.0,gas,Shin Pyeongtaek power station_CC1 -- operating,e_KR39-345,KR39-345,37.003843,126.794635,False
e_KR39-345,ep_gas_steam_turbine_KR39-345,1400.0,gas,Aggregated Plant -- operating,e_KR39-345,KR39-345,36.825661143634676,126.59906834049144,False
e_KR4-345,ep_gas_combined_cycle_G100000401366,858.0,gas,Dongducheon power station_1 -- operating,e_KR4-345,KR4-345,37.903,127.09,False
e_KR4-345,ep_gas_combined_cycle_G100000401367,858.0,gas,Dongducheon power station_2 -- operating,e_KR4-345,KR4-345,37.903,127.09,False
e_KR43-345,ep_coal_IGCC_KR43-345,346.0,coal,Aggregated Plant -- operating,e_KR43-345,KR43-345,37.43090662715591,126.32743543589451,False
e_KR43-345,ep_coal_supercritical_G100000109801,500.0,coal,Taean power station_Unit 1 -- operating,e_KR43-345,KR43-345,36.903319,126.234263,False
e_KR43-345,ep_coal_supercritical_G100000109803,500.0,coal,Taean power station_Unit 2 -- operating,e_KR43-345,KR43-345,36.903319,126.234263,False
