comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_KW13-275,ep_gas_combined_cycle_G100000404671,875.5,gas,Shuaiba North power plant_1 -- operating,e_KW13-275,KW13-275,29.0359,48.1536,False
e_KW13-275,ep_oil_steam_turbine_G100000404672,134.0,oil,Shuaiba South power plant_ST1 -- operating,e_KW13-275,KW13-275,29.032237,48.154679,False
e_KW13-275,ep_oil_steam_turbine_G100000404673,134.0,oil,Shuaiba South power plant_ST2 -- operating,e_KW13-275,KW13-275,29.032237,48.154679,False
e_KW13-275,ep_oil_steam_turbine_G100000404674,134.0,oil,Shuaiba South power plant_ST3 -- operating,e_KW13-275,KW13-275,29.032237,48.154679,False
e_KW13-275,ep_oil_steam_turbine_G100000404675,134.0,oil,Shuaiba South power plant_ST4 -- operating,e_KW13-275,KW13-275,29.032237,48.154679,False
e_KW13-275,ep_oil_steam_turbine_G100000404676,134.0,oil,Shuaiba South power plant_ST5 -- operating,e_KW13-275,KW13-275,29.032237,48.154679,False
e_KW13-275,ep_oil_steam_turbine_G100000404677,134.0,oil,Shuaiba South power plant_ST6 -- operating,e_KW13-275,KW13-275,29.032237,48.154679,False
e_w1028791761-400,ep_gas_combined_cycle_G100000404665,656.0,gas,Sabiya power plant_CC1-1 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_combined_cycle_G100000404666,750.0,gas,Sabiya power plant_SBOC-8 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_combined_cycle_G100000404670,935.0,gas,Sabiya power plant_CC5 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_combined_cycle_G100000408585,656.0,gas,Sabiya power plant_CC1-3 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_combined_cycle_G100000408586,656.0,gas,Sabiya power plant_CC1-2 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_combined_cycle_G100000411029,900.0,gas,Sabiya power plant_CC4 -- construction,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_gas_turbine_G100000404661,62.5,gas,Sabiya power plant_2-GT1 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_gas_turbine_G100000404662,62.5,gas,Sabiya power plant_2-GT2 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_gas_turbine_G100000404663,62.5,gas,Sabiya power plant_2-GT3 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_gas_turbine_G100000404664,62.5,gas,Sabiya power plant_2-GT4 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_gas_turbine_G100000404668,250.0,gas,Sabiya power plant_4-GT1 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_gas_turbine_G100000404669,250.0,gas,Sabiya power plant_4-GT2 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
e_w1028791761-400,ep_gas_steam_turbine_G100000404653,300.0,gas,Sabiya power plant_ST1 -- operating,e_w1028791761-400,way/1028791761-400,29.564206,48.170653,False
