comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_bioenergy__ember,110.0,bioenergy,Aggregated Plant - EMBER Gap_Missing Bioenergy Capacity -- operating,,,,,False
ELC,ep_coal__ember,2.0000000000000018,coal,Aggregated Plant -- operating,,,,,False
e_LA1-230,ep_hydro_dam_G100000602418,210.0,hydro,Nam Ou 7 hydroelectric plant_ -- operating,e_LA1-230,LA1-230,22.088,102.258,False
e_LA10-230,ep_hydro_LA10-230__irena,23.872928261916226,hydro,Aggregated Plant - IRENA Gap - LA10-230_Missing Hydro Capacity -- operating,e_LA10-230,LA10-230,20.168181692815537,101.1573761452093,False
e_LA10-230,ep_hydro_ror_G100000604699,912.0,hydro,Pak Beng hydroelectric plant_ -- construction,e_LA10-230,LA10-230,19.896,100.827,False
e_LA11-230,ep_hydro_LA11-230__irena,15.601168030813673,hydro,Aggregated Plant - IRENA Gap - LA11-230_Missing Hydro Capacity -- operating,e_LA11-230,LA11-230,19.991061775156766,104.22361339017907,False
e_LA11-230,ep_hydro_dam_G100000604652,124.0,hydro,Nam Neun 1 hydroelectric plant_ -- construction,e_LA11-230,LA11-230,19.7082,104.0238,False
e_LA12-500,ep_coal_subcritical_G100000103946,626.0,coal,Hongsa power station_Unit 1 -- operating,e_LA12-500,LA12-500,19.691284,101.278217,False
e_LA12-500,ep_coal_subcritical_G100000103947,626.0,coal,Hongsa power station_Unit 2 -- operating,e_LA12-500,LA12-500,19.691284,101.278217,False
e_LA12-500,ep_coal_subcritical_G100000103948,626.0,coal,Hongsa power station_Unit 3 -- operating,e_LA12-500,LA12-500,19.691284,101.278217,False
e_LA13-500,ep_hydro_LA13-500__irena,33.63674650938854,hydro,Aggregated Plant - IRENA Gap - LA13-500_Missing Hydro Capacity -- operating,e_LA13-500,LA13-500,19.267209924064446,101.73640126823979,False
e_LA13-500,ep_hydro_ror_G100000602432,1285.0,hydro,Xayaburi hydroelectric plant_ -- operating,e_LA13-500,LA13-500,19.2438,101.8178,False
e_LA14-230,ep_coal_supercritical_G100000115306,330.0,coal,Nam Phan power station_Unit 1 -- construction,e_LA14-230,LA14-230,19.42492,103.46554,False
e_LA14-230,ep_coal_supercritical_G100000115307,330.0,coal,Nam Phan power station_Unit 2 -- construction,e_LA14-230,LA14-230,19.42492,103.46554,False
e_LA14-230,ep_hydro_dam_G100000602406,180.0,hydro,Nam Ngiep 2 hydroelectric plant_ -- operating,e_LA14-230,LA14-230,19.1262,103.3186,False
e_LA14-230,ep_hydro_dam_G100000602411,120.0,hydro,Nam Ngum 5 hydroelectric plant_ -- operating,e_LA14-230,LA14-230,19.3601,102.7122,False
e_LA14-230,ep_windon_wind_G100000927625,250.0,windon,Truong Son wind farm_-- -- construction,e_LA14-230,LA14-230,19.001,103.001,False
e_LA15-230,ep_hydro_dam_G100000602395,104.0,hydro,Nam Chiane hydroelectric plant_ -- operating,e_LA15-230,LA15-230,19.0652,103.5212,False
e_LA15-230,ep_hydro_dam_G100001051375,69.0,hydro,Nam San 3A hydroelectric plant_ -- operating,e_LA15-230,LA15-230,19.1301,103.6621,False
e_LA15-230,ep_hydro_dam_G100001051376,45.0,hydro,Nam San 3B hydroelectric plant_ -- operating,e_LA15-230,LA15-230,19.0849,103.6201,False
e_LA16-230,ep_hydro_dam_G100000602403,120.0,hydro,Nam Mo 2 hydroelectric plant_ -- construction,e_LA16-230,LA16-230,19.0412,104.0001,False
e_LA17-230,ep_hydro_LA17-230__irena,33.846158160808855,hydro,Aggregated Plant - IRENA Gap - LA17-230_Missing Hydro Capacity -- operating,e_LA17-230,LA17-230,18.822958297138687,102.61515360907762,False
e_LA17-230,ep_hydro_dam_G100000602408,615.0,hydro,Nam Ngum 2 hydroelectric plant_ -- operating,e_LA17-230,LA17-230,18.753,102.777,False
e_LA17-230,ep_hydro_dam_G100000602421,86.0,hydro,Nam Phay hydroelectric plant_ -- operating,e_LA17-230,LA17-230,19.0977,102.7147,False
