comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_gas__ember,38.000000000000256,gas,Aggregated Plant - EMBER Gap_Missing Gas Capacity -- operating,,,,,False
e_LY10-400,ep_oil_gas_turbine_G100000411553,100.0,oil,South Tripoli power station_5 -- operating,e_LY10-400,LY10-400,32.776,13.0983,False
e_LY10-400,ep_oil_gas_turbine_G100000411554,100.0,oil,South Tripoli power station_4 -- operating,e_LY10-400,LY10-400,32.776,13.0983,False
e_LY10-400,ep_oil_gas_turbine_G100000411555,100.0,oil,South Tripoli power station_3 -- operating,e_LY10-400,LY10-400,32.776,13.0983,False
e_LY10-400,ep_oil_gas_turbine_G100000411556,100.0,oil,South Tripoli power station_2 -- operating,e_LY10-400,LY10-400,32.776,13.0983,False
e_LY10-400,ep_oil_gas_turbine_G100000411557,100.0,oil,South Tripoli power station_1 -- operating,e_LY10-400,LY10-400,32.776,13.0983,False
e_LY39-220,ep_gas_combined_cycle_G100000408476,820.0,gas,North Benghazi power station_CC2 -- operating,e_LY39-220,LY39-220,32.201923,20.132608,False
e_LY39-220,ep_gas_combined_cycle_G100000408479,915.0,gas,North Benghazi power station_CC1 -- operating,e_LY39-220,LY39-220,32.201923,20.132608,False
e_LY39-400,ep_gas_gas_turbine_G100001018475,340.0,gas,Benghazi Simple Cycle Power Plant_1 -- construction,e_LY39-400,LY39-400,32.206863,20.152995,False
e_LY39-400,ep_gas_gas_turbine_G100001021305,340.0,gas,Benghazi Simple Cycle Power Plant_2 -- construction,e_LY39-400,LY39-400,32.206863,20.152995,False
e_LY39-400,ep_gas_gas_turbine_G100001021307,340.0,gas,Benghazi Simple Cycle Power Plant_3 -- construction,e_LY39-400,LY39-400,32.206863,20.152995,False
e_LY39-400,ep_gas_gas_turbine_G100001021308,340.0,gas,Benghazi Simple Cycle Power Plant_4 -- construction,e_LY39-400,LY39-400,32.206863,20.152995,False
e_LY44-220,ep_gas_gas_turbine_G100000408150,185.0,gas,Tobruk power station_4 -- operating,e_LY44-220,LY44-220,32.059427,23.981335,False
e_LY44-220,ep_gas_gas_turbine_G100000408151,185.0,gas,Tobruk power station_3 -- operating,e_LY44-220,LY44-220,32.059427,23.981335,False
e_LY44-220,ep_gas_gas_turbine_G100000408152,185.0,gas,Tobruk power station_2 -- operating,e_LY44-220,LY44-220,32.059427,23.981335,False
e_LY44-220,ep_gas_gas_turbine_G100000408153,185.0,gas,Tobruk power station_1 -- operating,e_LY44-220,LY44-220,32.059427,23.981335,False
e_LY44-220,ep_oil_steam_turbine_G100000411551,65.0,oil,Tobruk Thermal power station_ST2 -- operating,e_LY44-220,LY44-220,32.059544,23.980872,False
e_LY44-220,ep_oil_steam_turbine_G100000411552,65.0,oil,Tobruk Thermal power station_ST1 -- operating,e_LY44-220,LY44-220,32.059544,23.980872,False
e_LY53-220,ep_oil_internal_combustion_G100000411558,220.0,oil,Samnu Power plant_1 -- operating,e_LY53-220,LY53-220,27.221992,14.889664,False
e_LY53-220,ep_oil_internal_combustion_G100000411567,100.0,oil,GECOL power plant 1_1 -- operating,e_LY53-220,LY53-220,27.221319,14.889865,False
e_LY56-220,ep_oil_gas_turbine_G100000408569,160.0,oil,Ubari power station_4 -- operating,e_LY56-220,LY56-220,26.56378,12.679494,False
e_LY56-220,ep_oil_gas_turbine_G100000408570,160.0,oil,Ubari power station_3 -- operating,e_LY56-220,LY56-220,26.56378,12.679494,False
e_LY56-220,ep_oil_gas_turbine_G100000408571,160.0,oil,Ubari power station_2 -- operating,e_LY56-220,LY56-220,26.56378,12.679494,False
e_LY56-220,ep_oil_gas_turbine_G100000408572,160.0,oil,Ubari power station_1 -- operating,e_LY56-220,LY56-220,26.56378,12.679494,False
e_LY9-220,ep_oil_steam_turbine_G100000411568,65.0,oil,Derna Thermal power station_ST2 -- operating,e_LY9-220,LY9-220,32.780805,22.586663,False
e_LY9-220,ep_oil_steam_turbine_G100000411569,65.0,oil,Derna Thermal power station_ST1 -- operating,e_LY9-220,LY9-220,32.780805,22.586663,False
e_w103283231-220,ep_gas_gas_turbine_G100000410495,174.0,gas,Zliten power plant_1 -- construction,e_w103283231-220,way/103283231-220,32.463889,14.5725,False
e_w103283231-220,ep_gas_gas_turbine_G100000413705,174.0,gas,Zliten power plant_6 -- construction,e_w103283231-220,way/103283231-220,32.463889,14.5725,False
e_w103283231-220,ep_gas_gas_turbine_G100000413706,174.0,gas,Zliten power plant_5 -- construction,e_w103283231-220,way/103283231-220,32.463889,14.5725,False
e_w103283231-220,ep_gas_gas_turbine_G100000413707,174.0,gas,Zliten power plant_4 -- construction,e_w103283231-220,way/103283231-220,32.463889,14.5725,False
e_w103283231-220,ep_gas_gas_turbine_G100000413708,174.0,gas,Zliten power plant_3 -- construction,e_w103283231-220,way/103283231-220,32.463889,14.5725,False
e_w103283231-220,ep_gas_gas_turbine_G100000413709,174.0,gas,Zliten power plant_2 -- construction,e_w103283231-220,way/103283231-220,32.463889,14.5725,False
e_w1132089775-400,ep_gas_combined_cycle_G100000408488,480.0,gas,Al Zawiya power station_3 -- operating,e_w1132089775-400,way/1132089775-400,32.7882,12.674,False
e_w1132089775-400,ep_gas_combined_cycle_G100000408489,480.0,gas,Al Zawiya power station_2 -- operating,e_w1132089775-400,way/1132089775-400,32.7882,12.674,False
e_w1132089775-400,ep_gas_combined_cycle_G100000408490,480.0,gas,Al Zawiya power station_1 -- operating,e_w1132089775-400,way/1132089775-400,32.7882,12.674,False
e_w1132089775-400,ep_gas_gas_turbine_G100001023012,50.0,gas,Al Zawiya power station_4-Mobile -- operating,e_w1132089775-400,way/1132089775-400,32.7882,12.674,False
