comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_bioenergy__ember,60.0,bioenergy,Aggregated Plant - EMBER Gap_Missing Bioenergy Capacity -- operating,,,,,False
ELC,ep_gas__ember,0.10000000000021103,gas,Aggregated Plant -- operating,,,,,False
e_MM1-500,ep_hydro_dam_G100000602549,99.0,hydro,Chipwi Nge hydroelectric plant_ -- operating,e_MM1-500,MM1-500,25.8318,98.0801,False
e_MM1-500,ep_m_hydro_dam_G100000604642,6000.0,hydro,Myitsone hydroelectric plant_ -- mothballed,e_MM1-500,MM1-500,25.6897,97.5177,False
e_MM10-230,ep_hydro_dam_G100000602599,280.0,hydro,Upper Yeywa hydroelectric plant_ -- construction,e_MM10-230,MM10-230,22.6243,97.3011,False
e_MM10-230,ep_hydro_dam_G100000604659,100.0,hydro,Nam Tu hydroelectric plant_ -- construction,e_MM10-230,MM10-230,22.7209,97.3194,False
e_MM17-230,ep_hydro_dam_G100001027335,56.0,hydro,Kinda hydroelectric plant_ -- operating,e_MM17-230,MM17-230,21.8101,95.589,False
e_MM19-230,ep_hydro_dam_G100000602601,790.0,hydro,Yeywa hydroelectric plant_ -- operating,e_MM19-230,MM19-230,21.6742,96.4741,False
e_MM2-500,ep_hydro_dam_G100000602550,240.0,hydro,Dapein 1 hydroelectric plant_ -- operating,e_MM2-500,MM2-500,24.4042,97.5006,False
e_MM22-230,ep_hydro_dam_G100001027334,54.0,hydro,Kengtawn hydroelectric plant_ -- operating,e_MM22-230,MM22-230,20.5856,98.2933,False
e_MM22-230,ep_hydro_dam_G100001051563,51.0,hydro,Upper Kengtawng hydroelectric plant_ -- construction,e_MM22-230,MM22-230,20.7462,98.1839,False
e_MM25-230,ep_hydro_dam_G100000602593,111.0,hydro,Tha Htay hydroelectric plant_ -- construction,e_MM25-230,MM25-230,19.5213,94.0072,False
e_MM28-230,ep_hydro_ror_G100001027337,74.0,hydro,Kyee On Kyee Wa hydroelectric plant_ -- operating,e_MM28-230,MM28-230,18.9001,96.221,False
e_MM38-230,ep_gas_combined_cycle_G100000404371,154.2,gas,Hlawga power station_1 -- operating,e_MM38-230,MM38-230,16.98,96.125,False
e_MM44-230,ep_gas_combined_cycle_G100000404373,92.0,gas,Thaketa power station_1 -- operating,e_MM44-230,MM44-230,16.81,96.226,False
e_MM44-230,ep_gas_combined_cycle_G100000404385,106.0,gas,Thaketa (U Energy) power station_1 -- operating,e_MM44-230,MM44-230,16.812192,96.226075,False
e_MM44-230,ep_gas_internal_combustion_G100000411300,50.0,gas,Max Power (Thakayta) power station_1 -- operating,e_MM44-230,MM44-230,16.811622,96.226606,False
e_MM44-230,ep_m_gas_internal_combustion_G100000410485,477.0,gas,Thaketa LNG power station_1 -- mothballed,e_MM44-230,MM44-230,16.824726,96.22445,False
e_MM49-230,ep_m_gas_internal_combustion_G100000405944,350.0,gas,Thanlyin power station_1 -- mothballed,e_MM49-230,MM49-230,16.664256,96.264737,False
e_MM9-230,ep_hydro_dam_G100000604813,1050.0,hydro,Shweli 3 hydroelectric plant_ -- construction,e_MM9-230,MM9-230,23.315,96.769,False
e_w1131599063-230,ep_m_hydro_ror_G100000604774,77.0,hydro,Saing Din hydroelectric plant_ -- mothballed,e_w1131599063-230,way/1131599063-230,20.8938,92.6522,False
e_w1195544329-230,ep_hydro_ror_G100001051557,66.0,hydro,Mongwa hydroelectric plant_ -- operating,e_w1195544329-230,way/1195544329-230,21.6532,99.9793,False
e_w1203433274-230,ep_hydro_dam_G100000602586,600.0,hydro,Shweli 1 hydroelectric plant_ -- operating,e_w1203433274-230,way/1203433274-230,23.6682,97.4561,False
e_w1203770011-230,ep_hydro_dam_G100001027338,65.0,hydro,Phyu Creek hydroelectric plant_ -- operating,e_w1203770011-230,way/1203770011-230,18.5101,96.354,False
e_w343183785-230,ep_gas_internal_combustion_G100000411301,110.3,gas,Kyaukse power plant_1 -- operating,e_w343183785-230,way/343183785-230,21.60774,96.137409,False
e_w343183785-230,ep_gas_internal_combustion_G100000411302,145.0,gas,Kyaukse (PowerGen) power plant_1 -- operating,e_w343183785-230,way/343183785-230,21.667691,96.152935,False
e_w404761266-230,ep_coal_subcritical_G100000110164,60.0,coal,Tigyit power station_Unit 1 -- operating,e_w404761266-230,way/404761266-230,20.431292,96.703524,False
e_w404761266-230,ep_coal_subcritical_G100000110165,60.0,coal,Tigyit power station_Unit 2 -- operating,e_w404761266-230,way/404761266-230,20.431292,96.703524,False
e_w405416534-230,ep_hydro_dam_G100000602582,280.0,hydro,Paung Laung hydroelectric plant_ -- operating,e_w405416534-230,way/405416534-230,19.785,96.3332,False
e_w405724476-230,ep_hydro_dam_G100000602598,140.0,hydro,Upper Paung Laung hydroelectric plant_ -- operating,e_w405724476-230,way/405724476-230,19.756,96.5932,False
e_w405993340-230,ep_hydro_dam_G100000602595,120.0,hydro,Thaukyegat 2 hydroelectric plant_ -- operating,e_w405993340-230,way/405993340-230,18.9113,96.6166,False
e_w406136069-230,ep_hydro_dam_G100001027336,60.0,hydro,Kun hydroelectric plant_ -- operating,e_w406136069-230,way/406136069-230,18.4201,96.364,False
e_w406602758-230,ep_hydro_ror_G100000602585,75.0,hydro,Shwegyin hydroelectric plant_ -- operating,e_w406602758-230,way/406602758-230,17.9682,96.933,False
e_w407183487-230,ep_coal_subcritical_G100000115063,30.0,coal,Myainggalay Cement power station_-- -- operating,e_w407183487-230,way/407183487-230,16.876601,97.585428,False
e_w407183487-230,ep_gas_combined_cycle_G100000404375,119.0,gas,Thaton power station_1 -- operating,e_w407183487-230,way/407183487-230,16.964053,97.40665,False
e_w566117311-230,ep_gas_combined_cycle_G100000404372,225.0,gas,Myingyan power station_1 -- operating,e_w566117311-230,way/566117311-230,21.386872,95.376656,False
e_w566117311-230,ep_gas_internal_combustion_G100000411299,109.7,gas,Myingyan II power station_1 -- operating,e_w566117311-230,way/566117311-230,21.389598,95.375904,False
e_w585255101-230,ep_gas_combined_cycle_G100000404374,230.0,gas,Mawlamyine power station_1 -- operating,e_w585255101-230,way/585255101-230,16.46644,97.653662,False
