comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_bioenergy__ember,900.0,bioenergy,Aggregated Plant - EMBER Gap_Missing Bioenergy Capacity -- operating,,,,,False
e_MY11-275,ep_gas_combined_cycle_G100000404359,220.0,gas,Kulim power station_1 -- operating,e_MY11-275,MY11-275,5.4312,100.6005,False
e_MY13-275,ep_solar_pv_275,27.5,solar,Aggregated Plant -- operating,e_MY13-275,MY13-275,5.2735549082334545,100.57173444167294,False
e_MY15-275,ep_hydro_dam_G100000602471,120.0,hydro,Kenering hydroelectric plant_ -- operating,e_MY15-275,MY15-275,5.2157,101.0982,False
e_MY16-275,ep_hydro_ror_G100000602487,75.0,hydro,Tenom Pangi hydroelectric plant_ -- operating,e_MY16-275,MY16-275,5.1156,115.9125,False
e_MY17-275,ep_solar_pv_275,6.6,solar,Aggregated Plant -- operating,e_MY17-275,MY17-275,5.160121094190261,102.78357847814829,False
e_MY18-275,ep_hydro_dam_G100000602482,400.0,hydro,Sultan Mahmud Kenyir hydroelectric plant_ -- operating,e_MY18-275,MY18-275,5.024,102.9102,False
e_MY18-275,ep_solar_pv_275,130.0,solar,Aggregated Plant -- operating,e_MY18-275,MY18-275,4.885645006561539,102.87424040659404,False
e_MY2-275,ep_solar_pv_275,104.00000000000001,solar,Aggregated Plant -- operating,e_MY2-275,MY2-275,5.778605948707495,100.53424097959096,False
e_MY20-275,ep_solar_pv_275,2.2,solar,Aggregated Plant -- operating,e_MY20-275,MY20-275,4.855924186324967,100.67342449578163,False
e_MY24-275,ep_solar_pv_275,8.1,solar,Aggregated Plant -- operating,e_MY24-275,MY24-275,3.2419400520732835,101.52640121739843,False
e_MY27-275,ep_solar_pv_275,13.6,solar,Aggregated Plant -- operating,e_MY27-275,MY27-275,3.3207450861497576,101.31920161004672,False
e_MY28-275,ep_solar_pv_275,17.7,solar,Aggregated Plant -- operating,e_MY28-275,MY28-275,3.3156511458134172,101.52626659232628,False
e_MY3-275,ep_solar_pv_275,45.0,solar,Aggregated Plant -- operating,e_MY3-275,MY3-275,5.888384724840999,102.03383024635063,False
e_MY4-275,ep_hydro_dam_G100000602479,600.0,hydro,Pergau hydroelectric plant_ -- operating,e_MY4-275,MY4-275,5.6235,101.7061,False
e_MY40-275,ep_coal_subcritical_G100000109681,300.0,coal,Sultan Aziz power station_Unit 3 -- operating,e_MY40-275,MY40-275,3.117221,101.320369,False
