comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_bioenergy__ember,20.0,bioenergy,Aggregated Plant -- operating,,,,,False
ELC,ep_gas__ember,1.9999999999988916,gas,Aggregated Plant -- operating,,,,,False
e_NG17-330,ep_gas_gas_turbine_G100000407173,126.0,gas,Gbarain Gas Plant power station_1 -- operating,e_NG17-330,NG17-330,5.031067,6.301568,False
e_NG17-330,ep_gas_gas_turbine_G100000407174,126.0,gas,Gbarain Gas Plant power station_2 -- operating,e_NG17-330,NG17-330,5.031067,6.301568,False
e_NG17-330,ep_gas_gas_turbine_G100000407242,100.0,gas,Ughelli power station_1 -- operating,e_NG17-330,NG17-330,5.541314,5.915909,False
e_NG17-330,ep_gas_gas_turbine_G100000407243,100.0,gas,Ughelli power station_2 -- operating,e_NG17-330,NG17-330,5.541314,5.915909,False
e_NG17-330,ep_gas_gas_turbine_G100000407244,100.0,gas,Ughelli power station_3 -- operating,e_NG17-330,NG17-330,5.541314,5.915909,False
e_NG17-330,ep_gas_gas_turbine_G100000407245,100.0,gas,Ughelli power station_4 -- operating,e_NG17-330,NG17-330,5.541314,5.915909,False
e_NG17-330,ep_gas_gas_turbine_G100000407246,100.0,gas,Ughelli power station_5 -- operating,e_NG17-330,NG17-330,5.541314,5.915909,False
e_NG17-330,ep_gas_gas_turbine_G100000407247,100.0,gas,Ughelli power station_6 -- operating,e_NG17-330,NG17-330,5.541314,5.915909,False
e_NG21-330,ep_gas_combined_cycle_G100000407135,650.0,gas,Afam VI power station_CC1 -- operating,e_NG21-330,NG21-330,4.849527,7.256933,False
e_NG21-330,ep_gas_gas_turbine_G100000407125,180.0,gas,Afam (FIPL) power station_1 -- operating,e_NG21-330,NG21-330,4.834987,7.226529,False
e_NG21-330,ep_gas_gas_turbine_G100000407126,180.0,gas,Afam (FIPL) power station_2 -- operating,e_NG21-330,NG21-330,4.834987,7.226529,False
e_NG21-330,ep_gas_gas_turbine_G100000407127,75.0,gas,Afam IV power station_1 -- operating,e_NG21-330,NG21-330,4.851761,7.2535,False
e_NG21-330,ep_gas_gas_turbine_G100000407128,75.0,gas,Afam IV power station_2 -- operating,e_NG21-330,NG21-330,4.851761,7.2535,False
e_NG21-330,ep_gas_gas_turbine_G100000407129,75.0,gas,Afam IV power station_3 -- operating,e_NG21-330,NG21-330,4.851761,7.2535,False
e_NG21-330,ep_gas_gas_turbine_G100000407130,75.0,gas,Afam IV power station_4 -- operating,e_NG21-330,NG21-330,4.851761,7.2535,False
e_NG21-330,ep_gas_gas_turbine_G100000407131,75.0,gas,Afam IV power station_5 -- operating,e_NG21-330,NG21-330,4.851761,7.2535,False
e_NG21-330,ep_gas_gas_turbine_G100000407132,75.0,gas,Afam IV power station_6 -- operating,e_NG21-330,NG21-330,4.851761,7.2535,False
e_NG21-330,ep_gas_gas_turbine_G100000407133,138.0,gas,Afam V power station_1 -- operating,e_NG21-330,NG21-330,4.851761,7.2535,False
e_NG21-330,ep_gas_gas_turbine_G100000407134,138.0,gas,Afam V power station_2 -- operating,e_NG21-330,NG21-330,4.851761,7.2535,False
e_NG21-330,ep_gas_gas_turbine_G100000407145,90.0,gas,ALSCON Smelter power plant_5 -- operating,e_NG21-330,NG21-330,4.568734,7.573493,False
e_NG21-330,ep_gas_gas_turbine_G100000407146,90.0,gas,ALSCON Smelter power plant_6 -- operating,e_NG21-330,NG21-330,4.568734,7.573493,False
e_NG21-330,ep_gas_gas_turbine_G100000407181,63.0,gas,Ibom power station_1-1 -- operating,e_NG21-330,NG21-330,4.564635,7.567409,False
e_NG21-330,ep_gas_gas_turbine_G100000407182,63.0,gas,Ibom power station_1-2 -- operating,e_NG21-330,NG21-330,4.564635,7.567409,False
e_NG21-330,ep_gas_gas_turbine_G100000407183,63.0,gas,Ibom power station_1-3 -- operating,e_NG21-330,NG21-330,4.564635,7.567409,False
e_NG21-330,ep_m_gas_gas_turbine_G100000407141,90.0,gas,ALSCON Smelter power plant_1 -- mothballed,e_NG21-330,NG21-330,4.568734,7.573493,False
e_NG21-330,ep_m_gas_gas_turbine_G100000407142,90.0,gas,ALSCON Smelter power plant_2 -- mothballed,e_NG21-330,NG21-330,4.568734,7.573493,False
e_NG21-330,ep_m_gas_gas_turbine_G100000407143,90.0,gas,ALSCON Smelter power plant_3 -- mothballed,e_NG21-330,NG21-330,4.568734,7.573493,False
e_NG21-330,ep_m_gas_gas_turbine_G100000407144,90.0,gas,ALSCON Smelter power plant_4 -- mothballed,e_NG21-330,NG21-330,4.568734,7.573493,False
e_NG3-330,ep_hydro_dam_G100000602890,700.0,hydro,Zungeru hydroelectric plant_ -- operating,e_NG3-330,NG3-330,9.9006,6.295,False
e_NG7-330,ep_coal_subcritical_G100000115146,45.0,coal,Obajana Cement power station_Unit 1 -- operating,e_NG7-330,NG7-330,7.926,6.423,False
e_NG7-330,ep_coal_subcritical_G100000115147,45.0,coal,Obajana Cement power station_Unit 2 -- operating,e_NG7-330,NG7-330,7.926,6.423,False
e_NG7-330,ep_coal_subcritical_G100000115148,45.0,coal,Obajana Cement power station_Unit 3 -- operating,e_NG7-330,NG7-330,7.926,6.423,False
e_w215459565-330,ep_gas_gas_turbine_G100000407175,145.0,gas,Geregu I power station_1 -- operating,e_w215459565-330,way/215459565-330,7.469675,6.659126,False
e_w215459565-330,ep_gas_gas_turbine_G100000407176,145.0,gas,Geregu I power station_2 -- operating,e_w215459565-330,way/215459565-330,7.469675,6.659126,False
e_w215459565-330,ep_gas_gas_turbine_G100000407177,145.0,gas,Geregu I power station_3 -- operating,e_w215459565-330,way/215459565-330,7.469675,6.659126,False
e_w215459565-330,ep_gas_gas_turbine_G100000407178,169.0,gas,Geregu II power station_1 -- operating,e_w215459565-330,way/215459565-330,7.471578,6.66025,False
e_w215459565-330,ep_gas_gas_turbine_G100000407179,169.0,gas,Geregu II power station_2 -- operating,e_w215459565-330,way/215459565-330,7.471578,6.66025,False
e_w215459565-330,ep_gas_gas_turbine_G100000407180,169.0,gas,Geregu II power station_3 -- operating,e_w215459565-330,way/215459565-330,7.471578,6.66025,False
e_w215459565-330,ep_gas_steam_turbine_G100000409655,55.0,gas,Asco power station_2 -- operating,e_w215459565-330,way/215459565-330,7.522562,6.56099,False
e_w215459565-330,ep_gas_steam_turbine_G100000409656,55.0,gas,Asco power station_1 -- operating,e_w215459565-330,way/215459565-330,7.522562,6.56099,False
e_w266617120-330,ep_hydro_ror_G100000604597,182.0,hydro,Mangu hydroelectric plant_ -- construction,e_w266617120-330,way/266617120-330,9.0319,9.885,False
e_w540463591-330,ep_hydro_dam_G100000602885,578.0,hydro,Jebba hydroelectric plant_ -- operating,e_w540463591-330,way/540463591-330,9.1409,4.7896,False
e_w546666333-330,ep_gas_gas_turbine_G100000407228,113.0,gas,Sapele II power station_2-1 -- operating,e_w546666333-330,way/546666333-330,5.926139,5.644983,False
e_w546666333-330,ep_gas_gas_turbine_G100000407229,113.0,gas,Sapele II power station_2-2 -- operating,e_w546666333-330,way/546666333-330,5.926139,5.644983,False
e_w546666333-330,ep_gas_gas_turbine_G100000407230,113.0,gas,Sapele II power station_2-3 -- operating,e_w546666333-330,way/546666333-330,5.926139,5.644983,False
e_w546666333-330,ep_gas_gas_turbine_G100000407231,113.0,gas,Sapele II power station_2-4 -- operating,e_w546666333-330,way/546666333-330,5.926139,5.644983,False
