comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_bioenergy__ember,10.0,bioenergy,Aggregated Plant -- operating,,,,,False
e_NP1-220,ep_hydro_NP1-220__irena,11.238682949180223,hydro,Aggregated Plant - IRENA Gap - NP1-220_Missing Hydro Capacity -- operating,e_NP1-220,NP1-220,28.032776310423866,85.18116491251737,False
e_NP1-220,ep_hydro_ror_G100000602625,22.0,hydro,Chilime hydroelectric plant_ -- operating,e_NP1-220,NP1-220,28.1577,85.3332,False
e_NP1-220,ep_hydro_ror_G100000602628,14.0,hydro,Devighat hydroelectric plant_ -- operating,e_NP1-220,NP1-220,27.8884,85.1345,False
e_NP1-220,ep_hydro_ror_G100000602744,15.0,hydro,Phalakhu Khola hydroelectric plant_ -- construction,e_NP1-220,NP1-220,28.0201,85.2931,False
e_NP1-220,ep_hydro_ror_G100000602755,43.0,hydro,Sanjen hydroelectric plant_ -- construction,e_NP1-220,NP1-220,28.2001,85.2896,False
e_NP1-220,ep_hydro_ror_G100000602801,24.0,hydro,Trishuli hydroelectric plant_ -- operating,e_NP1-220,NP1-220,27.9464,85.1661,False
e_NP1-220,ep_hydro_ror_G100000602845,60.0,hydro,Upper Trishuli 3A hydroelectric plant_ -- operating,e_NP1-220,NP1-220,28.0258,85.1872,False
e_NP1-220,ep_hydro_ror_G100000602846,37.0,hydro,Upper Trishuli 3B hydroelectric plant_ -- construction,e_NP1-220,NP1-220,27.996,85.1836,False
e_NP1-220,ep_hydro_ror_G100000604842,24.0,hydro,Super Aankhu Khola hydroelectric plant_ -- construction,e_NP1-220,NP1-220,28.1667,85.0489,False
e_NP1-220,ep_hydro_ror_G100000604906,38.0,hydro,Upper Ankhu Khola hydroelectric plant_ -- construction,e_NP1-220,NP1-220,28.1417,85.0292,False
e_NP1-220,ep_hydro_ror_G100000604915,14.0,hydro,Upper Mailun Khola hydroelectric plant_ -- construction,e_NP1-220,NP1-220,28.1161,85.2001,False
e_NP1-220,ep_hydro_ror_G100000604920,15.0,hydro,Upper Sanjen hydroelectric plant_ -- operating,e_NP1-220,NP1-220,28.2341,85.2871,False
e_NP1-220,ep_hydro_ror_G100000604925,216.0,hydro,Upper Trishuli 1 hydroelectric plant_ -- construction,e_NP1-220,NP1-220,28.0737,85.208,False
e_NP11-220,ep_hydro_dam_G100000602842,255.0,hydro,Upper Tamor hydroelectric plant_ -- construction,e_NP11-220,NP11-220,27.3541,87.668,False
e_NP11-220,ep_hydro_ror_G100000602642,15.0,hydro,Hewa Khola A hydroelectric plant_ -- operating,e_NP11-220,NP11-220,27.1856,87.8285,False
e_NP11-220,ep_hydro_ror_G100000602654,22.0,hydro,Kabeli 3 hydroelectric plant_ -- construction,e_NP11-220,NP11-220,27.3901,87.8697,False
e_NP11-220,ep_hydro_ror_G100000602655,25.0,hydro,Kabeli B1 hydroelectric plant_ -- operating,e_NP11-220,NP11-220,27.2801,87.8097,False
e_NP11-220,ep_hydro_ror_G100000602692,22.0,hydro,Lower Hewa hydroelectric plant_ -- operating,e_NP11-220,NP11-220,27.1601,87.7564,False
e_NP11-220,ep_hydro_ror_G100000602716,50.0,hydro,Mewa Khola (United Mewa Khola Hydropower) hydroelectric plant_ -- construction,e_NP11-220,NP11-220,27.4022,87.6056,False
e_NP11-220,ep_hydro_ror_G100000604394,78.0,hydro,Ghunsa Khola (Remit Hydro) hydroelectric plant_ -- construction,e_NP11-220,NP11-220,27.6503,87.9201,False
e_NP11-220,ep_hydro_ror_G100000604846,14.0,hydro,Super Kabeli Khola A hydroelectric plant_ -- construction,e_NP11-220,NP11-220,27.4625,87.9454,False
e_NP12-220,ep_hydro_ror_G100000602707,22.0,hydro,Mai hydroelectric plant_ -- operating,e_NP12-220,NP12-220,26.7924,87.8784,False
e_NP12-220,ep_hydro_ror_G100000602822,12.0,hydro,Upper Mai hydroelectric plant_ -- operating,e_NP12-220,NP12-220,26.9727,87.9636,False
e_NP2-220,ep_hydro_NP2-220__irena,14.327989162698957,hydro,Aggregated Plant - IRENA Gap - NP2-220_Missing Hydro Capacity -- operating,e_NP2-220,NP2-220,28.790954422873774,83.40852676396845,False
e_NP2-220,ep_hydro_ror_G100000602652,12.0,hydro,Jhimruk Khola hydroelectric plant_ -- operating,e_NP2-220,NP2-220,28.2262,82.7026,False
e_NP2-220,ep_hydro_ror_G100000602659,144.0,hydro,Kaligandaki A hydroelectric plant_ -- operating,e_NP2-220,NP2-220,27.931,83.6152,False
