comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_NZ11-220,ep_hydro_NZ11-220__irena,13.172625127681309,hydro,Aggregated Plant - IRENA Gap - NZ11-220_Missing Hydro Capacity -- operating,e_NZ11-220,NZ11-220,-37.85233129189091,175.53691252530896,False
e_NZ11-220,ep_hydro_dam_G100000602854,96.0,hydro,Karāpiro hydroelectric plant_ -- operating,e_NZ11-220,NZ11-220,-37.924,175.5394,False
e_NZ12-220,ep_hydro_NZ12-220__irena,22.503234593122237,hydro,Aggregated Plant - IRENA Gap - NZ12-220_Missing Hydro Capacity -- operating,e_NZ12-220,NZ12-220,-37.843222770651664,175.54178882326008,False
e_NZ12-220,ep_hydro_dam_G100000602849,164.0,hydro,Arapuni hydroelectric plant_ -- operating,e_NZ12-220,NZ12-220,-38.071,175.6439,False
e_NZ13-220,ep_hydro_NZ13-220__irena,10.97718760640109,hydro,Aggregated Plant - IRENA Gap - NZ13-220_Missing Hydro Capacity -- operating,e_NZ13-220,NZ13-220,-37.99140901738964,176.6444553339522,False
e_NZ13-220,ep_hydro_dam_G100000604605,80.0,hydro,Matahina hydroelectric plant_ -- operating,e_NZ13-220,NZ13-220,-38.114,176.8141,False
e_NZ14-220,ep_hydro_NZ14-220__irena,17.426285325161732,hydro,Aggregated Plant - IRENA Gap - NZ14-220_Missing Hydro Capacity -- operating,e_NZ14-220,NZ14-220,-38.58138220699172,175.85713830411004,False
e_NZ14-220,ep_hydro_dam_G100000602867,127.0,hydro,Whakamaru hydroelectric plant_ -- operating,e_NZ14-220,NZ14-220,-38.4194,175.8076,False
e_NZ15-220,ep_geothermal_G100000700183,55.0,geothermal,Mōkai geothermal power plant_1 -- operating,e_NZ15-220,NZ15-220,-38.5312,175.9268,False
e_NZ15-220,ep_geothermal_G100001048516,39.0,geothermal,Mōkai geothermal power plant_2 -- operating,e_NZ15-220,NZ15-220,-38.5312,175.9268,False
e_NZ15-220,ep_geothermal_G100001048517,17.0,geothermal,Mōkai geothermal power plant_1A -- operating,e_NZ15-220,NZ15-220,-38.5312,175.9268,False
e_NZ16-220,ep_geothermal_G100000700234,50.0,geothermal,Poihipi Road geothermal power station_-- -- operating,e_NZ16-220,NZ16-220,-38.6298,176.0413,False
e_NZ17-220,ep_geothermal_G100000700279,174.0,geothermal,Tauhara geothermal power plant_-- -- operating,e_NZ17-220,NZ17-220,-38.6667,176.1567,False
e_NZ17-220,ep_geothermal_G100001030946,51.0,geothermal,Te Huka geothermal power plant_3 -- operating,e_NZ17-220,NZ17-220,-38.6672208,176.1166394,False
e_NZ17-220,ep_geothermal_G100001030947,28.0,geothermal,Te Huka geothermal power plant_1 -- operating,e_NZ17-220,NZ17-220,-38.6672208,176.1166394,False
e_NZ22-220,ep_hydro_NZ22-220__irena,16.465781409601636,hydro,Aggregated Plant - IRENA Gap - NZ22-220_Missing Hydro Capacity -- operating,e_NZ22-220,NZ22-220,-39.12177853786146,175.81471613989856,False
