comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_OM1-400,ep_gas_internal_combustion_G100000410539,120.0,gas,Musandam power plant_1 -- operating,e_OM1-400,OM1-400,26.056121,56.089118,False
e_OM10-220,ep_gas_combined_cycle_G100000404685,456.0,gas,Barka I Independent Water and power plant_1 -- operating,e_OM10-220,OM10-220,23.7073,57.9845,False
e_OM10-220,ep_gas_combined_cycle_G100000404686,688.0,gas,Barka II Independent Water and power plant_1 -- operating,e_OM10-220,OM10-220,23.707,57.9816,False
e_OM10-220,ep_gas_combined_cycle_G100000404687,766.0,gas,Barka III Independent power plant_1 -- operating,e_OM10-220,OM10-220,23.707375,57.977055,False
e_OM17-220,ep_gas_gas_turbine_G100000404689,90.0,gas,Manah power plant_2-1 -- operating,e_OM17-220,OM17-220,22.7067,57.5779,False
e_OM17-220,ep_gas_gas_turbine_G100000404690,90.0,gas,Manah power plant_2-2 -- operating,e_OM17-220,OM17-220,22.7067,57.5779,False
e_OM2-400,ep_oil_internal_combustion_G100000411534,84.0,oil,Khasab New power plant_1 -- operating,e_OM2-400,OM2-400,26.0883,56.23274,False
e_w1100731217-400,ep_gas_combined_cycle_G100000404714,110.0,gas,Lekhwair power station_CC1 -- operating,e_w1100731217-400,way/1100731217-400,22.842128,55.4021,False
e_w1226343137-400,ep_gas_combined_cycle_G100000404700,445.0,gas,Salalah Independent Water and power plant_CC1 -- operating,e_w1226343137-400,way/1226343137-400,17.038657,54.490113,False
e_w1226343137-400,ep_gas_combined_cycle_G100000404702,225.0,gas,Salalah 2 Independent power plant_CC1 -- operating,e_w1226343137-400,way/1226343137-400,16.938682,53.972467,False
e_w1226343137-400,ep_gas_combined_cycle_G100000408542,67.0,gas,Haima West power station_1 -- operating,e_w1226343137-400,way/1226343137-400,19.954732,56.267661,False
e_w1226343137-400,ep_gas_combined_cycle_G100000411169,225.0,gas,Salalah 2 Independent power plant_CC2 -- operating,e_w1226343137-400,way/1226343137-400,16.938682,53.972467,False
e_w1226343137-400,ep_gas_gas_turbine_G100000404708,126.0,gas,Amal power plant_1 -- operating,e_w1226343137-400,way/1226343137-400,18.333796,55.68432,False
e_w1226343137-400,ep_gas_gas_turbine_G100000404709,126.0,gas,Amal power plant_2 -- operating,e_w1226343137-400,way/1226343137-400,18.333796,55.68432,False
e_w1226343137-400,ep_gas_gas_turbine_G100000404710,132.0,gas,Amal power plant_3 -- construction,e_w1226343137-400,way/1226343137-400,18.333796,55.68432,False
e_w1226343137-400,ep_gas_gas_turbine_G100000404715,126.0,gas,Mukhaizna power plant_1 -- operating,e_w1226343137-400,way/1226343137-400,19.3422,56.461109,False
e_w1226343137-400,ep_gas_gas_turbine_G100000404716,126.0,gas,Mukhaizna power plant_2 -- operating,e_w1226343137-400,way/1226343137-400,19.3422,56.461109,False
e_w1226343137-400,ep_gas_gas_turbine_G100000404723,75.0,gas,Rabab Harweel Project power plant_1 -- operating,e_w1226343137-400,way/1226343137-400,18.028623,54.640978,False
e_w1226343137-400,ep_gas_gas_turbine_G100000404724,75.0,gas,Rabab Harweel Project power plant_2 -- operating,e_w1226343137-400,way/1226343137-400,18.028623,54.640978,False
