comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_coal__ember,1.9999999999997797,coal,Aggregated Plant -- operating,,,,,False
ELC,ep_gas__ember,4.799999999999471,gas,Aggregated Plant -- operating,,,,,False
e_PK14-220,ep_hydro_ror_G100000603054,96.0,hydro,Jinnah hydroelectric plant_ -- operating,e_PK14-220,PK14-220,32.9271,71.5036,False
e_PK15-220,ep_coal_subcritical_G100000113486,40.0,coal,Maple Leaf power station_-- -- operating,e_PK15-220,PK15-220,32.904671,71.610642,False
e_PK16-220,ep_hydro_dam_G100000603044,184.0,hydro,Chashma hydroelectric plant_ -- operating,e_PK16-220,PK16-220,32.4351,71.3699,False
e_PK16-220,ep_nuclear_G100000500514,340.0,nuclear,Chashma nuclear power plant_3 -- operating,e_PK16-220,PK16-220,32.392,71.4616,False
e_PK16-220,ep_nuclear_G100000500515,340.0,nuclear,Chashma nuclear power plant_4 -- operating,e_PK16-220,PK16-220,32.392,71.4616,False
e_PK16-220,ep_nuclear_G100000500516,325.0,nuclear,Chashma nuclear power plant_1 -- operating,e_PK16-220,PK16-220,32.392,71.4616,False
e_PK16-220,ep_nuclear_G100000500517,325.0,nuclear,Chashma nuclear power plant_2 -- operating,e_PK16-220,PK16-220,32.392,71.4616,False
e_PK21-220,ep_oil_internal_combustion_G100000411748,202.4,oil,Narowal power plant_1:11 -- operating,e_PK21-220,PK21-220,32.059246,74.781682,False
e_PK23-220,ep_gas_combined_cycle_G100000406117,225.0,gas,Sapphire Electric power station_1 -- operating,e_PK23-220,PK23-220,31.761001,74.035548,False
e_PK24-220,ep_coal_subcritical_G100000109094,31.5,coal,Sheikhupura power station_-- -- construction,e_PK24-220,PK24-220,31.6526,74.1808,False
e_PK24-220,ep_oil_internal_combustion_G100000411766,214.5,oil,Atlas Power Limited power station_1:11 -- operating,e_PK24-220,PK24-220,31.678405,74.083768,False
e_PK27-220,ep_bioenergy_PK27-220__ember,18.804123711340203,bioenergy,Aggregated Plant -- operating,e_PK27-220,PK27-220,31.441323604317446,74.38472810878463,False
e_PK31-220,ep_bioenergy_PK31-220,41.0,bioenergy,Aggregated Plant -- operating,e_PK31-220,PK31-220,31.572438688117884,74.36063848504804,False
e_PK31-220,ep_bioenergy_PK31-220__ember,19.27422680412371,bioenergy,Aggregated Plant -- operating,e_PK31-220,PK31-220,31.21315166149073,74.33636500307084,False
e_PK32-220,ep_oil_internal_combustion_G100000411754,120.0,oil,Kohinoor Energy Limited power plant_1:8 -- operating,e_PK32-220,PK32-220,31.263346,74.187707,False
e_PK38-500,ep_gas_combined_cycle_G100000406114,225.0,gas,Orient power station_1 -- operating,e_PK38-500,PK38-500,31.188005,73.887917,False
e_PK38-500,ep_oil_internal_combustion_G100000411744,185.9,oil,Nishat Power Limited power plant_1:11 -- operating,e_PK38-500,PK38-500,31.123729,73.901666,False
e_PK38-500,ep_oil_internal_combustion_G100000411746,185.9,oil,Nishat Chunian power station_1:11 -- operating,e_PK38-500,PK38-500,31.123729,73.901666,False
e_PK40-220,ep_bioenergy_PK40-220__ember,23.035051546391752,bioenergy,Aggregated Plant -- operating,e_PK40-220,PK40-220,30.93234899577372,72.15381220299798,False
e_PK40-220,ep_gas_combined_cycle_G100000406122,1263.0,gas,Trimmu power station_1 -- operating,e_PK40-220,PK40-220,31.116943,72.188502,False
e_PK44-500,ep_coal_subcritical_G100000108714,660.0,coal,Sahiwal power station_Unit 1 -- operating,e_PK44-500,PK44-500,30.71422,73.23802,False
e_PK44-500,ep_coal_subcritical_G100000108715,660.0,coal,Sahiwal power station_Unit 2 -- operating,e_PK44-500,PK44-500,30.71422,73.23802,False
e_PK44-500,ep_gas_combined_cycle_G100000406116,225.0,gas,Saif power station_1 -- operating,e_PK44-500,PK44-500,30.696186,73.259363,False
e_PK46-220,ep_bioenergy_PK46-220,41.0,bioenergy,Aggregated Plant -- operating,e_PK46-220,PK46-220,30.62646160358769,70.97235524656438,False
