comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_PE101-220,ep_oil_gas_turbine_G100000406652,240.0,oil,Ilo power station_Ilo41-TG3 -- operating,e_PE101-220,PE101-220,-17.77597,-71.18928,False
e_PE101-220,ep_oil_gas_turbine_G100000406653,240.0,oil,Ilo power station_Ilo41-TG2 -- operating,e_PE101-220,PE101-220,-17.77597,-71.18928,False
e_PE101-220,ep_oil_gas_turbine_G100000406654,240.0,oil,Ilo power station_Ilo41-TG1 -- operating,e_PE101-220,PE101-220,-17.77597,-71.18928,False
e_PE101-220,ep_oil_gas_turbine_G100000406660,188.0,oil,Ilo power station_Ilo31 (Reserva Fría) -TG3 -- operating,e_PE101-220,PE101-220,-17.77597,-71.18928,False
e_PE101-220,ep_oil_gas_turbine_G100000406661,188.0,oil,Ilo power station_Ilo31 (Reserva Fría) - TG2 -- operating,e_PE101-220,PE101-220,-17.77597,-71.18928,False
e_PE101-220,ep_oil_gas_turbine_G100000406662,188.0,oil,Ilo power station_Ilo31 (Reserva Fría) - TG1 -- operating,e_PE101-220,PE101-220,-17.77597,-71.18928,False
e_PE11-220,ep_hydro_ror_G100000603119,110.0,hydro,Carhuaquero hydroelectric plant_ -- operating,e_PE11-220,PE11-220,-6.6108,-79.2394,False
e_PE11-220,ep_windon_wind_220,36.0,windon,Aggregated Plant -- operating,e_PE11-220,PE11-220,-6.452585724772476,-79.40280226013437,False
e_PE13-220,ep_oil_gas_turbine_G100000406647,181.3,oil,Recka power station_Grupo1 -- operating,e_PE13-220,PE13-220,-6.878065,-79.792538,False
e_PE14-220,ep_oil_gas_turbine_G100000406664,184.0,oil,Eten power station_TG1 -- operating,e_PE14-220,PE14-220,-6.884571,-79.790077,False
e_PE25-220,ep_hydro_dam_G100000603117,247.0,hydro,Cañón Del Pato hydroelectric plant_ -- operating,e_PE25-220,PE25-220,-8.813,-77.8526,False
e_PE25-220,ep_hydro_ror_G100000603149,114.0,hydro,Quitarasca hydroelectric plant_ -- operating,e_PE25-220,PE25-220,-8.8044,-77.8536,False
e_PE33-220,ep_hydro_dam_G100000603138,88.0,hydro,Marañon hydroelectric plant_ -- operating,e_PE33-220,PE33-220,-9.5629,-76.7504,False
e_PE4-220,ep_windon_wind_220,30.0,windon,Aggregated Plant -- operating,e_PE4-220,PE4-220,-4.413607837053781,-81.253096412663,False
e_PE45-220,ep_hydro_dam_G100000603168,130.0,hydro,Yucán hydroelectric plant_ -- operating,e_PE45-220,PE45-220,-10.7222,-75.6441,False
e_PE45-220,ep_hydro_ps_G100000603167,108.0,hydro,Yaupi hydroelectric plant_ -- operating,e_PE45-220,PE45-220,-10.7432,-75.5361,False
e_PE46-220,ep_hydro_dam_G100000603124,176.0,hydro,Cheves hydroelectric plant_ -- operating,e_PE46-220,PE46-220,-10.8849,-76.975,False
e_PE48-220,ep_hydro_ror_G100000603133,84.0,hydro,La Virgen hydroelectric plant_ -- operating,e_PE48-220,PE48-220,-11.1611,-75.4259,False
e_PE49-220,ep_hydro_dam_G100000603125,152.0,hydro,Chimay hydroelectric plant_ -- operating,e_PE49-220,PE49-220,-11.3248,-75.3006,False
e_PE50-220,ep_hydro_ror_G100001048235,48.0,hydro,Malpaso hydroelectric plant (Peru)_ -- operating,e_PE50-220,PE50-220,-11.4174,-76.0356,False
e_PE54-220,ep_hydro_ror_G100000603131,96.0,hydro,Huanza hydroelectric plant_ -- operating,e_PE54-220,PE54-220,-11.6566,-76.4807,False
e_PE56-220,ep_hydro_dam_G100000603132,258.0,hydro,Huinco hydroelectric plant_ -- operating,e_PE56-220,PE56-220,-11.7645,-76.6153,False
e_PE57-220,ep_hydro_ror_G100000603139,120.0,hydro,Matucana hydroelectric plant_ -- operating,e_PE57-220,PE57-220,-11.8865,-76.4556,False
e_PE57-220,ep_hydro_ror_G100001048236,69.0,hydro,Moyopampa hydroelectric plant_ -- operating,e_PE57-220,PE57-220,-11.9276,-76.6893,False
e_PE71-220,ep_hydro_dam_G100000603120,525.0,hydro,Cerro Del Águila hydroelectric plant_ -- operating,e_PE71-220,PE71-220,-12.2408,-74.7011,False
e_PE75-220,ep_hydro_dam_G100000603160,798.0,hydro,Santiago Antúnez De Mayolo hydroelectric plant_ -- operating,e_PE75-220,PE75-220,-12.4644,-74.7865,False
e_PE76-220,ep_gas_PE76-220__ember,144.36459169096494,gas,Aggregated Plant - EMBER Gap - PE76-220_Missing Gas Capacity -- operating,e_PE76-220,PE76-220,-12.406541692856468,-76.56365891521685,False
