comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_KP13-220,ep_coal_subcritical_G100000101525,50.0,coal,Chongjin City power station_Unit 1 -- operating,e_KP13-220,KP13-220,41.783681,129.750091,False
e_KP13-220,ep_coal_subcritical_G100000101526,50.0,coal,Chongjin City power station_Unit 2 -- operating,e_KP13-220,KP13-220,41.783681,129.750091,False
e_KP13-220,ep_coal_subcritical_G100000101527,50.0,coal,Chongjin City power station_Unit 3 -- operating,e_KP13-220,KP13-220,41.783681,129.750091,False
e_KP13-220,ep_coal_subcritical_G100000113905,100.0,coal,Sonbong power station_Unit 1 -- operating,e_KP13-220,KP13-220,42.32849,130.382448,False
e_KP13-220,ep_coal_subcritical_G100000115630,50.0,coal,Sonbong power station_Unit 2 -- operating,e_KP13-220,KP13-220,42.32849,130.382448,False
e_KP13-220,ep_coal_subcritical_G100000115631,50.0,coal,Sonbong power station_Unit 3 -- operating,e_KP13-220,KP13-220,42.32849,130.382448,False
e_KP13-220,ep_hydro_KP13-220__irena,757.770002279462,hydro,Aggregated Plant - IRENA Gap - KP13-220_Missing Hydro Capacity -- operating,e_KP13-220,KP13-220,40.1100296435808,127.64859490502874,False
e_KP13-220,ep_hydro_dam_G100000602892,100.0,hydro,Anbyon Youth hydroelectric plant_ -- operating,e_KP13-220,KP13-220,38.9544,127.5389,False
e_KP13-220,ep_hydro_dam_G100000602893,100.0,hydro,Anbyon Youth No 2 hydroelectric plant_ -- operating,e_KP13-220,KP13-220,38.9544,127.5389,False
e_KP13-220,ep_hydro_dam_G100000602894,130.0,hydro,Bujeongang hydroelectric plant_ -- operating,e_KP13-220,KP13-220,40.4911,127.621,False
e_KP13-220,ep_hydro_dam_G100000602900,381.0,hydro,Jangjingang hydroelectric plant_ -- operating,e_KP13-220,KP13-220,40.0549,127.5781,False
e_KP13-220,ep_hydro_dam_G100000602902,134.0,hydro,Orangchon hydroelectric plant_ -- operating,e_KP13-220,KP13-220,41.3478,129.3896,False
e_KP13-220,ep_hydro_dam_G100000602903,100.0,hydro,Paektusan Hero Youth No 3 hydroelectric plant_ -- operating,e_KP13-220,KP13-220,41.4453,128.8433,False
e_KP13-220,ep_hydro_dam_G100001051861,50.0,hydro,Samsu hydroelectric plant_ -- operating,e_KP13-220,KP13-220,41.2904,128.024,False
e_KP13-220,ep_hydro_ror_G100000602896,394.0,hydro,Heocheongang hydroelectric plant_ -- operating,e_KP13-220,KP13-220,40.679,128.6126,False
e_KP14-220,ep_hydro_KP14-220__irena,75.81490768178709,hydro,Aggregated Plant - IRENA Gap - KP14-220_Missing Hydro Capacity -- operating,e_KP14-220,KP14-220,39.91711105214631,126.19579466303857,False
e_KP14-220,ep_hydro_ror_G100000602907,200.0,hydro,Taedonggang hydroelectric plant_ -- operating,e_KP14-220,KP14-220,39.7735,126.3478,False
e_KP16-220,ep_coal_subcritical_G100000101409,50.0,coal,Cheongcheon-Gang power station_Unit 1 -- operating,e_KP16-220,KP16-220,39.65655,125.66883,False
e_KP16-220,ep_coal_subcritical_G100000101410,50.0,coal,Cheongcheon-Gang power station_Unit 2 -- operating,e_KP16-220,KP16-220,39.65655,125.66883,False
e_KP16-220,ep_coal_subcritical_G100000101411,50.0,coal,Cheongcheon-Gang power station_Unit 3 -- operating,e_KP16-220,KP16-220,39.65655,125.66883,False
e_KP16-220,ep_coal_subcritical_G100000101412,50.0,coal,Cheongcheon-Gang power station_Unit 4 -- operating,e_KP16-220,KP16-220,39.65655,125.66883,False
e_KP17-220,ep_coal_subcritical_G100000108207,100.0,coal,Pukchang power station_Unit 10 -- operating,e_KP17-220,KP17-220,39.586142,126.305072,False
e_KP17-220,ep_coal_subcritical_G100000108208,100.0,coal,Pukchang power station_Unit 11 -- operating,e_KP17-220,KP17-220,39.586142,126.305072,False
e_KP17-220,ep_coal_subcritical_G100000108209,100.0,coal,Pukchang power station_Unit 12 -- operating,e_KP17-220,KP17-220,39.586142,126.305072,False
e_KP17-220,ep_coal_subcritical_G100000108210,100.0,coal,Pukchang power station_Unit 13 -- operating,e_KP17-220,KP17-220,39.586142,126.305072,False
e_KP17-220,ep_coal_subcritical_G100000108211,100.0,coal,Pukchang power station_Unit 14 -- operating,e_KP17-220,KP17-220,39.586142,126.305072,False
e_KP17-220,ep_coal_subcritical_G100000108212,100.0,coal,Pukchang power station_Unit 15 -- operating,e_KP17-220,KP17-220,39.586142,126.305072,False
e_KP17-220,ep_coal_subcritical_G100000108213,100.0,coal,Pukchang power station_Unit 16 -- operating,e_KP17-220,KP17-220,39.586142,126.305072,False
e_KP17-220,ep_coal_subcritical_G100000108217,100.0,coal,Pukchang power station_Unit 5 -- operating,e_KP17-220,KP17-220,39.586142,126.305072,False
e_KP17-220,ep_coal_subcritical_G100000108218,100.0,coal,Pukchang power station_Unit 6 -- operating,e_KP17-220,KP17-220,39.586142,126.305072,False
e_KP17-220,ep_coal_subcritical_G100000108219,100.0,coal,Pukchang power station_Unit 7 -- operating,e_KP17-220,KP17-220,39.586142,126.305072,False
