comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_gas__ember,24.00000000000002,gas,Aggregated Plant - EMBER Gap_Missing Gas Capacity -- operating,,,,,False
e_PT1-400,ep_hydro_PT1-400__irena,21.470339412360676,hydro,Aggregated Plant - IRENA Gap - PT1-400_Missing Hydro Capacity -- operating,e_PT1-400,PT1-400,41.5733899476458,-7.990695653882883,False
e_PT1-400,ep_hydro_ps_G100000603241,220.0,hydro,Salamonde II hydroelectric plant_ -- operating,e_PT1-400,PT1-400,41.6919,-8.0919,False
e_PT14-400,ep_hydro_PT14-400__irena,17.566641337386006,hydro,Aggregated Plant - IRENA Gap - PT14-400_Missing Hydro Capacity -- operating,e_PT14-400,PT14-400,41.015031562419296,-7.820643048073793,False
e_PT14-400,ep_hydro_ror_G100000603240,180.0,hydro,Régua hydroelectric plant_ -- operating,e_PT14-400,PT14-400,41.1461,-7.7397,False
e_PT22-400,ep_gas_combined_cycle_G100000410465,80.0,gas,Setubal Mill power station_CC -- operating,e_PT22-400,PT22-400,40.686,-8.5894,False
e_PT27-400,ep_gas_combined_cycle_G100000410467,32.0,gas,Carrico Refinery power station_GT1 -- operating,e_PT27-400,PT27-400,39.98321,-8.85129,False
e_r17294958-400,ep_hydro_r17294958-400__irena,122.1857497467071,hydro,Aggregated Plant - IRENA Gap - relation/17294958-400_Missing Hydro Capacity -- operating,e_r17294958-400,relation/17294958-400,41.47906006787751,-6.443018761684378,False
e_r17294958-400,ep_hydro_ror_G100000603227,240.0,hydro,Bemposta hydroelectric plant_ -- operating,e_r17294958-400,relation/17294958-400,41.3011,-6.4697,False
e_r17294958-400,ep_hydro_ror_G100000603228,203.0,hydro,Bemposta II hydroelectric plant_ -- operating,e_r17294958-400,relation/17294958-400,41.3007,-6.4698,False
e_r17294958-400,ep_hydro_ror_G100000603237,180.0,hydro,Miranda Douro hydroelectric plant_ -- operating,e_r17294958-400,relation/17294958-400,41.4898,-6.2639,False
e_r17294958-400,ep_hydro_ror_G100000603238,189.0,hydro,Miranda II hydroelectric plant_ -- operating,e_r17294958-400,relation/17294958-400,41.4889,-6.2639,False
e_r17294958-400,ep_hydro_ror_G100000604135,195.0,hydro,Picote hydroelectric plant_ -- operating,e_r17294958-400,relation/17294958-400,41.3783,-6.3516,False
e_r17294958-400,ep_hydro_ror_G100000604136,245.0,hydro,Picote II hydroelectric plant_ -- operating,e_r17294958-400,relation/17294958-400,41.3783,-6.3516,False
e_r17294973-400,ep_gas_combined_cycle_G100000400592,43.0,gas,Sines Polimeros power station_1 -- operating,e_r17294973-400,relation/17294973-400,37.9583,-8.8048,False
