comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_SD7-220,ep_bioenergy_SD7-220,62.0,bioenergy,Aggregated Plant -- operating,e_SD7-220,SD7-220,14.144302662412866,32.38160814662715,False
e_SD7-220,ep_bioenergy_SD7-220__ember,27.855072463768117,bioenergy,Aggregated Plant -- operating,e_SD7-220,SD7-220,13.786963756572618,32.42808973689324,False
e_w126103631-220,ep_gas_gas_turbine_G100000410068,187.0,gas,Port Sudan power station_1-2 -- operating,e_w126103631-220,way/126103631-220,19.626296,37.217713,False
e_w126103631-220,ep_gas_gas_turbine_G100000410069,187.0,gas,Port Sudan power station_1 -- operating,e_w126103631-220,way/126103631-220,19.626296,37.217713,False
e_w126103631-220,ep_gas_steam_turbine_G100000410067,170.0,gas,Port Sudan power station_1-3 -- construction,e_w126103631-220,way/126103631-220,19.626296,37.217713,False
e_w126103631-220,ep_oil_steam_turbine_G100001018716,150.0,oil,Karadeniz Powership_1 -- operating,e_w126103631-220,way/126103631-220,19.609512,37.228398,False
e_w1265633459-220,ep_hydro_dam_G100000603446,320.0,hydro,Rumela hydroelectric plant_ -- operating,e_w1265633459-220,way/1265633459-220,14.2767,35.8969,False
e_w179151461-220,ep_oil_internal_combustion_G100000411402,256.9,oil,Kilo-X Dit power plant_1 -- operating,e_w179151461-220,way/179151461-220,15.648236,32.563096,False
e_w179151461-220,ep_oil_steam_turbine_G100000411403,100.0,oil,Mahmoud Sharif power station_3-2 -- operating,e_w179151461-220,way/179151461-220,15.651704,32.56277,False
e_w179151461-220,ep_oil_steam_turbine_G100000411404,100.0,oil,Mahmoud Sharif power station_3-1 -- operating,e_w179151461-220,way/179151461-220,15.651704,32.56277,False
e_w179151461-220,ep_oil_steam_turbine_G100000411405,60.0,oil,Mahmoud Sharif power station_2-2 -- operating,e_w179151461-220,way/179151461-220,15.651704,32.56277,False
e_w179151461-220,ep_oil_steam_turbine_G100000411406,60.0,oil,Mahmoud Sharif power station_2-1 -- operating,e_w179151461-220,way/179151461-220,15.651704,32.56277,False
e_w186397874-220,ep_hydro_dam_G100000603445,280.0,hydro,Roseires Dam hydroelectric plant_ -- operating,e_w186397874-220,way/186397874-220,11.7981,34.3875,False
e_w230637768-220,ep_hydro_dam_G100000603444,1250.0,hydro,Merowe Dam hydroelectric plant_ -- operating,e_w230637768-220,way/230637768-220,18.6689,32.0503,False
