comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_SK1-220,ep_bioenergy_SK1-220__ember,14.0,bioenergy,Aggregated Plant -- operating,e_SK1-220,SK1-220,49.62878006807716,18.166290850769148,False
e_SK10-220,ep_bioenergy_SK10-220__ember,14.0,bioenergy,Aggregated Plant -- operating,e_SK10-220,SK10-220,48.86654169162674,17.439557443967946,False
e_SK11-220,ep_bioenergy_SK11-220__ember,14.0,bioenergy,Aggregated Plant -- operating,e_SK11-220,SK11-220,48.55940088098264,18.443837169480727,False
e_SK16-400,ep_gas_SK16-400__ember,406.9114500553032,gas,Aggregated Plant - EMBER Gap - SK16-400_Missing Gas Capacity -- operating,e_SK16-400,SK16-400,48.52990454778581,17.69660905079106,False
e_SK16-400,ep_gas_combined_cycle_G100000400631,436.0,gas,Malženice power station_1 -- operating,e_SK16-400,SK16-400,48.4296,17.6978,False
e_SK6-220,ep_bioenergy_SK6-220__ember,14.0,bioenergy,Aggregated Plant -- operating,e_SK6-220,SK6-220,49.150777004894444,18.327972752944444,False
e_r11038054-400,ep_coal_r11038054-400__ember,435.99999999999994,coal,Aggregated Plant - EMBER Gap - relation/11038054-400_Missing Coal Capacity -- operating,e_r11038054-400,relation/11038054-400,48.8000137438758,21.14091469294091,False
e_r11038054-400,ep_coal_subcritical_G100000105880,66.0,coal,Kosice power station_Unit 2 -- operating,e_r11038054-400,relation/11038054-400,48.698047,21.271726,False
e_r11038054-400,ep_coal_subcritical_G100000110415,208.0,coal,U.S. Steel Kosice Works power station_-- -- operating,e_r11038054-400,relation/11038054-400,48.615945,21.194562,False
e_r11038054-400,ep_gas_internal_combustion_G100001031044,37.0,gas,Kosice power station_Unit 1R -- operating,e_r11038054-400,relation/11038054-400,48.698047,21.271726,False
e_r11038054-400,ep_gas_r11038054-400__ember,34.53147626616105,gas,Aggregated Plant - EMBER Gap - relation/11038054-400_Missing Gas Capacity -- operating,e_r11038054-400,relation/11038054-400,48.450323509672465,21.22657179978424,False
e_w100979306-220,ep_bioenergy_w100979306-220__ember,14.0,bioenergy,Aggregated Plant -- operating,e_w100979306-220,way/100979306-220,49.03254339940667,21.299878089605166,False
e_w100979306-220,ep_hydro_ps_G100001027416,60.0,hydro,Ružín hydroelectric plant_ -- operating,e_w100979306-220,way/100979306-220,48.8616,21.0911,False
e_w100979306-220,ep_hydro_w100979306-220__irena,11.02040816326531,hydro,Aggregated Plant - IRENA Gap - way/100979306-220_Missing Hydro Capacity -- operating,e_w100979306-220,way/100979306-220,48.682034926277744,21.216510279362165,False
e_w100979306-400,ep_geothermal_w100979306-400,6.0,geothermal,Aggregated Plant -- construction,e_w100979306-400,way/100979306-400,48.9285878019927,21.1276835404874,False
e_w1063211569-400,ep_nuclear_G100000500461,500.0,nuclear,Mochovce nuclear power plant_1 -- operating,e_w1063211569-400,way/1063211569-400,48.2572,18.4553,False
e_w1063211569-400,ep_nuclear_G100000500462,500.0,nuclear,Mochovce nuclear power plant_2 -- operating,e_w1063211569-400,way/1063211569-400,48.2572,18.4553,False
e_w1063211569-400,ep_nuclear_G100000500490,471.0,nuclear,Mochovce nuclear power plant_3 -- operating,e_w1063211569-400,way/1063211569-400,48.2572,18.4553,False
e_w1063211569-400,ep_nuclear_G100000500491,471.0,nuclear,Mochovce nuclear power plant_4 -- construction,e_w1063211569-400,way/1063211569-400,48.2572,18.4553,False
e_w111687967-400,ep_gas_gas_turbine_G100000400632,49.9,gas,Panické Dravce power station_GT 1 -- operating,e_w111687967-400,way/111687967-400,48.28641,19.61488,False
e_w111687967-400,ep_gas_w111687967-400__ember,46.570828802200985,gas,Aggregated Plant - EMBER Gap - way/111687967-400_Missing Gas Capacity -- operating,e_w111687967-400,way/111687967-400,48.64451304928665,19.986187727092762,False
e_w111687967-400,ep_hydro_dam_G100001027413,45.0,hydro,Kráľová hydroelectric plant_ -- operating,e_w111687967-400,way/111687967-400,48.1912,19.8296,False
