comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_SE10-220,ep_hydro_SE10-220__irena,16.6155905980363,hydro,Aggregated Plant - IRENA Gap - SE10-220_Missing Hydro Capacity -- operating,e_SE10-220,SE10-220,63.708235723092464,15.087649956787962,False
e_SE10-220,ep_hydro_ror_G100001052078,60.0,hydro,Hissmofors VI hydroelectric plant_ -- operating,e_SE10-220,SE10-220,63.3318,14.4681,False
e_SE10-220,ep_windon_wind_220,230.5,windon,Aggregated Plant -- operating,e_SE10-220,SE10-220,63.355042250513414,15.158636002545437,False
e_SE10-220,ep_windon_wind_G100000919849,288.0,windon,Åskälen wind farm_-- -- operating,e_SE10-220,SE10-220,63.5542,15.0532,False
e_SE11-400,ep_hydro_SE11-400__irena,16.6155905980363,hydro,Aggregated Plant - IRENA Gap - SE11-400_Missing Hydro Capacity -- operating,e_SE11-400,SE11-400,63.45743759005372,16.676001598310926,False
e_SE11-400,ep_hydro_dam_G100001052073,60.0,hydro,Edsele hydroelectric plant_ -- operating,e_SE11-400,SE11-400,63.4046,16.5571,False
e_SE11-400,ep_windon_wind_G100000919651,242.0,windon,Ranasjö wind farm_-- -- construction,e_SE11-400,SE11-400,63.5225,16.5706,False
e_SE12-220,ep_hydro_SE12-220__irena,31.015769116334425,hydro,Aggregated Plant - IRENA Gap - SE12-220_Missing Hydro Capacity -- operating,e_SE12-220,SE12-220,63.252100113915695,16.891456254202385,False
e_SE12-220,ep_hydro_dam_G100000603487,112.0,hydro,Nämforsen hydroelectric plant_ -- operating,e_SE12-220,SE12-220,63.4401,16.8806,False
e_SE19-220,ep_windon_wind_220,79.0,windon,Aggregated Plant -- operating,e_SE19-220,SE19-220,62.62869193760778,16.61479937957305,False
e_SE19-220,ep_windon_wind_G100000919830,260.0,windon,Stor-Skälsjön wind farm_-- -- construction,e_SE19-220,SE19-220,62.7305,16.9775,False
