comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_bioenergy__ember,10.0,bioenergy,Aggregated Plant -- operating,,,,,False
e_SY33-230,ep_m_gas_combined_cycle_G100000411149,488.0,gas,Zayzoun CCGT power plant_CC -- mothballed,e_SY33-230,SY33-230,35.932216,36.633551,False
e_SY51-230,ep_gas_steam_turbine_G100000408125,165.0,gas,Mehardeh power plant_ST1 -- operating,e_SY51-230,SY51-230,35.263249,36.584817,False
e_SY51-230,ep_gas_steam_turbine_G100000408545,150.0,gas,Mehardeh power plant_ST4 -- operating,e_SY51-230,SY51-230,35.263249,36.584817,False
e_SY51-230,ep_gas_steam_turbine_G100000408546,150.0,gas,Mehardeh power plant_ST3 -- operating,e_SY51-230,SY51-230,35.263249,36.584817,False
e_SY51-230,ep_gas_steam_turbine_G100000408547,165.0,gas,Mehardeh power plant_ST2 -- operating,e_SY51-230,SY51-230,35.263249,36.584817,False
e_SY85-230,ep_gas_combined_cycle_G100000408126,450.0,gas,Teshreen power station_CC1 -- operating,e_SY85-230,SY85-230,33.41945,36.688722,False
e_SY85-230,ep_gas_gas_turbine_G100000408127,113.0,gas,Teshreen power station_GT1 -- operating,e_SY85-230,SY85-230,33.41945,36.688722,False
e_SY85-230,ep_gas_gas_turbine_G100000408548,113.0,gas,Teshreen power station_GT2 -- operating,e_SY85-230,SY85-230,33.41945,36.688722,False
e_SY85-230,ep_gas_steam_turbine_G100000408128,200.0,gas,Teshreen power station_ST2 -- operating,e_SY85-230,SY85-230,33.41945,36.688722,False
e_SY85-230,ep_gas_steam_turbine_G100000408537,200.0,gas,Teshreen power station_ST4 -- construction,e_SY85-230,SY85-230,33.41945,36.688722,False
e_SY85-230,ep_gas_steam_turbine_G100000408538,200.0,gas,Teshreen power station_ST3 -- construction,e_SY85-230,SY85-230,33.41945,36.688722,False
e_SY85-230,ep_gas_steam_turbine_G100000408549,200.0,gas,Teshreen power station_ST1 -- operating,e_SY85-230,SY85-230,33.41945,36.688722,False
e_w124803179-230,ep_gas_steam_turbine_G100000408133,220.0,gas,Al-Zara power plant_3 -- operating,e_w124803179-230,way/124803179-230,34.959189,36.661889,False
e_w124803179-230,ep_gas_steam_turbine_G100000408134,220.0,gas,Al-Zara power plant_2 -- operating,e_w124803179-230,way/124803179-230,34.959189,36.661889,False
e_w124803179-230,ep_gas_steam_turbine_G100000408135,220.0,gas,Al-Zara power plant_1 -- operating,e_w124803179-230,way/124803179-230,34.959189,36.661889,False
e_w1302950765-400,ep_gas_combined_cycle_G100000408454,750.0,gas,Deir Ali power station_CC3- EXT1 -- construction,e_w1302950765-400,way/1302950765-400,33.268416,36.328777,False
e_w1302950765-400,ep_gas_combined_cycle_G100000408455,750.0,gas,Deir Ali power station_CC1 -- operating,e_w1302950765-400,way/1302950765-400,33.268416,36.328777,False
e_w1302950765-400,ep_gas_combined_cycle_G100000408555,750.0,gas,Deir Ali power station_CC2 -- operating,e_w1302950765-400,way/1302950765-400,33.268416,36.328777,False
e_w130804491-230,ep_gas_combined_cycle_G100000411388,750.0,gas,Deir El Zor power plant_Deir Ali- Ext 2 -- construction,e_w130804491-230,way/130804491-230,35.338836,40.131667,False
e_w133331795-230,ep_gas_steam_turbine_G100000408130,213.0,gas,Aleppo power plant_ST1 -- operating,e_w133331795-230,way/133331795-230,36.175527,37.437828,False
e_w133331795-230,ep_gas_steam_turbine_G100000408550,213.0,gas,Aleppo power plant_ST5 -- operating,e_w133331795-230,way/133331795-230,36.175527,37.437828,False
e_w133331795-230,ep_m_gas_steam_turbine_G100000408551,213.0,gas,Aleppo power plant_ST4 -- mothballed,e_w133331795-230,way/133331795-230,36.175527,37.437828,False
e_w133331795-230,ep_m_gas_steam_turbine_G100000408552,213.0,gas,Aleppo power plant_ST3 -- mothballed,e_w133331795-230,way/133331795-230,36.175527,37.437828,False
e_w133331795-230,ep_m_gas_steam_turbine_G100000408553,213.0,gas,Aleppo power plant_ST2 -- mothballed,e_w133331795-230,way/133331795-230,36.175527,37.437828,False
e_w150638744-230,ep_gas_combined_cycle_G100000408122,703.0,gas,Jandar Gas power plant_1 -- operating,e_w150638744-230,way/150638744-230,34.465977,36.783316,False
e_w150638744-230,ep_gas_combined_cycle_G100000408123,480.0,gas,Jandar Gas power plant_EXT1 -- operating,e_w150638744-230,way/150638744-230,34.465977,36.783316,False
e_w150638744-230,ep_gas_combined_cycle_G100000411152,450.0,gas,Jandar Gas power plant_EXT2 -- construction,e_w150638744-230,way/150638744-230,34.465977,36.783316,False
e_w163808669-230,ep_gas_combined_cycle_G100000408136,487.5,gas,Nasrieh Gas power plant_1 -- operating,e_w163808669-230,way/163808669-230,33.801408,36.682851,False
e_w163808669-230,ep_gas_gas_turbine_G100000411150,100.0,gas,Nasrieh Gas power plant_GT1-2 -- operating,e_w163808669-230,way/163808669-230,33.801408,36.682851,False
e_w163808669-230,ep_gas_gas_turbine_G100001028327,100.0,gas,Nasrieh Gas power plant_GT2- 2 -- construction,e_w163808669-230,way/163808669-230,33.801408,36.682851,False
e_w164725546-230,ep_hydro_dam_G100000603569,630.0,hydro,Tishrin Dam hydroelectric plant_ -- operating,e_w164725546-230,way/164725546-230,36.3814,38.1833,False
e_w164725546-230,ep_m_coal_subcritical_G100000108863,30.0,coal,SCC Cement power station_Unit 1 -- mothballed,e_w164725546-230,way/164725546-230,36.542217,38.586943,False
