comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_coal__ember,1.9999999999997797,coal,Aggregated Plant -- operating,,,,,False
e_TH10-230,ep_hydro_dam_G100000603608,500.0,hydro,Sirikit hydroelectric plant_ -- operating,e_TH10-230,TH10-230,17.7648,100.5634,False
e_TH13-500,ep_bioenergy_TH13-500,41.0,bioenergy,Aggregated Plant -- operating,e_TH13-500,TH13-500,17.837888694485635,101.48016929362679,False
e_TH13-500,ep_bioenergy_TH13-500__ember,168.2609699769053,bioenergy,Aggregated Plant - EMBER Gap - TH13-500_Missing Bioenergy Capacity -- operating,e_TH13-500,TH13-500,17.48188717918828,101.43549106563478,False
e_TH17-230,ep_hydro_TH17-230__irena,18.267950413223115,hydro,Aggregated Plant - IRENA Gap - TH17-230_Missing Hydro Capacity -- operating,e_TH17-230,TH17-230,17.42236976586295,98.96062155250966,False
e_TH17-230,ep_hydro_dam_G100000603603,779.0,hydro,Bhumibol hydroelectric plant_ -- operating,e_TH17-230,TH17-230,17.2414,98.9732,False
e_TH17-230,ep_hydro_ps_G100000604991,171.0,hydro,Bhumibol hydroelectric plant_ -- operating,e_TH17-230,TH17-230,17.2414,98.9732,False
e_TH20-230,ep_bioenergy_G100000200087,103.0,bioenergy,Mitr Biopower Chaiyaphum power station_3 -- operating,e_TH20-230,TH20-230,16.4822,102.1201,False
e_TH20-230,ep_bioenergy_TH20-230__ember,422.7043879907621,bioenergy,Aggregated Plant - EMBER Gap - TH20-230_Missing Bioenergy Capacity -- operating,e_TH20-230,TH20-230,16.473711161616873,102.53483482830282,False
e_TH25-230,ep_hydro_dam_G100000603606,136.0,hydro,Pak Mun hydroelectric plant_ -- operating,e_TH25-230,TH25-230,15.2826,105.4683,False
e_TH30-230,ep_hydro_TH30-230__irena,19.22942148760328,hydro,Aggregated Plant - IRENA Gap - TH30-230_Missing Hydro Capacity -- operating,e_TH30-230,TH30-230,14.987432852367133,101.54537215276542,False
e_TH30-230,ep_hydro_ps_G100000603605,1000.0,hydro,Lam Ta Khong hydroelectric plant_ -- operating,e_TH30-230,TH30-230,14.8653,101.5603,False
e_TH31-230,ep_hydro_TH31-230__irena,23.075305785123934,hydro,Aggregated Plant - IRENA Gap - TH31-230_Missing Hydro Capacity -- operating,e_TH31-230,TH31-230,15.062541459634948,98.56545928460788,False
e_TH31-230,ep_hydro_dam_G100000603610,300.0,hydro,Vajiralongkorn hydroelectric plant_ -- operating,e_TH31-230,TH31-230,14.7998,98.597,False
e_TH35-230,ep_gas_combined_cycle_G100000404513,123.0,gas,Chaiyo power station_1 -- operating,e_TH35-230,TH35-230,14.69335,100.458415,False
e_TH36-500,ep_gas_TH36-500__ember,68.13943601466411,gas,Aggregated Plant -- operating,e_TH36-500,TH36-500,14.61850677908619,100.81128017614806,False
e_TH36-500,ep_gas_combined_cycle_G100000404446,800.0,gas,Nong Saeng power station_1 -- operating,e_TH36-500,TH36-500,14.4417,100.7756,False
e_TH36-500,ep_gas_combined_cycle_G100000404447,800.0,gas,Nong Saeng power station_2 -- operating,e_TH36-500,TH36-500,14.4417,100.7756,False
e_TH38-500,ep_gas_TH38-500__ember,79.85090157968452,gas,Aggregated Plant -- operating,e_TH38-500,TH38-500,14.263635580264529,100.62872287807157,False
e_TH38-500,ep_gas_combined_cycle_G100000404462,275.0,gas,Rojana power station_1 -- operating,e_TH38-500,TH38-500,14.3324,100.6382,False
e_TH38-500,ep_gas_combined_cycle_G100000404508,800.0,gas,U-Thai power station_1 -- operating,e_TH38-500,TH38-500,14.331653,100.69591,False
e_TH38-500,ep_gas_combined_cycle_G100000404509,800.0,gas,U-Thai power station_2 -- operating,e_TH38-500,TH38-500,14.331653,100.69591,False
e_TH47-230,ep_bioenergy_TH47-230,47.0,bioenergy,Aggregated Plant -- operating,e_TH47-230,TH47-230,14.166583626133674,101.22705557396533,False
e_TH47-230,ep_bioenergy_TH47-230__ember,192.88452655889142,bioenergy,Aggregated Plant - EMBER Gap - TH47-230_Missing Bioenergy Capacity -- operating,e_TH47-230,TH47-230,13.729588040395834,101.75319119329377,False
e_TH47-230,ep_gas_TH47-230__ember,27.851994470993958,gas,Aggregated Plant -- operating,e_TH47-230,TH47-230,13.42466672871558,101.64069116795366,False
e_TH47-230,ep_gas_steam_turbine_TH47-230,114.0,gas,Aggregated Plant -- operating,e_TH47-230,TH47-230,13.316297362626717,101.10820056111952,False
e_TH48-230,ep_gas_combined_cycle_TH48-230,110.0,gas,Aggregated Plant -- operating,e_TH48-230,TH48-230,13.784863273386396,100.76670636014863,False
e_TH51-230,ep_gas_combined_cycle_G100000404478,234.0,gas,Ratchaburi World cogeneration power station_1 -- operating,e_TH51-230,TH51-230,13.650941,99.846812,False
e_TH51-500,ep_gas_TH51-500__ember,284.5332499382337,gas,Aggregated Plant - EMBER Gap - TH51-500_Missing Gas Capacity -- operating,e_TH51-500,TH51-500,13.458662199534984,99.79519029965421,False
e_TH51-500,ep_gas_combined_cycle_G100000404450,725.0,gas,Ratchaburi (RATCHGEN) power station_1 -- operating,e_TH51-500,TH51-500,13.5979,99.8841,False
e_TH51-500,ep_gas_combined_cycle_G100000404451,725.0,gas,Ratchaburi (RATCHGEN) power station_2 -- operating,e_TH51-500,TH51-500,13.5979,99.8841,False
e_TH51-500,ep_gas_combined_cycle_G100000404452,725.0,gas,Ratchaburi (RATCHGEN) power station_3 -- operating,e_TH51-500,TH51-500,13.5979,99.8841,False
e_TH51-500,ep_gas_combined_cycle_G100000404455,700.0,gas,Ratchaburi Power (RPCL) power station_1 -- operating,e_TH51-500,TH51-500,13.6068,99.8902,False
e_TH51-500,ep_gas_combined_cycle_G100000404456,700.0,gas,Ratchaburi Power (RPCL) power station_2 -- operating,e_TH51-500,TH51-500,13.6068,99.8902,False
e_TH51-500,ep_gas_gas_turbine_G100000404453,735.0,gas,Ratchaburi (RATCHGEN) power station_4 -- operating,e_TH51-500,TH51-500,13.5979,99.8841,False
e_TH51-500,ep_gas_gas_turbine_G100000404454,735.0,gas,Ratchaburi (RATCHGEN) power station_5 -- operating,e_TH51-500,TH51-500,13.5979,99.8841,False
e_TH52-230,ep_gas_TH52-230__ember,10.220915402199617,gas,Aggregated Plant -- operating,e_TH52-230,TH52-230,13.436668989661738,100.86455299066552,False
e_TH52-230,ep_gas_combined_cycle_G100000404484,120.0,gas,Bangpoo cogeneration power station_1-1 -- operating,e_TH52-230,TH52-230,13.533183,100.651384,False
e_TH52-230,ep_gas_combined_cycle_G100000404485,120.0,gas,Bangpoo cogeneration power station_2-1 -- operating,e_TH52-230,TH52-230,13.533183,100.651384,False
e_TH57-230,ep_gas_TH57-230__ember,59.6220065128311,gas,Aggregated Plant -- operating,e_TH57-230,TH57-230,13.464946353375385,99.84955678317107,False
e_TH57-230,ep_gas_combined_cycle_G100000404476,700.0,gas,Hin Kong power plant_1 -- operating,e_TH57-230,TH57-230,13.536,99.743,False
e_TH57-230,ep_gas_combined_cycle_G100000404477,700.0,gas,Hin Kong power plant_2 -- construction,e_TH57-230,TH57-230,13.536,99.743,False
e_TH67-230,ep_gas_TH67-230__ember,10.178328254690452,gas,Aggregated Plant -- operating,e_TH67-230,TH67-230,13.333766803720803,100.89374372506923,False
e_TH67-230,ep_gas_combined_cycle_TH67-230,239.0,gas,Aggregated Plant -- operating,e_TH67-230,TH67-230,12.984369198891022,100.90458339383838,False
e_TH69-230,ep_gas_TH69-230__ember,43.183367574293385,gas,Aggregated Plant -- operating,e_TH69-230,TH69-230,13.294458725992863,100.93148636492602,False
e_TH69-230,ep_gas_combined_cycle_G100000404436,140.0,gas,Laem Chabang power station_1 -- operating,e_TH69-230,TH69-230,13.0913,100.8943,False
e_TH69-230,ep_gas_combined_cycle_G100000404472,700.0,gas,Sriracha power station_1 -- operating,e_TH69-230,TH69-230,13.1128,100.9085,False
e_TH69-230,ep_gas_combined_cycle_TH69-230,174.0,gas,Aggregated Plant -- operating,e_TH69-230,TH69-230,12.937813642280203,100.9406414072525,False
e_TH71-500,ep_gas_TH71-500__ember,117.5405271252956,gas,Aggregated Plant -- operating,e_TH71-500,TH71-500,12.882016162266632,101.18266704059329,False
e_TH71-500,ep_gas_combined_cycle_G100000401094,625.0,gas,Chonburi Ng Project power station_1 -- operating,e_TH71-500,TH71-500,13.049968,101.193335,False
e_TH71-500,ep_gas_combined_cycle_G100000401095,625.0,gas,Chonburi Ng Project power station_2 -- operating,e_TH71-500,TH71-500,13.049968,101.193335,False
e_TH71-500,ep_gas_combined_cycle_G100000401096,625.0,gas,Chonburi Ng Project power station_3 -- operating,e_TH71-500,TH71-500,13.049968,101.193335,False
e_TH71-500,ep_gas_combined_cycle_G100000401097,625.0,gas,Chonburi Ng Project power station_4 -- operating,e_TH71-500,TH71-500,13.049968,101.193335,False
e_TH71-500,ep_gas_combined_cycle_G100000404494,130.0,gas,Gulf Tasit 3 & 4 power station_1 -- operating,e_TH71-500,TH71-500,13.064886,101.185198,False
e_TH71-500,ep_gas_combined_cycle_G100000404495,130.0,gas,Gulf Tasit 3 & 4 power station_2 -- operating,e_TH71-500,TH71-500,13.064886,101.185198,False
e_TH75-230,ep_gas_combined_cycle_TH75-230,80.0,gas,Aggregated Plant -- construction,e_TH75-230,TH75-230,12.674082341817867,100.75165330276441,False
e_TH76-230,ep_gas_TH76-230__ember,14.394455858097794,gas,Aggregated Plant -- operating,e_TH76-230,TH76-230,12.900904094289842,101.1499705191924,False
e_TH76-230,ep_gas_combined_cycle_G100000404420,226.0,gas,Global Power Synergy Central Utility Plant 1_1 -- operating,e_TH76-230,TH76-230,12.7014,101.1258,False
e_TH76-230,ep_gas_combined_cycle_TH76-230,112.0,gas,Aggregated Plant -- operating,e_TH76-230,TH76-230,12.54591407184163,101.09657013877651,False
e_TH77-500,ep_coal_subcritical_G100000106655,717.0,coal,Map Ta Phut BLCP power station_Unit 1 -- operating,e_TH77-500,TH77-500,12.6435,101.160536,False
e_TH77-500,ep_coal_subcritical_G100000106656,717.0,coal,Map Ta Phut BLCP power station_Unit 2 -- operating,e_TH77-500,TH77-500,12.6435,101.160536,False
e_TH81-230,ep_gas_TH81-230__ember,41.30953308389012,gas,Aggregated Plant -- operating,e_TH81-230,TH81-230,9.150857907348339,99.70435208562397,False
e_TH81-230,ep_gas_combined_cycle_G100000404431,970.0,gas,Khanom power station_CC4 -- operating,e_TH81-230,TH81-230,9.2357,99.8593,False
e_TH85-230,ep_windon_wind_230,10.0,windon,Aggregated Plant -- operating,e_TH85-230,TH85-230,8.419484527006807,99.94429774529651,False
e_w1364467990-230,ep_gas_combined_cycle_G100000404489,126.5,gas,Gulf NC power station_1 -- operating,e_w1364467990-230,way/1364467990-230,14.032236,101.710998,False
e_w1366689326-500,ep_gas_combined_cycle_G100000401098,625.0,gas,Rayong Gulf PD power station_1 -- operating,e_w1366689326-500,way/1366689326-500,12.950169,101.156081,False
e_w1366689326-500,ep_gas_combined_cycle_G100000401099,625.0,gas,Rayong Gulf PD power station_2 -- operating,e_w1366689326-500,way/1366689326-500,12.950169,101.156081,False
e_w1366689326-500,ep_gas_combined_cycle_G100000401100,625.0,gas,Rayong Gulf PD power station_3 -- operating,e_w1366689326-500,way/1366689326-500,12.950169,101.156081,False
e_w1366689326-500,ep_gas_combined_cycle_G100000401101,625.0,gas,Rayong Gulf PD power station_4 -- operating,e_w1366689326-500,way/1366689326-500,12.950169,101.156081,False
e_w1366689326-500,ep_gas_combined_cycle_G100000404405,123.0,gas,Amata (Rayong) power station_1 -- operating,e_w1366689326-500,way/1366689326-500,12.968022,101.118265,False
e_w1366689326-500,ep_gas_combined_cycle_G100000404406,124.0,gas,Amata (Rayong) power station_2 -- operating,e_w1366689326-500,way/1366689326-500,12.968022,101.118265,False
e_w1366689326-500,ep_gas_combined_cycle_G100000404407,133.0,gas,Amata (Rayong) power station_3 -- operating,e_w1366689326-500,way/1366689326-500,12.968022,101.118265,False
e_w1366689326-500,ep_gas_combined_cycle_G100000404408,133.0,gas,Amata (Rayong) power station_4 -- operating,e_w1366689326-500,way/1366689326-500,12.968022,101.118265,False
e_w1366689326-500,ep_gas_combined_cycle_G100000404409,133.0,gas,Amata (Rayong) power station_5 -- operating,e_w1366689326-500,way/1366689326-500,12.968022,101.118265,False
e_w1366689326-500,ep_gas_combined_cycle_G100000404425,162.0,gas,Glow SPP 11 power station_1-1 -- operating,e_w1366689326-500,way/1366689326-500,13.0074,101.137,False
e_w1366689326-500,ep_gas_combined_cycle_w1366689326-500,110.0,gas,Aggregated Plant -- operating,e_w1366689326-500,way/1366689326-500,13.134679625174863,101.18696009144034,False
e_w1366689326-500,ep_gas_w1366689326-500__ember,145.56287018632622,gas,Aggregated Plant - EMBER Gap - way/1366689326-500_Missing Gas Capacity -- operating,e_w1366689326-500,way/1366689326-500,12.782059315457102,101.19806706474088,False
e_w155847885-230,ep_gas_combined_cycle_G100000404492,138.3,gas,Gulf Tasit 1 & 2 power station_1 -- operating,e_w155847885-230,way/155847885-230,13.017385,101.192733,False
e_w155847885-230,ep_gas_combined_cycle_G100000404493,138.3,gas,Gulf Tasit 1 & 2 power station_2 -- operating,e_w155847885-230,way/155847885-230,13.017385,101.192733,False
e_w155847885-230,ep_gas_combined_cycle_G100000404496,137.0,gas,Gulf VTP power station_1 -- operating,e_w155847885-230,way/155847885-230,13.003965,101.172476,False
e_w155847885-230,ep_gas_w155847885-230__ember,17.614044209790674,gas,Aggregated Plant -- operating,e_w155847885-230,way/155847885-230,12.846025027736122,101.1121973566768,False
e_w155851424-500,ep_gas_combined_cycle_G100000404417,710.0,gas,Bang Pakong power station_CC5 -- operating,e_w155851424-500,way/155851424-500,13.501,101.0253,False
e_w155851424-500,ep_gas_combined_cycle_G100000405963,704.0,gas,Bang Pakong power station_CC1 -- operating,e_w155851424-500,way/155851424-500,13.501,101.0253,False
e_w155851424-500,ep_gas_combined_cycle_G100000405964,704.0,gas,Bang Pakong power station_CC2 -- operating,e_w155851424-500,way/155851424-500,13.501,101.0253,False
e_w155851424-500,ep_gas_steam_turbine_G100000404413,576.0,gas,Bang Pakong power station_ST3 -- operating,e_w155851424-500,way/155851424-500,13.501,101.0253,False
e_w155851424-500,ep_gas_steam_turbine_G100000404414,576.0,gas,Bang Pakong power station_ST4 -- operating,e_w155851424-500,way/155851424-500,13.501,101.0253,False
e_w155851424-500,ep_gas_w155851424-500__ember,139.2599723549698,gas,Aggregated Plant - EMBER Gap - way/155851424-500_Missing Gas Capacity -- operating,e_w155851424-500,way/155851424-500,13.488998274912884,101.16135241967258,False
e_w199773788-230,ep_coal_subcritical_w199773788-230,34.0,coal,Aggregated Plant -- operating,e_w199773788-230,way/199773788-230,14.03077290323063,99.83974804044074,False
e_w199773788-230,ep_gas_combined_cycle_G100000404433,128.0,gas,Banpong power station_1 -- operating,e_w199773788-230,way/199773788-230,13.858877,99.855819,False
e_w199773788-230,ep_gas_combined_cycle_G100000405840,128.0,gas,Banpong power station_2 -- operating,e_w199773788-230,way/199773788-230,13.858877,99.855819,False
e_w199773788-230,ep_gas_w199773788-230__ember,10.90230976234626,gas,Aggregated Plant -- operating,e_w199773788-230,way/199773788-230,13.67516167831399,99.83977426565453,False
e_w199806286-230,ep_coal_subcritical_w199806286-230,36.0,coal,Aggregated Plant -- operating,e_w199806286-230,way/199806286-230,13.991511410798536,100.52827040309442,False
e_w199806286-230,ep_gas_combined_cycle_G100000404448,670.0,gas,North Bangkok power station_1 -- operating,e_w199806286-230,way/199806286-230,13.8129,100.5092,False
e_w199806286-230,ep_gas_combined_cycle_G100000404449,828.0,gas,North Bangkok power station_2 -- operating,e_w199806286-230,way/199806286-230,13.8129,100.5092,False
e_w199806286-230,ep_gas_w199806286-230__ember,123.41755348156038,gas,Aggregated Plant - EMBER Gap - way/199806286-230_Missing Gas Capacity -- operating,e_w199806286-230,way/199806286-230,13.632909204384674,100.49273384959277,False
e_w223601302-500,ep_gas_combined_cycle_G100000404503,120.0,gas,Lat Krabang power station_1 -- operating,e_w223601302-500,way/223601302-500,13.759803,100.789088,False
e_w238578822-230,ep_hydro_dam_G100000603602,84.0,hydro,Bang Lang hydroelectric plant_ -- operating,e_w238578822-230,way/238578822-230,6.1709,101.3159,False
e_w239587274-230,ep_hydro_dam_G100000603607,240.0,hydro,Rajjaprabha hydroelectric plant_ -- operating,e_w239587274-230,way/239587274-230,8.973,98.8066,False
e_w247878196-230,ep_bioenergy_G100000200086,68.0,bioenergy,Mitr Kalasin power station_1 -- operating,e_w247878196-230,way/247878196-230,16.4658,104.0381,False
e_w247878196-230,ep_bioenergy_w247878196-230__ember,279.06697459584296,bioenergy,Aggregated Plant - EMBER Gap - way/247878196-230_Missing Bioenergy Capacity -- operating,e_w247878196-230,way/247878196-230,16.18200780710617,103.51812241535494,False
e_w26120059-230,ep_gas_combined_cycle_G100000404470,710.0,gas,South Bangkok power station_CC3 -- operating,e_w26120059-230,way/26120059-230,13.617,100.559,False
e_w26120059-230,ep_gas_combined_cycle_G100000404471,1220.0,gas,South Bangkok power station_CC4 -- operating,e_w26120059-230,way/26120059-230,13.617,100.559,False
e_w26120059-230,ep_gas_w26120059-230__ember,171.62620446193523,gas,Aggregated Plant - EMBER Gap - way/26120059-230_Missing Gas Capacity -- operating,e_w26120059-230,way/26120059-230,13.505081254367553,100.37839072001643,False
e_w261489769-500,ep_gas_combined_cycle_G100000404440,140.0,gas,Ratchaburi (B.Grimm) power station_1 -- operating,e_w261489769-500,way/261489769-500,13.547204,99.338006,False
e_w261489769-500,ep_gas_combined_cycle_G100000404441,140.0,gas,Ratchaburi (B.Grimm) power station_2 -- operating,e_w261489769-500,way/261489769-500,13.547204,99.338006,False
e_w261489769-500,ep_gas_combined_cycle_w261489769-500,99.0,gas,Aggregated Plant -- operating,e_w261489769-500,way/261489769-500,13.998246181142521,99.65435477498505,False
e_w261489769-500,ep_gas_w261489769-500__ember,16.14052890597356,gas,Aggregated Plant -- operating,e_w261489769-500,way/261489769-500,13.711931183708948,100.01922871363742,False
e_w262815047-230,ep_hydro_dam_G100000603609,360.0,hydro,Srinagarind hydroelectric plant_ -- operating,e_w262815047-230,way/262815047-230,14.4075,99.1261,False
e_w27828836-230,ep_gas_combined_cycle_w27828836-230,230.0,gas,Aggregated Plant -- operating,e_w27828836-230,way/27828836-230,14.063897575904358,100.42318176591368,False
e_w27828836-500,ep_gas_combined_cycle_G100000404432,122.0,gas,Klong Luang power station_1 -- operating,e_w27828836-500,way/27828836-500,14.022191,100.614683,False
e_w293324904-500,ep_coal_subcritical_G100000106547,300.0,coal,Mae Moh power station_Unit 10 -- operating,e_w293324904-500,way/293324904-500,18.296,99.752,False
e_w293324904-500,ep_coal_subcritical_G100000106548,300.0,coal,Mae Moh power station_Unit 11 -- operating,e_w293324904-500,way/293324904-500,18.296,99.752,False
e_w293324904-500,ep_coal_subcritical_G100000106549,300.0,coal,Mae Moh power station_Unit 12 -- operating,e_w293324904-500,way/293324904-500,18.296,99.752,False
e_w293324904-500,ep_coal_subcritical_G100000106550,300.0,coal,Mae Moh power station_Unit 13 -- operating,e_w293324904-500,way/293324904-500,18.296,99.752,False
e_w293324904-500,ep_coal_subcritical_G100000106551,150.0,coal,Mae Moh power station_Unit 4 -- operating,e_w293324904-500,way/293324904-500,18.296,99.752,False
e_w293324904-500,ep_coal_subcritical_G100000106555,300.0,coal,Mae Moh power station_Unit 8 -- operating,e_w293324904-500,way/293324904-500,18.296,99.752,False
e_w293324904-500,ep_coal_subcritical_G100000106556,300.0,coal,Mae Moh power station_Unit 9 -- operating,e_w293324904-500,way/293324904-500,18.296,99.752,False
e_w293324904-500,ep_coal_ultra-supercritical_G100000106557,655.0,coal,Mae Moh power station_Units 4-7 replacement -- operating,e_w293324904-500,way/293324904-500,18.296,99.752,False
e_w295988731-230,ep_gas_combined_cycle_G100000404418,710.0,gas,Chana power station_1 -- operating,e_w295988731-230,way/295988731-230,6.9553,100.7076,False
e_w295988731-230,ep_gas_combined_cycle_G100000404419,766.0,gas,Chana power station_2 -- operating,e_w295988731-230,way/295988731-230,6.9553,100.7076,False
e_w295988731-230,ep_gas_w295988731-230__ember,62.858629723527656,gas,Aggregated Plant -- operating,e_w295988731-230,way/295988731-230,6.892554750190226,100.63826633960085,False
e_w296560688-230,ep_gas_combined_cycle_G100000404490,123.0,gas,Gulf NLL power station_1 -- operating,e_w296560688-230,way/296560688-230,12.825592,101.248684,False
e_w296560688-230,ep_gas_combined_cycle_G100000404491,127.0,gas,Gulf NLL power station_2 -- operating,e_w296560688-230,way/296560688-230,12.825592,101.248684,False
e_w296560688-230,ep_gas_combined_cycle_G100000404505,160.0,gas,Rayong Sipco power station_1 -- operating,e_w296560688-230,way/296560688-230,12.790557,101.24586,False
e_w296560688-230,ep_gas_combined_cycle_w296560688-230,209.00000000000003,gas,Aggregated Plant -- operating,e_w296560688-230,way/296560688-230,12.961831064641096,101.2029603660647,False
e_w296560688-230,ep_gas_w296560688-230__ember,26.361444308173184,gas,Aggregated Plant -- operating,e_w296560688-230,way/296560688-230,12.610724811866351,101.2155867662392,False
e_w381823390-230,ep_gas_combined_cycle_G100000404483,750.0,gas,Wang Noi power station_4 -- operating,e_w381823390-230,way/381823390-230,14.2324,100.7805,False
e_w381823390-230,ep_gas_w381823390-230__ember,31.940360631873805,gas,Aggregated Plant -- operating,e_w381823390-230,way/381823390-230,14.21524474548778,100.95461935318784,False
e_w381823435-230,ep_gas_combined_cycle_G100000404427,734.0,gas,Kaeng Khoi 2 power station_1 -- operating,e_w381823435-230,way/381823435-230,14.605,101.0259,False
e_w381823435-230,ep_gas_combined_cycle_G100000404428,734.0,gas,Kaeng Khoi 2 power station_2 -- operating,e_w381823435-230,way/381823435-230,14.605,101.0259,False
e_w381823435-230,ep_gas_combined_cycle_w381823435-230,114.0,gas,Aggregated Plant -- operating,e_w381823435-230,way/381823435-230,14.783322768575411,101.01300142797555,False
e_w381823435-230,ep_gas_w381823435-230__ember,67.37286735949914,gas,Aggregated Plant -- operating,e_w381823435-230,way/381823435-230,14.42446607063912,101.00543777157459,False
e_w403466241-230,ep_gas_combined_cycle_G100000410590,120.0,gas,Siam Pure Rice Combined Cycle power station_1 -- operating,e_w403466241-230,way/403466241-230,14.849078,100.444793,False
