comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_gas__ember,3.0000000000001137,gas,Aggregated Plant -- operating,,,,,False
ELC,ep_hydro__irena,2.2,hydro,Aggregated Plant -- operating,,,,,False
e_TM15-220,ep_gas_gas_turbine_G100000411939,70.0,gas,Turkmenbashi oil processing complex power station_2 -- operating,e_TM15-220,TM15-220,40.02169,52.96461,False
e_TM15-220,ep_gas_gas_turbine_G100000411940,70.0,gas,Turkmenbashi oil processing complex power station_1 -- operating,e_TM15-220,TM15-220,40.02169,52.96461,False
e_TM16-220,ep_gas_gas_turbine_G100000407705,127.0,gas,Avazin power station_2 -- operating,e_TM16-220,TM16-220,40.011028,52.845721,False
e_TM16-220,ep_gas_gas_turbine_G100000407706,127.0,gas,Avazin power station_1 -- operating,e_TM16-220,TM16-220,40.011028,52.845721,False
e_TM17-220,ep_gas_steam_turbine_G100000407676,210.0,gas,Turkmenbashi CHP power station_5 -- operating,e_TM17-220,TM17-220,40.009874,52.927035,False
e_TM17-220,ep_gas_steam_turbine_G100000407677,210.0,gas,Turkmenbashi CHP power station_4 -- operating,e_TM17-220,TM17-220,40.009874,52.927035,False
e_TM33-220,ep_gas_combined_cycle_G100000411941,787.0,gas,Balkan power station_CC1 -- construction,e_TM33-220,TM33-220,39.83555,54.85227,False
e_TM33-220,ep_gas_combined_cycle_G100001005119,787.0,gas,Balkan power station_CC2 -- construction,e_TM33-220,TM33-220,39.83555,54.85227,False
e_TM33-220,ep_gas_gas_turbine_G100000407702,127.0,gas,Balkanabad power station_3-2 -- operating,e_TM33-220,TM33-220,39.5105,54.3273,False
e_TM33-220,ep_gas_gas_turbine_G100000407703,127.0,gas,Balkanabad power station_3-1 -- operating,e_TM33-220,TM33-220,39.5105,54.3273,False
e_TM35-500,ep_gas_steam_turbine_G100000407681,80.0,gas,Seydi CHP power station_2 -- operating,e_TM35-500,TM35-500,39.4294,62.855,False
e_TM35-500,ep_gas_steam_turbine_G100000407682,80.0,gas,Seydi CHP power station_1 -- operating,e_TM35-500,TM35-500,39.4294,62.855,False
e_TM46-220,ep_gas_gas_turbine_G100000407670,50.0,gas,Lebap power station_3 -- operating,e_TM46-220,TM46-220,38.9763077,63.4660952,False
