comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_gas__ember,4.000000000001336,gas,Aggregated Plant -- operating,,,,,False
e_TW13-345,ep_coal_subcritical_G100000113102,49.0,coal,Miaoli Petrochemical power station_Unit 1 -- operating,e_TW13-345,TW13-345,24.5932386,120.8179175,False
e_TW13-345,ep_gas_combined_cycle_G100000406176,386.0,gas,Tunghsiao power station_4 -- operating,e_TW13-345,TW13-345,24.490013,120.673505,False
e_TW13-345,ep_gas_combined_cycle_G100000406177,386.0,gas,Tunghsiao power station_5 -- operating,e_TW13-345,TW13-345,24.490013,120.673505,False
e_TW13-345,ep_gas_combined_cycle_G100000406178,320.0,gas,Tunghsiao power station_6 -- operating,e_TW13-345,TW13-345,24.490013,120.673505,False
e_TW13-345,ep_gas_combined_cycle_G100000406179,893.0,gas,Tunghsiao power station_New 1 -- operating,e_TW13-345,TW13-345,24.490013,120.673505,False
e_TW13-345,ep_gas_combined_cycle_G100000406180,893.0,gas,Tunghsiao power station_New 2 -- operating,e_TW13-345,TW13-345,24.490013,120.673505,False
e_TW13-345,ep_gas_combined_cycle_G100000406181,893.0,gas,Tunghsiao power station_New 3 -- operating,e_TW13-345,TW13-345,24.490013,120.673505,False
e_TW13-345,ep_gas_gas_turbine_G100000410605,180.0,gas,Tunghsiao power station_Expansion 1 -- operating,e_TW13-345,TW13-345,24.490013,120.673505,False
e_TW14-345,ep_hydro_dam_G100000603581,80.0,hydro,Zhuolan hydroelectric plant_ -- operating,e_TW14-345,TW14-345,24.3498,120.8812,False
e_TW16-345,ep_coal_subcritical_G100000103902,660.0,coal,Ho-Ping power station_Unit 1 -- operating,e_TW16-345,TW16-345,24.307782,121.76346,False
e_TW16-345,ep_coal_subcritical_G100000103903,660.0,coal,Ho-Ping power station_Unit 2 -- operating,e_TW16-345,TW16-345,24.307782,121.76346,False
e_TW16-345,ep_hydro_dam_G100001030560,61.0,hydro,Bihai hydroelectric plant_ -- operating,e_TW16-345,TW16-345,24.3353,121.6762,False
