comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_gas__ember,19.10000000000167,gas,Aggregated Plant - EMBER Gap_Missing Gas Capacity -- operating,,,,,False
e_UA28-330,ep_gas_steam_turbine_G100000410803,105.0,gas,Kremenchuk CHP power station_4 -- operating,e_UA28-330,UA28-330,49.17079,33.447371,False
e_UA28-330,ep_gas_steam_turbine_G100000410804,50.0,gas,Kremenchuk CHP power station_3 -- operating,e_UA28-330,UA28-330,49.17079,33.447371,False
e_UA28-330,ep_gas_steam_turbine_G100000410805,50.0,gas,Kremenchuk CHP power station_2 -- operating,e_UA28-330,UA28-330,49.17079,33.447371,False
e_UA28-330,ep_gas_steam_turbine_G100000410806,50.0,gas,Kremenchuk CHP power station_1 -- operating,e_UA28-330,UA28-330,49.17079,33.447371,False
e_r6674938-330,ep_bioenergy_r6674938-330__ember,125.58139534883722,bioenergy,Aggregated Plant - EMBER Gap - relation/6674938-330_Missing Bioenergy Capacity -- operating,e_r6674938-330,relation/6674938-330,50.20241740711844,30.75630026806808,False
e_r6674938-330,ep_coal_r6674938-330__ember,12.313863123589872,coal,Aggregated Plant - EMBER Gap - relation/6674938-330_Missing Coal Capacity -- operating,e_r6674938-330,relation/6674938-330,50.33164611274633,30.30354869988751,False
e_r6674938-330,ep_coal_subcritical_G100000101989,50.0,coal,Darnytska power station_Unit 5 -- operating,e_r6674938-330,relation/6674938-330,50.447771,30.642949,False
e_r6674938-330,ep_coal_subcritical_G100000101990,50.0,coal,Darnytska power station_Unit 6 -- operating,e_r6674938-330,relation/6674938-330,50.447771,30.642949,False
e_r6674938-330,ep_coal_subcritical_G100000101991,60.0,coal,Darnytska power station_Unit 7 -- operating,e_r6674938-330,relation/6674938-330,50.447771,30.642949,False
e_r6674938-330,ep_gas_steam_turbine_G100000406977,100.0,gas,Kyiv CHP-5 power station_1 -- operating,e_r6674938-330,relation/6674938-330,50.39317,30.569477,False
e_r6674938-330,ep_gas_steam_turbine_G100000409636,250.0,gas,Kyiv CHP-5 power station_4 -- operating,e_r6674938-330,relation/6674938-330,50.39317,30.569477,False
e_r6674938-330,ep_gas_steam_turbine_G100000409637,250.0,gas,Kyiv CHP-5 power station_3 -- operating,e_r6674938-330,relation/6674938-330,50.39317,30.569477,False
e_r6674938-330,ep_gas_steam_turbine_G100000409638,100.0,gas,Kyiv CHP-5 power station_2 -- operating,e_r6674938-330,relation/6674938-330,50.39317,30.569477,False
e_r9224222-400,ep_coal_r9224222-400__ember,191.32664828277768,coal,Aggregated Plant - EMBER Gap - relation/9224222-400_Missing Coal Capacity -- operating,e_r9224222-400,relation/9224222-400,49.286227247565485,24.489210328315558,False
e_r9224222-400,ep_m_coal_subcritical_G100000101122,195.0,coal,Burshtyn power station_Unit 1 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101123,210.0,coal,Burshtyn power station_Unit 10 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101124,195.0,coal,Burshtyn power station_Unit 11 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101125,195.0,coal,Burshtyn power station_Unit 12 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101126,185.0,coal,Burshtyn power station_Unit 2 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101127,185.0,coal,Burshtyn power station_Unit 3 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101128,195.0,coal,Burshtyn power station_Unit 4 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101129,215.0,coal,Burshtyn power station_Unit 5 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101130,195.0,coal,Burshtyn power station_Unit 6 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101131,206.0,coal,Burshtyn power station_Unit 7 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101132,195.0,coal,Burshtyn power station_Unit 8 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9224222-400,ep_m_coal_subcritical_G100000101133,195.0,coal,Burshtyn power station_Unit 9 -- mothballed,e_r9224222-400,relation/9224222-400,49.208629,24.666037,False
e_r9241264-330,ep_hydro_dam_G100000603728,700.0,hydro,Kremenchuk hydroelectric plant_ -- operating,e_r9241264-330,relation/9241264-330,49.0748,33.2531,False
e_r9354587-330,ep_gas_steam_turbine_G100000406976,250.0,gas,Kyiv CHP-6 power station_1 -- operating,e_r9354587-330,relation/9354587-330,50.531699,30.662307,False
e_r9354587-330,ep_gas_steam_turbine_G100000409643,250.0,gas,Kyiv CHP-6 power station_2 -- operating,e_r9354587-330,relation/9354587-330,50.531699,30.662307,False
e_r9995295-330,ep_hydro_dam_G100000603718,651.0,hydro,Dnipro-1 hydroelectric plant_ -- operating,e_r9995295-330,relation/9995295-330,47.8675,35.0897,False
e_r9995295-330,ep_hydro_dam_G100000603719,888.0,hydro,Dnipro-2 hydroelectric plant_ -- operating,e_r9995295-330,relation/9995295-330,47.8675,35.0897,False
e_r9995295-330,ep_hydro_r9995295-330__irena,13.984552476147218,hydro,Aggregated Plant - IRENA Gap - relation/9995295-330_Missing Hydro Capacity -- operating,e_r9995295-330,relation/9995295-330,47.710204745553504,35.12209125481652,False
e_w1040827524-750,ep_nuclear_G100000500215,1000.0,nuclear,Khmelnitski nuclear power plant_1 -- operating,e_w1040827524-750,way/1040827524-750,50.3024,26.6473,False
e_w1040827524-750,ep_nuclear_G100000500216,1000.0,nuclear,Khmelnitski nuclear power plant_2 -- operating,e_w1040827524-750,way/1040827524-750,50.3024,26.6473,False
e_w107808612-330,ep_nuclear_G100000500537,1000.0,nuclear,South Ukraine nuclear power plant_1 -- operating,e_w107808612-330,way/107808612-330,47.81201,31.2201,False
e_w107808612-330,ep_nuclear_G100000500538,1000.0,nuclear,South Ukraine nuclear power plant_2 -- operating,e_w107808612-330,way/107808612-330,47.81201,31.2201,False
e_w107808612-330,ep_nuclear_G100000500619,1000.0,nuclear,South Ukraine nuclear power plant_3 -- operating,e_w107808612-330,way/107808612-330,47.81201,31.2201,False
e_w114311420-220,ep_m_gas_internal_combustion_G100000412971,72.0,gas,Zasyadko mines power station_1-24 -- mothballed,e_w114311420-220,way/114311420-220,48.07055,37.804709,False
