comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_gas__ember,21.20000000000033,gas,Aggregated Plant - EMBER Gap_Missing Gas Capacity -- operating,,,,,False
e_UZ128-220,ep_hydro_UZ128-220__irena,37.53367579908674,hydro,Aggregated Plant - IRENA Gap - UZ128-220_Missing Hydro Capacity -- operating,e_UZ128-220,UZ128-220,40.61533275447554,73.04155094951916,False
e_UZ128-220,ep_hydro_dam_G100000604011,140.0,hydro,Andijan-1 hydroelectric plant_ -- operating,e_UZ128-220,UZ128-220,40.7702,73.0626,False
e_UZ128-220,ep_hydro_dam_G100001051780,50.0,hydro,Andijan hydroelectric plant_ -- operating,e_UZ128-220,UZ128-220,40.7688,73.0625,False
e_UZ144-220,ep_gas_steam_turbine_G100000407377,55.0,gas,Fergana power station_6 -- operating,e_UZ144-220,UZ144-220,40.449089,71.781868,False
e_UZ144-220,ep_gas_steam_turbine_G100000407378,50.0,gas,Fergana power station_5 -- operating,e_UZ144-220,UZ144-220,40.449089,71.781868,False
e_UZ144-220,ep_gas_steam_turbine_G100000407379,60.0,gas,Fergana power station_4 -- operating,e_UZ144-220,UZ144-220,40.449089,71.781868,False
e_UZ144-220,ep_gas_steam_turbine_G100000407380,60.0,gas,Fergana power station_3 -- operating,e_UZ144-220,UZ144-220,40.449089,71.781868,False
e_UZ144-220,ep_gas_steam_turbine_G100000407381,55.0,gas,Fergana power station_7 -- operating,e_UZ144-220,UZ144-220,40.449089,71.781868,False
e_UZ144-220,ep_gas_steam_turbine_G100001030377,100.0,gas,Fergana power station_3R -- construction,e_UZ144-220,UZ144-220,40.449089,71.781868,False
e_UZ165-220,ep_gas_internal_combustion_G100000409724,220.0,gas,Cengiz Energji Sirdaryo power station_1 -- operating,e_UZ165-220,UZ165-220,40.284821,68.834222,False
e_UZ167-500,ep_gas_combined_cycle_G100000407423,1573.0,gas,Syrdarya II power station_1 -- construction,e_UZ167-500,UZ167-500,40.242115,69.10543,False
e_UZ185-220,ep_gas_combined_cycle_G100000411938,550.0,gas,Cengiz Enerji Jizzakh CHP power station_1 -- construction,e_UZ185-220,UZ185-220,40.092026,67.943349,False
e_UZ210-220,ep_gas_internal_combustion_G100000407372,270.0,gas,Bukhara power station_1 -- operating,e_UZ210-220,UZ210-220,39.766944,64.311967,False
e_UZ262-220,ep_hydro_dam_G100001051781,45.0,hydro,Gissarak hydroelectric plant_ -- operating,e_UZ262-220,UZ262-220,39.0095,66.4582,False
e_UZ280-220,ep_hydro_UZ280-220__irena,34.57049086757989,hydro,Aggregated Plant - IRENA Gap - UZ280-220_Missing Hydro Capacity -- operating,e_UZ280-220,UZ280-220,38.382148924327424,67.67683452914572,False
e_UZ280-220,ep_hydro_dam_G100000604890,175.0,hydro,Topalang hydroelectric plant_ -- operating,e_UZ280-220,UZ280-220,38.5786,67.8008,False
e_UZ318-220,ep_gas_internal_combustion_G100000414335,430.0,gas,Talimercan Combined Cycle Power Plant_1 -- construction,e_UZ318-220,UZ318-220,38.291567,65.558531,False
e_UZ334-220,ep_gas_combined_cycle_G100000407376,1600.0,gas,Surkhandarya power station_CC1 -- construction,e_UZ334-220,UZ334-220,37.376786,67.252094,False
e_UZ47-220,ep_hydro_UZ47-220__irena,25.68093607305935,hydro,Aggregated Plant - IRENA Gap - UZ47-220_Missing Hydro Capacity -- operating,e_UZ47-220,UZ47-220,41.484011239211995,69.55256669232902,False
e_UZ47-220,ep_hydro_ror_G100001027569,70.0,hydro,Tavak hydroelectric plant_ -- operating,e_UZ47-220,UZ47-220,41.5542,69.6811,False
e_UZ48-220,ep_gas_combined_cycle_G100000407384,240.0,gas,Cengiz Enerji Tashkent power station_1 -- operating,e_UZ48-220,UZ48-220,41.449351,69.503407,False
e_UZ69-220,ep_hydro_UZ69-220__irena,29.63184931506848,hydro,Aggregated Plant - IRENA Gap - UZ69-220_Missing Hydro Capacity -- operating,e_UZ69-220,UZ69-220,41.002392284916745,61.60423877335513,False
e_UZ69-220,ep_hydro_dam_G100000604147,150.0,hydro,Tuyamuyun hydroelectric plant_ -- operating,e_UZ69-220,UZ69-220,41.2132,61.4054,False
e_UZ94-220,ep_coal_subcritical_G100000100203,52.0,coal,Angren power station_Unit 1 -- operating,e_UZ94-220,UZ94-220,41.004897,70.122799,False
e_UZ94-220,ep_coal_subcritical_G100000100204,55.0,coal,Angren power station_Unit 2 -- operating,e_UZ94-220,UZ94-220,41.004897,70.122799,False
e_UZ94-220,ep_coal_subcritical_G100000100207,68.0,coal,Angren power station_Unit 5 -- operating,e_UZ94-220,UZ94-220,41.004897,70.122799,False
e_UZ94-220,ep_coal_subcritical_G100000100208,68.0,coal,Angren power station_Unit 6 -- operating,e_UZ94-220,UZ94-220,41.004897,70.122799,False
e_UZ94-220,ep_coal_subcritical_G100000100211,150.0,coal,Angren power station_Unit 9 -- operating,e_UZ94-220,UZ94-220,41.004897,70.122799,False
