comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_coal__ember,3.0000000000001137,coal,Aggregated Plant -- operating,,,,,False
ELC,ep_gas__ember,3.9999999999995595,gas,Aggregated Plant -- operating,,,,,False
e_VN1008-500,ep_solar_pv_500,43.2,solar,Aggregated Plant -- operating,e_VN1008-500,VN1008-500,11.367660685323173,108.8876722349413,False
e_VN1010-500,ep_solar_pv_500,89.0,solar,Aggregated Plant -- operating,e_VN1010-500,VN1010-500,11.266180089751968,108.78332593072612,False
e_VN1013-220,ep_hydro_VN1013-220__irena,138.3982487922705,hydro,Aggregated Plant - IRENA Gap - VN1013-220_Missing Hydro Capacity -- operating,e_VN1013-220,VN1013-220,11.325414102657556,107.70085405523017,False
e_VN1013-220,ep_hydro_dam_G100000604044,175.0,hydro,Da Mi hydroelectric plant_ -- operating,e_VN1013-220,VN1013-220,11.3261,107.9336,False
e_VN1013-220,ep_hydro_dam_G100000604057,300.0,hydro,Ham Thuan hydroelectric plant_ -- operating,e_VN1013-220,VN1013-220,11.336,107.9349,False
e_VN1014-500,ep_solar_pv_500,93.0,solar,Aggregated Plant -- operating,e_VN1014-500,VN1014-500,11.272496480445996,108.68104769020083,False
e_VN1015-500,ep_solar_pv_500,1.2,solar,Aggregated Plant -- operating,e_VN1015-500,VN1015-500,11.358605511009864,108.3703137350659,False
e_VN1020-500,ep_solar_pv_500,43.6,solar,Aggregated Plant -- operating,e_VN1020-500,VN1020-500,11.35387451456772,108.73691408653256,False
e_VN1022-500,ep_solar_pv_500,1.4,solar,Aggregated Plant -- operating,e_VN1022-500,VN1022-500,11.208881993620842,108.54267696601235,False
e_VN1023-500,ep_solar_pv_500,6.9,solar,Aggregated Plant -- operating,e_VN1023-500,VN1023-500,11.09764552301271,108.50485689637922,False
e_VN1025-500,ep_solar_pv_500,1.6,solar,Aggregated Plant -- operating,e_VN1025-500,VN1025-500,11.268892341141509,108.3555826319253,False
e_VN1054-500,ep_bioenergy_VN1054-500,30.0,bioenergy,Aggregated Plant -- construction,e_VN1054-500,VN1054-500,11.23720377473796,106.98636408516685,False
e_VN1054-500,ep_bioenergy_VN1054-500__ember,69.51219512195121,bioenergy,Aggregated Plant - EMBER Gap - VN1054-500_Missing Bioenergy Capacity -- operating,e_VN1054-500,VN1054-500,10.88704326909536,106.98309389333309,False
e_VN11-220,ep_hydro_VN11-220__irena,17.481884057971012,hydro,Aggregated Plant - IRENA Gap - VN11-220_Missing Hydro Capacity -- operating,e_VN11-220,VN11-220,22.141496697898322,104.51773468036413,False
e_VN11-220,ep_hydro_ror_G100001051655,60.0,hydro,Song Lo 6 hydroelectric plant_ -- operating,e_VN11-220,VN11-220,22.2948,104.9182,False
e_VN1137-500,ep_gas_gas_turbine_G100000404527,260.0,gas,Hiep Phuoc power station_1-4 -- construction,e_VN1137-500,VN1137-500,10.641677,106.745602,False
e_VN1137-500,ep_gas_gas_turbine_G100001021309,260.0,gas,Hiep Phuoc power station_1-5 -- construction,e_VN1137-500,VN1137-500,10.641677,106.745602,False
e_VN1137-500,ep_gas_gas_turbine_G100001021310,260.0,gas,Hiep Phuoc power station_1-6 -- construction,e_VN1137-500,VN1137-500,10.641677,106.745602,False
e_VN1137-500,ep_gas_steam_turbine_G100000404524,125.0,gas,Hiep Phuoc power station_1-1 -- operating,e_VN1137-500,VN1137-500,10.641677,106.745602,False
e_VN1137-500,ep_gas_steam_turbine_G100000404525,125.0,gas,Hiep Phuoc power station_1-2 -- operating,e_VN1137-500,VN1137-500,10.641677,106.745602,False
e_VN1137-500,ep_gas_steam_turbine_G100000404526,125.0,gas,Hiep Phuoc power station_1-3 -- operating,e_VN1137-500,VN1137-500,10.641677,106.745602,False
e_VN1140-500,ep_coal_subcritical_G100000110053,60.0,coal,Vedan Vietnam Cogeneration power station_-- -- operating,e_VN1140-500,VN1140-500,10.66075,107.02451,False
e_VN1157-220,ep_gas_combined_cycle_G100000404514,389.0,gas,Ba Ria power station_1 -- operating,e_VN1157-220,VN1157-220,10.489019,107.166468,False
e_VN1199-500,ep_gas_steam_turbine_G100000404529,330.0,gas,O Mon Power Complex_1-1 -- operating,e_VN1199-500,VN1199-500,10.134916,105.669325,False
e_VN1199-500,ep_gas_steam_turbine_G100000404530,330.0,gas,O Mon Power Complex_1-2 -- operating,e_VN1199-500,VN1199-500,10.134916,105.669325,False
e_VN1219-220,ep_coal_subcritical_G100000114158,50.0,coal,Hau Giang Lee & Man power station_Unit 1 -- operating,e_VN1219-220,VN1219-220,9.944849,105.874521,False
e_VN1219-220,ep_coal_subcritical_G100000114159,75.0,coal,Hau Giang Lee & Man power station_Unit 2 -- operating,e_VN1219-220,VN1219-220,9.944849,105.874521,False
e_VN1219-220,ep_coal_supercritical_G100000109514,600.0,coal,Song Hau Thermal Power Plant_Unit 1-1 -- operating,e_VN1219-220,VN1219-220,9.95266,105.86071,False
e_VN1219-220,ep_coal_supercritical_G100000109515,600.0,coal,Song Hau Thermal Power Plant_Unit 1-2 -- operating,e_VN1219-220,VN1219-220,9.95266,105.86071,False
e_VN1223-500,ep_coal_supercritical_G100000106395,600.0,coal,Long Phu Power Centre_Unit 1-1 -- construction,e_VN1223-500,VN1223-500,9.70894,106.08183,False
e_VN1223-500,ep_coal_supercritical_G100000106396,600.0,coal,Long Phu Power Centre_Unit 1-2 -- construction,e_VN1223-500,VN1223-500,9.70894,106.08183,False
e_VN1228-220,ep_windoff_wind_220,576.0000000000001,windoff,Aggregated Plant -- construction,e_VN1228-220,VN1228-220,9.42720972779054,106.35567705230004,False
e_VN141-500,ep_hydro_VN141-500__irena,19.23007246376811,hydro,Aggregated Plant - IRENA Gap - VN141-500_Missing Hydro Capacity -- operating,e_VN141-500,VN141-500,21.316109819211093,104.70400157559612,False
e_VN141-500,ep_hydro_ror_G100001051665,66.0,hydro,Suoi Sap 2A hydroelectric plant_ -- operating,e_VN141-500,VN141-500,21.2317,104.5044,False
e_VN167-220,ep_coal_CFB_G100000107153,110.0,coal,Na Duong power station_Phase 2 Unit 1 -- construction,e_VN167-220,VN167-220,21.6975,106.9765,False
e_VN167-220,ep_coal_CFB_G100000109506,110.0,coal,Son Dong power station_Unit 1 -- operating,e_VN167-220,VN167-220,21.179288,106.780143,False
e_VN167-220,ep_coal_CFB_G100000109507,110.0,coal,Son Dong power station_Unit 2 -- operating,e_VN167-220,VN167-220,21.179288,106.780143,False
e_VN167-220,ep_coal_subcritical_G100000107151,50.0,coal,Na Duong power station_Phase 1 Unit 1 -- operating,e_VN167-220,VN167-220,21.698111,106.975852,False
e_VN167-220,ep_coal_subcritical_G100000107152,50.0,coal,Na Duong power station_Phase 1 Unit 2 -- operating,e_VN167-220,VN167-220,21.698111,106.975852,False
e_VN187-500,ep_hydro_VN187-500__irena,437.0471014492753,hydro,Aggregated Plant - IRENA Gap - VN187-500_Missing Hydro Capacity -- operating,e_VN187-500,VN187-500,21.18460545885494,104.21097295221553,False
e_VN2-220,ep_hydro_VN2-220__irena,39.334239130434774,hydro,Aggregated Plant - IRENA Gap - VN2-220_Missing Hydro Capacity -- operating,e_VN2-220,VN2-220,22.435307112903004,104.07511366822314,False
e_VN2-220,ep_hydro_ror_G100001027573,84.0,hydro,Ngoi Phat hydroelectric plant_ -- operating,e_VN2-220,VN2-220,22.5546,103.7434,False
