comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_bioenergy__ember,260.0,bioenergy,Aggregated Plant - EMBER Gap_Missing Bioenergy Capacity -- operating,,,,,False
ELC,ep_gas__ember,5.0000000000001155,gas,Aggregated Plant -- operating,,,,,False
e_ZA14-400,ep_m_coal_subcritical_G100000108622,60.0,coal,Rooiwal power station_Unit 1 -- mothballed,e_ZA14-400,ZA14-400,-25.55501,28.237573,False
e_ZA14-400,ep_m_coal_subcritical_G100000108623,60.0,coal,Rooiwal power station_Unit 2 -- mothballed,e_ZA14-400,ZA14-400,-25.55501,28.237573,False
e_ZA14-400,ep_m_coal_subcritical_G100000108624,60.0,coal,Rooiwal power station_Unit 3 -- mothballed,e_ZA14-400,ZA14-400,-25.55501,28.237573,False
e_ZA14-400,ep_m_coal_subcritical_G100000108625,60.0,coal,Rooiwal power station_Unit 4 -- mothballed,e_ZA14-400,ZA14-400,-25.55501,28.237573,False
e_ZA14-400,ep_m_coal_subcritical_G100000108626,60.0,coal,Rooiwal power station_Unit 5 -- mothballed,e_ZA14-400,ZA14-400,-25.55501,28.237573,False
e_ZA18-400,ep_coal_supercritical_G100000106039,800.0,coal,Kusile power station_Unit 1 -- operating,e_ZA18-400,ZA18-400,-25.92007,28.924942,False
e_ZA18-400,ep_coal_supercritical_G100000106040,800.0,coal,Kusile power station_Unit 2 -- operating,e_ZA18-400,ZA18-400,-25.92007,28.924942,False
e_ZA18-400,ep_coal_supercritical_G100000106041,800.0,coal,Kusile power station_Unit 3 -- operating,e_ZA18-400,ZA18-400,-25.92007,28.924942,False
e_ZA18-400,ep_coal_supercritical_G100000106042,800.0,coal,Kusile power station_Unit 4 -- operating,e_ZA18-400,ZA18-400,-25.92007,28.924942,False
e_ZA18-400,ep_coal_supercritical_G100000106043,800.0,coal,Kusile power station_Unit 5 -- operating,e_ZA18-400,ZA18-400,-25.92007,28.924942,False
e_ZA18-400,ep_coal_supercritical_G100000106044,800.0,coal,Kusile power station_Unit 6 -- construction,e_ZA18-400,ZA18-400,-25.92007,28.924942,False
e_ZA22-400,ep_coal_subcritical_G100000105964,500.0,coal,Kriel power station_Unit 1 -- operating,e_ZA22-400,ZA22-400,-26.253937,29.178465,False
e_ZA22-400,ep_coal_subcritical_G100000105965,500.0,coal,Kriel power station_Unit 2 -- operating,e_ZA22-400,ZA22-400,-26.253937,29.178465,False
e_ZA22-400,ep_coal_subcritical_G100000105966,500.0,coal,Kriel power station_Unit 3 -- operating,e_ZA22-400,ZA22-400,-26.253937,29.178465,False
e_ZA22-400,ep_coal_subcritical_G100000105967,500.0,coal,Kriel power station_Unit 4 -- operating,e_ZA22-400,ZA22-400,-26.253937,29.178465,False
e_ZA22-400,ep_coal_subcritical_G100000105968,500.0,coal,Kriel power station_Unit 5 -- operating,e_ZA22-400,ZA22-400,-26.253937,29.178465,False
e_ZA22-400,ep_coal_subcritical_G100000105969,500.0,coal,Kriel power station_Unit 6 -- operating,e_ZA22-400,ZA22-400,-26.253937,29.178465,False
e_ZA26-400,ep_hydro_ps_G100000603352,1332.0,hydro,Ingula hydroelectric plant_ -- operating,e_ZA26-400,ZA26-400,-28.2809,29.588,False
e_r17287657-400,ep_oil_gas_turbine_G100000411349,57.0,oil,Port Rex power station_6 -- operating,e_r17287657-400,relation/17287657-400,-33.028021,27.881751,False
e_r17287657-400,ep_oil_gas_turbine_G100000411350,57.0,oil,Port Rex power station_5 -- operating,e_r17287657-400,relation/17287657-400,-33.028021,27.881751,False
e_r17287657-400,ep_oil_gas_turbine_G100000411351,57.0,oil,Port Rex power station_4 -- operating,e_r17287657-400,relation/17287657-400,-33.028021,27.881751,False
