comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
e_ZW1-330,ep_hydro_ZW1-330__irena,28.42144736842106,hydro,Aggregated Plant - IRENA Gap - ZW1-330_Missing Hydro Capacity -- operating,e_ZW1-330,ZW1-330,-15.591104689278042,32.620239213911745,False
e_ZW2-330,ep_coal_subcritical_G100000104802,120.0,coal,Hwange power station_Unit 1 -- operating,e_ZW2-330,ZW2-330,-18.3831971,26.4696382,False
e_ZW2-330,ep_coal_subcritical_G100000104803,120.0,coal,Hwange power station_Unit 2 -- operating,e_ZW2-330,ZW2-330,-18.3831971,26.4696382,False
e_ZW2-330,ep_coal_subcritical_G100000104804,120.0,coal,Hwange power station_Unit 3 -- operating,e_ZW2-330,ZW2-330,-18.3831971,26.4696382,False
e_ZW2-330,ep_coal_subcritical_G100000104805,120.0,coal,Hwange power station_Unit 4 -- operating,e_ZW2-330,ZW2-330,-18.3831971,26.4696382,False
e_ZW2-330,ep_coal_subcritical_G100000104806,220.0,coal,Hwange power station_Unit 5 -- operating,e_ZW2-330,ZW2-330,-18.3831971,26.4696382,False
e_ZW2-330,ep_coal_subcritical_G100000104807,220.0,coal,Hwange power station_Unit 6 -- operating,e_ZW2-330,ZW2-330,-18.3831971,26.4696382,False
e_ZW2-330,ep_coal_subcritical_G100000104808,335.0,coal,Hwange power station_Unit 7 -- operating,e_ZW2-330,ZW2-330,-18.3835,26.47,False
e_ZW2-330,ep_coal_subcritical_G100000104809,335.0,coal,Hwange power station_Unit 8 -- operating,e_ZW2-330,ZW2-330,-18.3835,26.47,False
e_ZW2-330,ep_coal_subcritical_G100000114859,50.0,coal,ZhongXin power station_Unit 1 -- operating,e_ZW2-330,ZW2-330,-18.328292,26.404754,False
e_ZW2-330,ep_coal_subcritical_G100000114860,135.0,coal,ZhongXin power station_Unit 2 -- construction,e_ZW2-330,ZW2-330,-18.328292,26.404754,False
e_ZW2-330,ep_coal_subcritical_G100000114861,135.0,coal,ZhongXin power station_Unit 3 -- construction,e_ZW2-330,ZW2-330,-18.328292,26.404754,False
e_ZW2-330,ep_hydro_ZW2-330__irena,28.42144736842106,hydro,Aggregated Plant - IRENA Gap - ZW2-330_Missing Hydro Capacity -- operating,e_ZW2-330,ZW2-330,-18.20465454439909,26.502309096708228,False
e_ZW3-330,ep_hydro_ZW3-330__irena,28.42144736842106,hydro,Aggregated Plant - IRENA Gap - ZW3-330_Missing Hydro Capacity -- operating,e_ZW3-330,ZW3-330,-18.821823948971872,29.757584605461712,False
e_ZW4-330,ep_hydro_ZW4-330__irena,28.42144736842106,hydro,Aggregated Plant - IRENA Gap - ZW4-330_Missing Hydro Capacity -- operating,e_ZW4-330,ZW4-330,-19.517274062625585,28.44239050181138,False
e_ZW5-220,ep_hydro_ZW5-220__irena,198.9501315789474,hydro,Aggregated Plant - IRENA Gap - ZW5-220_Missing Hydro Capacity -- operating,e_ZW5-220,ZW5-220,-20.632591468332798,27.640160118322836,False
e_ZW6-400,ep_hydro_ZW6-400__irena,28.42144736842106,hydro,Aggregated Plant - IRENA Gap - ZW6-400_Missing Hydro Capacity -- operating,e_ZW6-400,ZW6-400,-21.796531289801937,27.628345905841464,False
e_r9249245-330,ep_hydro_r9249245-330__irena,28.42144736842106,hydro,Aggregated Plant - IRENA Gap - relation/9249245-330_Missing Hydro Capacity -- operating,e_r9249245-330,relation/9249245-330,-18.39633845139668,29.779536395734137,False
e_r9249246-330,ep_hydro_r9249246-330__irena,28.42144736842106,hydro,Aggregated Plant - IRENA Gap - relation/9249246-330_Missing Hydro Capacity -- operating,e_r9249246-330,relation/9249246-330,-17.8905041760469,30.597850134698174,False
