iso_code,Year,month,monthly_hydro_cf,Generation_TWh,Capacity_GW
ARG,2018,1,0.4805888972243061,3.69,10.32
ARG,2018,2,0.4700765965300849,3.26,10.32
ARG,2018,3,0.43239976660831875,3.32,10.32
ARG,2018,4,0.422588285960379,3.14,10.32
ARG,2018,5,0.39202508960573473,3.01,10.32
ARG,2018,6,0.4468130921619294,3.32,10.32
ARG,2018,7,0.48189130615987336,3.7,10.32
ARG,2018,8,0.457145536384096,3.51,10.32
ARG,2018,9,0.38894272179155903,2.89,10.32
ARG,2018,10,0.46756480786863386,3.59,10.32
ARG,2018,11,0.5423664944013782,4.03,10.32
ARG,2018,12,0.5118467116779195,3.93,10.32
ARG,2019,1,0.4692602067344689,3.61,10.34
ARG,2019,2,0.3914525191120936,2.72,10.34
ARG,2019,3,0.3990661591897007,3.07,10.34
ARG,2019,4,0.38416075650118203,2.86,10.34
ARG,2019,5,0.40686549780578607,3.13,10.34
ARG,2019,6,0.398936170212766,2.97,10.34
ARG,2019,7,0.4133649466525239,3.18,10.34
ARG,2019,8,0.43286329319273725,3.33,10.34
ARG,2019,9,0.4069954867827208,3.03,10.34
ARG,2019,10,0.37306836380274955,2.87,10.34
ARG,2019,11,0.4029658284977434,3.0,10.34
ARG,2019,12,0.39646637965100556,3.05,10.34
ARG,2020,1,0.4078873764683945,3.15,10.38
ARG,2020,2,0.36680840697185124,2.65,10.38
ARG,2020,3,0.29911740941015597,2.31,10.38
ARG,2020,4,0.23683365446371224,1.77,10.38
ARG,2020,5,0.2809890815671162,2.17,10.38
ARG,2020,6,0.3679618925283665,2.75,10.38
ARG,2020,7,0.4674518822383823,3.61,10.38
ARG,2020,8,0.34184846789732115,2.64,10.38
ARG,2020,9,0.3385249411260971,2.53,10.38
ARG,2020,10,0.3055918122112416,2.36,10.38
ARG,2020,11,0.2823271248126739,2.11,10.38
ARG,2020,12,0.2978225288499388,2.3,10.38
ARG,2021,1,0.29264300660907033,2.26,10.38
ARG,2021,2,0.3813423249839435,2.66,10.38
ARG,2021,3,0.2745146787660306,2.12,10.38
ARG,2021,4,0.2140869192892314,1.6,10.38
ARG,2021,5,0.27580955932624773,2.13,10.38
ARG,2021,6,0.2461999571826161,1.84,10.38
ARG,2021,7,0.24343754532081957,1.88,10.38
ARG,2021,8,0.21753993411647707,1.68,10.38
ARG,2021,9,0.31310211946050087,2.34,10.38
ARG,2021,10,0.32760478173493274,2.53,10.38
ARG,2021,11,0.2916934275315778,2.18,10.38
ARG,2021,12,0.26674539540472786,2.06,10.38
ARG,2022,1,0.2703695654423711,2.09,10.39
ARG,2022,2,0.20910674183051467,1.46,10.39
ARG,2022,3,0.22250509691908057,1.72,10.39
ARG,2022,4,0.3021067265533098,2.26,10.39
ARG,2022,5,0.30271042255270264,2.34,10.39
ARG,2022,6,0.4130574270131536,3.09,10.39
ARG,2022,7,0.3259958396721413,2.52,10.39
ARG,2022,8,0.3518685253604065,2.72,10.39
ARG,2022,9,0.3181477916800342,2.38,10.39
ARG,2022,10,0.499342833783518,3.86,10.39
ARG,2022,11,0.5093038177735001,3.81,10.39
ARG,2022,12,0.3867966510395645,2.99,10.39
ARG,2023,1,0.35316215964481973,2.73,10.39
ARG,2023,2,0.39243320042165086,2.74,10.39
ARG,2023,3,0.44242292526933463,3.42,10.39
ARG,2023,4,0.3181477916800342,2.38,10.39
ARG,2023,5,0.27295683401119764,2.11,10.39
ARG,2023,6,0.3074537482622179,2.3,10.39
ARG,2023,7,0.4877001252237987,3.77,10.39
ARG,2023,8,0.5485009365912219,4.24,10.39
ARG,2023,9,0.5761415891348518,4.31,10.39
ARG,2023,10,0.5562627422977015,4.3,10.39
ARG,2023,11,0.5240081274729975,3.92,10.39
ARG,2023,12,0.5562627422977015,4.3,10.39
AUS,2000,1,0.027753988644653792,0.14,6.78
AUS,2000,2,0.03814464449191333,0.18,6.78
AUS,2000,3,0.03370127192565103,0.17,6.78
AUS,2000,4,0.026630612913798753,0.13,6.78
AUS,2000,5,0.029736416404986202,0.15,6.78
AUS,2000,6,0.028679121599475582,0.14,6.78
AUS,2000,7,0.019824277603324135,0.1,6.78
AUS,2000,8,0.019824277603324135,0.1,6.78
AUS,2000,9,0.02048508685676827,0.1,6.78
AUS,2000,10,0.027753988644653792,0.14,6.78
AUS,2000,11,0.022533595542445096,0.11,6.78
AUS,2000,12,0.031718844165318616,0.16,6.78
AUS,2001,1,0.03964855520664827,0.2,6.78
AUS,2001,2,0.03950695322376738,0.18,6.78
AUS,2001,3,0.03766612744631586,0.19,6.78
AUS,2001,4,0.028679121599475582,0.14,6.78
AUS,2001,5,0.02180670536365655,0.11,6.78
AUS,2001,6,0.016388069485414616,0.08,6.78
AUS,2001,7,0.06145526057030482,0.31,6.78
AUS,2001,8,0.08524439369429378,0.43,6.78
AUS,2001,9,0.0983284169124877,0.48,6.78
AUS,2001,10,0.11299838233894756,0.57,6.78
AUS,2001,11,0.09013438216978038,0.44,6.78
AUS,2001,12,0.09515653249595585,0.48,6.78
AUS,2002,1,0.08920924921495861,0.45,6.78
AUS,2002,2,0.10754670599803343,0.49,6.78
AUS,2002,3,0.07136739937196689,0.36,6.78
AUS,2002,4,0.04506719108489019,0.22,6.78
AUS,2002,5,0.07929711041329654,0.4,6.78
AUS,2002,6,0.09013438216978038,0.44,6.78
AUS,2002,7,0.11101595457861517,0.56,6.78
AUS,2002,8,0.08524439369429378,0.43,6.78
AUS,2002,9,0.10242543428384135,0.5,6.78
AUS,2002,10,0.10705109905795034,0.54,6.78
AUS,2002,11,0.07784333005571943,0.38,6.78
AUS,2002,12,0.08524439369429378,0.43,6.78
AUS,2003,1,0.1308402321819393,0.66,6.78
AUS,2003,2,0.1316898440792246,0.6,6.78
AUS,2003,3,0.11498081009927998,0.58,6.78
AUS,2003,4,0.08603736479842673,0.42,6.78
AUS,2003,5,0.1030862435372855,0.52,6.78
AUS,2003,6,0.11061946902654866,0.54,6.78
AUS,2003,7,0.13480508770260413,0.68,6.78
AUS,2003,8,0.15066450978526344,0.76,6.78
AUS,2003,9,0.13520157325467058,0.66,6.78
AUS,2003,10,0.12687537666127446,0.64,6.78
AUS,2003,11,0.11061946902654866,0.54,6.78
AUS,2003,12,0.09317410473562343,0.47,6.78
AUS,2004,1,0.05681996300824476,0.29,6.86
AUS,2004,2,0.09006065480379344,0.43,6.86
AUS,2004,3,0.06465719928524405,0.33,6.86
AUS,2004,4,0.06478781988986071,0.32,6.86
AUS,2004,5,0.06661650835449387,0.34,6.86
AUS,2004,6,0.06478781988986071,0.32,6.86
AUS,2004,7,0.0705351264929935,0.36,6.86
AUS,2004,8,0.07641305370074296,0.39,6.86
AUS,2004,9,0.12552640103660512,0.62,6.86
AUS,2004,10,0.12539578043198846,0.64,6.86
AUS,2004,11,0.08705863297700032,0.43,6.86
AUS,2004,12,0.06465719928524405,0.33,6.86
AUS,2005,1,0.09549136613912192,0.53,7.46
AUS,2005,2,0.10771734967445425,0.54,7.46
AUS,2005,3,0.08287929891320016,0.46,7.46
AUS,2005,4,0.1079833184390825,0.58,7.46
AUS,2005,5,0.1747672172734873,0.97,7.46
AUS,2005,6,0.23644623175454274,1.27,7.46
AUS,2005,7,0.24863789673960046,1.38,7.46
AUS,2005,8,0.24683617285018308,1.37,7.46
AUS,2005,9,0.25692582663092045,1.38,7.46
AUS,2005,10,0.23962927729251352,1.33,7.46
AUS,2005,11,0.2252755436401549,1.21,7.46
AUS,2005,12,0.2360258295136787,1.31,7.46
AUS,2006,1,0.23962927729251352,1.33,7.46
AUS,2006,2,0.2433614196348781,1.22,7.46
AUS,2006,3,0.21080169506183516,1.17,7.46
AUS,2006,4,0.22341376228775692,1.2,7.46
AUS,2006,5,0.25584479229727003,1.42,7.46
AUS,2006,6,0.28112898421209415,1.51,7.46
AUS,2006,7,0.2810689267491136,1.56,7.46
AUS,2006,8,0.2306206578454265,1.28,7.46
AUS,2006,9,0.20107238605898126,1.08,7.46
AUS,2006,10,0.17296549338406988,0.96,7.46
AUS,2006,11,0.17500744712540958,0.94,7.46
AUS,2006,12,0.1405344633745568,0.78,7.46
AUS,2007,1,0.18197411283115686,1.01,7.46
AUS,2007,2,0.19748180773649943,0.99,7.46
AUS,2007,3,0.18737928449940905,1.04,7.46
AUS,2007,4,0.19921060470658328,1.07,7.46
AUS,2007,5,0.2017930756147482,1.12,7.46
AUS,2007,6,0.2960232350312779,1.59,7.46
